waer	waar	v(fin,past,aux_cop)
al	al	Adv(gener)
myn	mijn	Pron(poss)
macht	macht	N(sing)
aen	aan	Adp()
t	het	Art(def)
'	?	punc(quest)
ghehemelte	verhemelen	V(participle,past)
kleeft	kleven	V(fin,pres,lex)
myn	mijn	Pron(poss)
tongh	tong	N(sing)
'	?	punc(quest)
versmacht	versmachten	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
hebt	hebben	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
gemaeckt	maken	V(participle,past)
vol	vol	Adj()
onweerden	onwaarde	N(plu)
als	als	Conj(comp)
t	het	Art(def)
'	?	punc(quest)
slyck	slijk	N(sing)
der	de	Art(def)
eerden	aarde	n(sing)
want	want	Conj(coord)
honden	hond	N(plu)
omringen	omringen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
end	en	Conj(coord)
'	?	punc(quest)
genaeken	genaken	V(infin)
die	de	pron(rel)
boosdoenders	boosdoener	N(plu)
hen	zij	pron(pers,3,plu)
teghen	tegen	Adp()
my	ik	Pron(pers,1,sing)
opmaeken	opmaken	V(infin)
om	om	Adp()
myn	mijn	Pron(poss)
handen	hand	N(plu)
end	en	Conj(coord)
voeten	voet	N(plu)
te	te	Adp()
doersteken	doorsteken	V(infin)
iae	ja	interj()
tebreken	tebreken	V(infin)
myn	mijn	Pron(poss)
beenen	been	N(plu)
kan	kunnen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
tellen	tellen	V(infin)
groot	groot	Adj()
end	en	Conj(coord)
kleyn	klein	Adj()
d	de	Art(def)
'	?	punc(quest)
welck	welk	Pron(rel)
siende	zien	V(participle,pres)
die	de	Art(def)
boose	boos	Adj()
menschen	mens	N(plu)
onreyn	onrein	Adj()
syn	zijn	Pron(poss)
verblijdt	verblijden	V(participle,past)
end	en	Conj(coord)
bespotten	bespotten	V(infin)
heere	heer	N(sing)
my	ik	Pron(pers,1,sing)
also	alzo	Adv(dem)
seere	zeer	Adv(gener)
myn	mijn	pron(poss)
kleedt	kleed	N(sing)
is	zijn	V(fin,pres,aux_cop)
van	van	adp()
nu	nu	adv(dem)
stuckwys	???	???
wt	uit	Adp()
gegeuen	geven	v(participle,past)
mynen	mijn	Pron(poss)
rock	rok	n(sing)
is	zijn	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
gestelt	stellen	V(participle,past)
daer	daar	Adv(dem)
beneuen	beneven	Adp()
op	op	adp()
dat	dat	Conj(subord)
se	zij	Pron(pers,3,sing)
t	het	Art(def)
'	?	punc(quest)
lot	lot	N(sing)
daerouer	daarover	pronadv(dem)
werpen	werpen	v(infin)
prachtigh	prachtig	Adj()
t	het	Art(def)
'	?	punc(quest)
saem	samen	N(sing)
eendrachtigh	eendrachtig	adj()
dies	dat	Pron(dem)
wilt	willen	V(fin,pres,aux_cop)
heer	heer	N(sing)
van	van	Adp()
my	ik	Pron(pers,1,sing)
nu	nu	Adv(dem)
niet	niet	Adv(neg)
verre	ver	adv(gener)
gaen	gaan	V(infin)
maer	maar	conj(coord)
goedighlick	goediglijk	Adv()
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
o	o	Interj()
godt	god	N(sing)
bystaen	bijstaan	V(infin)
haest	haast	Adv(gener)
v	gij	Pron(pers,2,plu)
ghy	gij	Pron(pers,2,plu)
sijt	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
anders	anders	Adv(gener)
gheene	geen	Pron(indef)
myn	mijn	Pron(poss)
kracht	kracht	N(sing)
alleene	alleen	Adv(gener)
verlost	verlossen	V(participle,past)
myn	mijn	Pron(poss)
siel	ziel	N(sing)
van	van	Adp()
t	het	Art(def)
'	?	punc(quest)
sweert	zwaard	N(sing)
myner	mijn	Pron(poss)
vianden	vijand	N(plu)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
soocken	zoeken	V(infin)
te	te	Adp()
kryghen	krijgen	v(infin)
in	in	adp()
den	de	art(def)
handen	hand	N(plu)
end	en	Conj(coord)
my	ik	Pron(pers,1,sing)
gheerne	geerne	Adv(gener)
wreedlick	wredelijk	Adv(gener)
hadden	hebben	v(fin,past,aux_cop)
verslonden	verslinden	V(infin)
ghelyck	gelijk	adv(gener)
