ghelijckerwijs	gelijkerwijs	Conj(comp)
is	zijn	v(fin,pres,aux_cop)
ghesaeyt	zaaien	V(participle,past)
soo	zo	Adv(resum)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
van	van	Adp()
matthias	matthias	n(prop)
hopen	hopen	n(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
sal	zullen	V(fin,pres,aux_cop)
sijn	zijn	V(infin)
recht	recht	n(sing)
als	als	conj(comp)
eenen	een	art(indef)
meesias	messias	n(prop)
onsen	ons	pron(poss)
verlosser	verlosser	N(sing)
zijn	zijn	v(fin,pres,aux_cop)
dus	dus	Adv(dem)
sijt	zijn	V(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
wel	wel	adv(gener)
ghecomen	komen	V(participle,past)
eel	edel	N(sing)
bloet	bloed	N(sing)
van	van	adp()
oostenrijck	oostenrijk	N(prop)
stelt	stellen	V(imp)
u	gij	Pron(poss)
altijt	altijd	Adv(gener)
tot	tot	Adp()
vromen	vroom	N(plu)
en	en	Conj(coord)
vordert	vorderen	v(fin,pres,lex)
ons	wij	pron(pers,1,plu)
ghelijck	gelijk	adv(gener)
op	op	adp()
dat	dat	Conj(subord)
u	gij	Pron(pers,2,sing)
wort	worden	v(fin,pres,aux_cop)
ghegeven	geven	v(participle,past)
des	de	art(def)
conincks	koning	n(sing)
lof	lof	n(sing)
en	en	Conj(coord)
faem	faam	N(sing)
van	van	adp()
hongheren	hongeren	N(plu)
verheven	verheffen	V(participle,past)
daer	daar	Adv(dem)
ghy	gij	Pron(pers,2,sing)
af	af	pronadv(rel)
voert	voort	Adv(gener)
den	de	art(def)
naem	naam	n(sing)
al	al	Adv(gener)
sijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
ionck	jong	N(sing)
van	van	Adp()
iaren	jaar	n(plu)
weest	zijn	V(imp)
daerom	daarom	pronadv(dem)
niet	niet	Adv(neg)
beswaert	bezwaren	v(participle,past)
pompeius	pompeius	n(prop)
was	zijn	V(fin,past,aux_cop)
vervaren	vervaren	v(participle,past)
al	al	adv(gener)
was	zijn	v(fin,past,aux_cop)
hij	hij	pron(pers,3,sing)
onghebaert	ongebaard	adj()
en	en	adv(neg)
scipio	scipio	N(prop)
de	de	Art(def)
swichten	zwichten	n(plu)
der	de	art(def)
poenen	poen	n(sing)
moet	moed	v(fin,pres,aux_cop)
en	en	Conj(coord)
vreught	vreugde	N(sing)
doen	toen	v(infin)
hyse	hij+zij	Pron(pers,3,sing)+Pron(pers,3,plu)
quam	komen	v(fin,past,lex)
beuichten	bevechten	V(infin)
sijnde	zijn	V(participle,pres)
in	in	adp()
ionghe	jong	Adj()
ieught	jeugd	v(fin,pres,lex)
en	ne	adv(neg)
alexander	alexander	n(prop)
moedich	moedig	adj()
diemen	die+men	pron(rel)+pron(indef)
den	de	Art(def)
grooten	groot	Adj()
noempt	noemen	V(fin,pres,lex)
voor	voor	Adp()
ionck	jong	N(sing)
ende	en	conj(coord)
voorspoedig	voorspoedig	adj()
ja	ja	interj()
nog	noch	conj(coord)
tot	tot	adp()
nu	nu	adv(dem)
beroemt	beroemd	V(participle,past)
betrout	betrouwen	V(fin,pres,lex)
op	op	Adp()
godt	god	N(sing)
almachtich	almachtig	Adj()
en	en	Conj(coord)
weest	zijn	V(imp)
van	van	adp()
moede	moed	N(sing)
coen	koen	adj()
al	al	Adv(gener)
is	zijn	V(fin,pres,aux_cop)
den	de	Art(def)
vyant	vijand	N(sing)
crachtich	krachtig	Adj()
hy	hij	Pron(pers,3,sing)
en	ne	Adv(neg)
can	kunnen	V(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
niet	niet	adv(neg)
doen	doen	V(infin)
oorlof	oorlof	N(sing)
prince	prins	N(sing)
hier	hier	Adv(dem)
mede	mede	Adv(gener)
en	en	adv(neg)
wel	wel	adv(gener)
ghecomen	komen	v(participle,past)
sijt	zijn	V(fin,pres,aux_cop)
tot	tot	Adp()
brussel	brussel	n(sing)
inde	en	Adp()+Art(def)
stede	stad	n(sing)
nu	nu	Adv(dem)
en	en	Conj(coord)
tot	tot	Adp()
alder	al+de	Num(indef)+Art(def)
tijt	tijd	N(sing)
godt	god	N(sing)
die	die	Pron(rel)
u	gij	Pron(pers,2,sing)
heeft	hebben	V(fin,pres,aux_cop)
vercoren	verkiezen	V(participle,past)
verleen	verlenen	V(infin)
u	uw	Pron(poss)
goeden	goed	adj()
raet	raad	n(sing)
eertshertoghe	aartshertog	n(sing)
hooghgeboren	hooggeboren	Adj()
en	en	Conj(coord)
bevry	bevrijden	V(fin,pres,lex)
u	gij	pron(refl,2,sing)
van	van	Adp()
tquaet	het+kwaad	Art(def)+N(sing)
