aenbiet	aanbidden	v(fin,pres,lex)
den	de	Art(def)
smaet	smaad	N(sing)
dien	die	pron(rel)
ic	ik	pron(pers,1,sing)
schouw	schouwen	v(fin,past,lex)
'	?	punc(quest)
zeere	zeer	adv(gener)
want	want	Conj(coord)
lieffelijc	lieflijk	Adv(gener)
v	uw	Pron(poss)
rechten	recht	N(plu)
zijn	zijn	V(fin,pres,aux_cop)
siet	zien	V(fin,pres,lex)
ic	ik	pron(pers,1,sing)
begheer	begeren	v(fin,pres,lex)
'	?	punc(quest)
de	de	Art(def)
wetten	wet	N(plu)
dijn	dijn	Pron(poss)
wilt	willen	V(fin,pres,aux_cop)
doch	doch	Adv(gener)
in	in	Adp()
my	ik	Pron(pers,1,sing)
blijschap	blijdschap	N(sing)
beschicken	beschikken	V(infin)
met	met	adp()
v	gij	Pron(poss)
gherechticheyt	gerechtigheid	N(sing)
verquicken	verkwikken	V(infin)
heere	heer	N(sing)
laet	laten	V(imp)
my	ik	Pron(pers,1,sing)
ghebeuren	gebeuren	V(infin)
v	gij	Pron(poss)
ghenade	genade	n(sing)
v	uw	pron(poss)
hulpe	hulp	n(sing)
na	na	adp()
uwen	uw	pron(poss)
woorde	woord	N(sing)
claer	klaar	adj()
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
antwoorden	antwoorden	v(infin)
mach	mogen	v(fin,pres,aux_cop)
vroech	vroeg	adv(gener)
ende	en	conj(coord)
spade	spade	adv(gener)
vrymoedichlijc	vrijmoediglijk	adj()
mijnen	mijn	Pron(poss)
lasteraer	lasteraar	N(sing)
want	want	Conj(coord)
op	op	adp()
v	uw	Pron(poss)
woort	woord	N(sing)
ic	ik	pron(pers,1,sing)
my	ik	Pron(pers,1,sing)
vast	vast	adj()
verlate	verlaten	V(fin,pres,lex)
en	en	Conj(coord)
neemt	nemen	V(fin,pres,lex)
doch	doch	Adv(gener)
niet	niet	Adv(neg)
tot	tot	Adp()
mijnder	mijn	Pron(poss)
onbate	ontbieden	N(sing)
d	de	Art(def)
'	?	punc(quest)
woort	woord	N(sing)
der	de	Art(def)
waerheyt	waarheid	N(sing)
wt	uit	Adp()
mijnen	mijn	Pron(poss)
mont	mond	n(sing)
ic	ik	pron(pers,1,sing)
hoep	hopen	v(fin,pres,lex)
'	?	punc(quest)
op	op	Adp()
v	uw	Pron(poss)
wet	wet	N(sing)
t	het	Art(def)
'	?	punc(quest)
alder	al+de	Num(indef)+Art(def)
stont	stond	N(sing)
v	gij	Pron(poss)
rechten	recht	v(infin)
wil	willen	v(fin,pres,aux_cop)
ic	ik	pron(pers,1,sing)
alghelijke	algeheel	adv(gener)
houden	houden	v(infin)
altoos	altoos	Adv(gener)
end	en	Conj(coord)
'	?	punc(quest)
eewelijke	eeuwelijk	Adv(gener)
ic	ik	pron(pers,1,sing)
wandel	wandel	v(fin,past,lex)
'	?	punc(quest)
vrolijc	vrolijk	adj()
want	want	conj(coord)
v	uw	Pron(poss)
wet	wet	N(sing)
ick	ik	Pron(pers,1,sing)
soeke	zoeken	V(fin,pres,lex)
van	van	adp()
v	gij	pron(pers,2,plu)
ghetuyghenissen	getuigenis	n(sing)
ic	ik	pron(pers,1,sing)
spreek	spreken	v(fin,pres,lex)
'	?	punc(quest)
voor	voor	Adp()
de	de	Art(def)
coninghen	koning	N(plu)
daer	daar	pronadv(rel)
ic	ik	pron(pers,1,sing)
my	ik	pron(refl,1,sing)
vercloeke	verkloken	adv(gener)
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
my	ik	pron(refl,1,sing)
schaemde	schamen	v(fin,past,lex)
sulx	zulk	Pron(dem)
noyt	nooit	N(sing)
en	en	Conj(coord)
bleek	bleek	Adj()
ic	ik	pron(pers,1,sing)
hebbe	hebben	v(fin,pres,aux_cop)
lust	lust	v(fin,pres,lex)
met	met	adp()
herten	hart	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
sinne	zin	V(infin)
aen	aan	adp()
v	gij	pron(pers,2,plu)
gheboden	bieden	n(plu)
die	die	pron(rel)
ic	ik	pron(pers,1,sing)
beminne	beminnen	V(fin,pres,lex)
end	en	Conj(coord)
'	?	punc(quest)
ic	ik	Pron(pers,1,sing)
heff	heffen	v(fin,pres,aux_cop)
'	?	punc(quest)
op	op	Adp()
de	de	Art(def)
handen	hand	N(plu)
mijn	mijn	Pron(poss)
tot	tot	Adp()
v	uw	Pron(poss)
wetten	wet	N(plu)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
lief	lief	Adj()
zijn	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
'	?	punc(quest)
onder	onder	Adp()
v	uw	pron(poss)
dinaers	dienaar	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
knechten	knecht	N(plu)
spreck	spreken	V(fin,pres,lex)
'	?	punc(quest)
ic	ik	pron(pers,1,sing)
daghelijcx	dagelijks	adv(gener)
van	van	adp()
v	uw	Pron(poss)
rechten	recht	adj()
gedenct	gedenken	v(participle,past)
dijns	dijn	Pron(poss)
knechts	knecht	N(sing)
doch	doch	adv(gener)
na	na	Adp()
v	uw	Pron(poss)
woort	woord	N(sing)
o	o	Interj()
heere	heer	N(sing)
op	op	Adp()
het	het	Art(def)
welcke	welk	Pron(rel)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
hopen	hopen	V(infin)
laet	laten	V(imp)
in	in	Adp()
mijnder	mijn	Pron(poss)
ellenden	ellende	N(plu)
troost	troost	N(sing)
my	ik	Pron(pers,1,sing)
doch	doch	Adv(gener)
zeere	zeer	Adv(gener)
want	want	Conj(coord)
v	uw	Pron(poss)
woort	woord	N(sing)
verquict	verkwikken	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
metter	de+met	Adp()+Art(def)
daet	daad	N(sing)
de	de	art(def)
stoute	stout	Adj()
hunnen	hun	Pron(poss)
spot	spot	N(sing)
met	met	Adp()
my	ik	Pron(pers,1,sing)
drijuen	drijven	V(infin)
nochtans	nochtans	Adv(gener)
en	ne	adv(neg)
doet	doen	V(fin,pres,lex)
my	ik	pron(pers,1,sing)
dat	dat	Conj(subord)
niet	niet	Adv(neg)
afblijuen	ontblijven	v(infin)
noch	noch	Conj(coord)
ooc	ook	adv(gener)
wijken	wijken	V(infin)
van	van	Adp()
uwe	uw	Pron(poss)
wet	wet	N(sing)
heer	heer	N(sing)
'	?	punc(quest)
als	als	conj(subord)
ic	ik	pron(pers,1,sing)
gedenk	gedenken	v(fin,pres,lex)
'	?	punc(quest)
ende	en	conj(coord)
let	lid	v(fin,pres,lex)
op	op	adp()
v	uw	pron(pers,2,plu)
oordeelen	oordeel	n(plu)
van	van	Adp()
t	het	Art(def)
'	?	punc(quest)
beghinne	beginnen	V(infin)
soo	zo	Adv(resum)
crijgh	krijgen	N(sing)
'	?	punc(quest)
ic	ik	Pron(pers,1,sing)
troost	troost	v(fin,pres,lex)
in	in	Adp()
mijnen	mijn	pron(poss)
sinne	zin	n(sing)
ic	ik	pron(pers,1,sing)
ben	zijn	v(fin,pres,aux_cop)
ganschelijc	ganselijk	adv(gener)
ontsteken	ontsteken	V(participle,past)
van	van	adp()
binnen	binnen	adv(gener)
ouer	over	adp()
de	de	art(def)
godloose	goddeloos	n(sing)
met	met	Adp()
verdriet	verdriet	n(sing)
die	die	pron(rel)
v	gij	Pron(poss)
wet	wet	N(sing)
verlaten	verlaten	V(infin)
end	en	Conj(coord)
'	?	punc(quest)
niet	niet	Adv(neg)
beminnen	beminnen	V(infin)
v	uw	Pron(poss)
rechten	recht	N(plu)
zijn	zijn	v(fin,pres,aux_cop)
in	in	Adp()
mijn	mijn	Pron(poss)
huys	huis	N(sing)
mijn	mijn	Pron(poss)
liet	laten	N(sing)
heer	heer	N(sing)
'	?	punc(quest)
ic	ik	pron(pers,1,sing)
denk	de	art(def)
'	?	punc(quest)
des	de	art(def)
nachts	nacht	N(sing)
aen	aan	adp()
uwen	uw	pron(poss)
name	naam	n(sing)
ende	en	conj(coord)
houde	houden	n(sing)
dijne	dijn	Pron(poss)
wet	wet	N(sing)
lofsame	lofzaam	Adj()
dat	dat	pron(dem)
is	zijn	v(fin,pres,aux_cop)
mijnen	mijn	Pron(poss)
schat	schat	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
mijn	mijn	Pron(poss)
goet	goed	adj()
waerop	waarop	pronadv(inter)
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
draegh	dragen	v(fin,pres,lex)
'	?	punc(quest)
eenen	een	Art(indef)
moet	moed	n(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
o	o	Interj()
heere	heer	N(sing)
hooch	hoog	Adj()
verheuen	verheffen	V(participle,past)
houde	houden	Adj()
t	het	Art(def)
'	?	punc(quest)
beuel	bevel	N(sing)
van	van	adp()
v	gij	pron(pers,2,plu)
ghegheuen	geven	v(participle,past)
ic	ik	pron(pers,1,sing)
hebb	hebben	v(fin,pres,aux_cop)
'	?	punc(quest)
gheseyt	zeggen	V(participle,past)
heer	heer	n(sing)
'	?	punc(quest)
dat	dat	Pron(dem)
sal	zullen	v(fin,pres,aux_cop)
mijn	mijn	pron(poss)
erf	erf	n(sing)
'	?	punc(quest)
wesen	wezen	v(infin)
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
uwe	uw	pron(poss)
weghen	weg	N(plu)
wel	wel	Adv(gener)
bewaer	bewaren	Adj()
'	?	punc(quest)
ic	ik	pron(pers,1,sing)
smeeke	smeken	V(fin,pres,lex)
zeer	zeer	Adv(gener)
voor	voor	Adp()
v	uw	Pron(poss)
aensicht	aanzicht	N(sing)
ghepresen	prijzen	V(participle,past)
van	van	Adp()
geheelder	geheel	adj()
herten	hart	N(sing)
openbaer	openbaar	Adv(gener)
weest	zijn	V(imp)
my	ik	Pron(pers,1,sing)
na	na	Adp()
uwen	uw	Pron(poss)
woorde	woord	N(sing)
ghenadich	genadig	Adj()
ick	ik	Pron(pers,1,sing)
bedencke	bedenken	V(fin,pres,lex)
mijn	mijn	Pron(poss)
weghen	weg	N(plu)
ghestadich	gestadig	Adj()
end	en	Conj(coord)
'	?	punc(quest)
leyde	leiden	N(sing)
mijn	mijn	pron(poss)
voeten	voet	N(plu)
ghewis	gewis	Adv(gener)
vrolijc	vrolijk	Adv(gener)
tot	tot	Adp()
v	gij	Pron(poss)
ghetuyghenis	getuigenis	n(sing)
ic	ik	Pron(pers,1,sing)
haest	haast	pron(pers,3,sing)+v(fin,pres,aux_cop)
'	?	punc(quest)
end	en	Conj(coord)
'	?	punc(quest)
versuym	verzuimen	N(sing)
'	?	punc(quest)
nimmermeere	nimmermeer	adv(gener)
v	gij	Pron(poss)
gheboden	bieden	n(plu)
te	te	Adp()
houden	houden	V(infin)
heere	heer	N(sing)
my	ik	Pron(pers,1,sing)
berooft	beroven	V(fin,pres,lex)
der	de	Art(def)
godloosen	godloos	N(plu)
grooten	groot	adj()
hoope	hoop	N(sing)
maer	maar	Conj(coord)
uwes	gij	Pron(poss)
wets	weten	N(sing)
en	en	Conj(coord)
vergeet	vergeten	v(fin,pres,lex)
ic	ik	pron(pers,1,sing)
niet	niet	adv(neg)
middernachts	middernacht	n(sing)
stae	staan	v(fin,pres,lex)
ic	ik	pron(pers,1,sing)
op	op	adp()
ic	ik	pron(pers,1,sing)
spoey	spreken	Adv(gener)
ick	ik	Pron(pers,1,sing)
loope	loop	V(fin,pres,lex)
v	gij	Pron(pers,2,plu)
te	te	Adp()
dancken	danken	V(infin)
voor	voor	Adp()
de	de	Art(def)
rechten	recht	N(plu)
siet	zien	V(fin,pres,lex)
vwer	uw	Pron(poss)
gherechticheyt	gerechtigheid	n(sing)
alghelijke	algeheel	adv(gener)
ic	ik	pron(pers,1,sing)
houd	houden	v(fin,pres,lex)
'	?	punc(quest)
my	ik	Pron(pers,1,sing)
tot	tot	Adp()
dien	die	Pron(dem)
end	en	Conj(coord)
'	?	punc(quest)
niet	niet	Adv(neg)
en	ne	adv(neg)
wijke	wijken	n(sing)
die	die	pron(rel)
v	gij	pron(pers,2,plu)
van	van	adp()
herten	hart	n(sing)
vreesen	vrezen	v(infin)
wel	wel	adv(gener)
ende	en	conj(coord)
