daer	daar	Adv(dem)
coemt	komen	V(fin,pres,lex)
niet	niet	Adv(neg)
toe	toe	Adv(gener)
den	de	art(def)
god	god	N(sing)
almachtich	almachtig	adj()
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,plu)
christum	christus	N(prop)
in	in	Adp()
v	uw	Pron(poss)
verwerft	verwerven	v(fin,pres,lex)
tlichaem	het+lichaam	Art(def)+N(sing)
wel	wel	adv(gener)
om	om	adp()
de	de	Art(def)
sonde	zonde	N(sing)
sterft	sterven	V(fin,pres,lex)
maer	maar	Conj(coord)
de	de	Art(def)
gheest	geest	N(sing)
het	het	Pron(pers,3,sing)
leuen	leven	N(sing)
is	zijn	V(fin,pres,aux_cop)
crachtich	krachtig	Adj()
door	door	Adp()
de	de	Art(def)
rechtueerdicheyt	rechtvaardigheid	N(sing)
en	en	Conj(coord)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
dat	dat	conj(subord)
in	in	adp()
v	gij	pron(pers,2,plu)
woont	wonen	v(fin,pres,lex)
de	de	art(def)
gheest	geest	n(sing)
des	de	art(def)
ghenen	gene	pron(dem)
die	die	pron(rel)
op	op	adp()
ghewect	wekken	v(participle,past)
heeft	hebben	V(fin,pres,aux_cop)
jesum	jezus	N(prop)
christ	christus	N(prop)
de	de	Art(def)
selfde	zelfde	n(sing)
sal	zullen	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
wel	wel	Adv(gener)
verleenen	verlenen	V(infin)
dat	dat	conj(subord)
v	uw	Pron(poss)
lichaem	lichaam	N(sing)
twelck	hetwelk	Pron(rel)
den	de	Art(def)
doot	dood	N(sing)
smaeckt	smaken	V(fin,pres,lex)
weder	weer	adv(gener)
leuendich	levendig	adj()
wort	worden	V(fin,pres,aux_cop)
ghemaeckt	maken	V(participle,past)
oock	ook	Adv(gener)
door	door	Adp()
dien	de	Art(def)
gheest	geest	N(sing)
in	in	adp()
v	gij	pron(pers,2,plu)
ghemeene	gemeen	adv(gener)
so	zo	Adv(resum)
zijn	zijn	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
broeders	broeder	N(plu)
schuldenaers	schuldenaar	N(plu)
niet	niet	Adv(neg)
het	het	Art(def)
vleesch	vlees	N(sing)
om	om	Adp()
dat	dat	pron(dem)
te	te	adp()
aencleuen	aankleven	v(infin)
want	want	conj(coord)
die	die	pron(rel)
na	na	Adp()
tvleesch	het+vlees	Art(def)+N(sing)
leeft	leven	V(fin,pres,lex)
naect	naakt	V(fin,pres,lex)
wat	wat	Pron(inter)
swaer	zwaar	Adj()
de	de	Art(def)
doot	dood	N(sing)
die	die	Pron(rel)
coemt	komen	v(fin,pres,lex)
hem	hij	pron(pers,3,sing)
dan	dan	Adv(dem)
beneuen	beneven	Adp()
maer	maar	conj(coord)
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,sing)
door	door	Adp()
den	de	Art(def)
gheest	geest	N(sing)
seer	zeer	Adv(gener)
sterck	sterk	Adj()
het	het	Art(def)
lichaems	lichaam	N(sing)
lust	lust	N(sing)
en	en	Conj(coord)
boose	boos	Adj()
werck	werk	N(sing)
doodet	doden	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
sult	zullen	V(fin,pres,aux_cop)
door	door	Adp()
christum	christus	N(prop)
leuen	leven	V(infin)
die	die	Pron(rel)
door	door	Adp()
gods	god	N(sing)
gheest	geest	N(sing)
worden	worden	v(fin,past,aux_cop)
gheleyt	leggen	v(participle,past)
sijn	zijn	Pron(poss)
kinderen	kind	n(plu)
gods	god	N(sing)
alle	al	Num(indef)
gader	gader	n(sing)
want	want	Conj(coord)
den	de	art(def)
gheest	geest	n(sing)
vander	de+van	art(def)+adp()
dienstbaerheyt	dienstbaarheid	n(sing)
wert	worden	adv(gener)
niet	niet	Adv(neg)
tot	tot	Adp()
vreese	vrees	N(sing)
v	gij	Pron(poss)
versader	versader	N(sing)
maer	maar	Conj(coord)
ghy	gij	Pron(pers,2,sing)
ontfangt	ontvangen	V(fin,pres,lex)
nv	nu	Adv(dem)
eenen	een	Art(indef)
gheest	geest	n(sing)
der	de	Art(def)
kinderen	kind	n(plu)
vercoren	verkiezen	V(participle,past)
meest	meest	Adv(gener)
waer	waar	V(fin,past,aux_cop)
door	door	Adp()
wy	wij	Pron(pers,1,plu)
roepen	roepen	V(infin)
abba	abba	N(prop)
vader	vader	n(sing)
de	de	Art(def)
selfde	zelfde	adj()
gheest	geest	N(sing)
tuycht	tuigen	V(fin,pres,lex)
met	met	adp()
ons	wij	pron(pers,1,plu)
fijn	fijn	adj()
gods	god	n(sing)
kinder	kind	n(plu)
te	te	adp()
zijn	zijn	v(infin)
na	na	Adp()
tbetamen	het+betamen	Art(def)+V(infin)
en	en	Conj(coord)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
dan	dan	adv(dem)
kinder	kind	N(plu)
zijn	zijn	v(fin,pres,aux_cop)
so	zo	adv(resum)
zijn	zijn	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
oock	ook	Adv(gener)
gods	god	N(sing)
erfghenamen	erfgenaam	N(plu)
ja	ja	interj()
medeeruen	medeerven	V(infin)
christi	christus	N(prop)
recht	recht	N(sing)
is	zijn	V(fin,pres,aux_cop)
tlijden	het+lijden	Art(def)+N(sing)
oock	ook	Adv(gener)
in	in	Adp()
ons	wij	Pron(pers,1,plu)
ghehecht	hechten	v(participle,past)
om	om	Adp()
verheerlijct	verheerlijkt	Adv(gener)
te	te	adp()
werden	worden	V(infin)
t	het	Art(def)
'	?	punc(quest)
samen	samen	Adv(gener)
ick	ik	Pron(pers,1,sing)
houde	houden	V(fin,pres,lex)
tlijden	het+lijden	Art(def)+N(sing)
deser	deze	pron(dem)
tijt	tijd	n(sing)
alhier	alhier	Adv(dem)
gantsch	gans	Adv(gener)
niet	niet	Adv(neg)
te	te	Adp()
zijn	zijn	v(infin)
te	te	Adp()
weghen	weg	V(infin)
met	met	Adp()
het	het	Art(def)
seer	zeer	Adv(gener)
heerlijcke	heerlijk	Adj()
profijt	profijt	n(sing)
dat	dat	conj(subord)
ons	wij	pron(pers,1,plu)
wert	worden	V(fin,past,aux_cop)
openbaer	openbaar	Adv(gener)
daer	daar	Adv(dem)
teghen	tegen	Adp()
van	van	adp()
creatueren	creatuur	n(plu)
wort	worden	V(fin,pres,aux_cop)
verwacht	verwachten	v(participle,past)
de	de	Art(def)
openbaringh	openbaring	N(sing)
'	?	punc(quest)
van	van	adp()
tgheslacht	geslacht+het	n(sing)+art(def)
der	de	art(def)
kindren	kind	n(plu)
gods	god	N(sing)
tot	tot	Adp()
sulcx	zulk	Pron(dem)
gheneghen	genegen	V(participle,past)
van	van	Adp()
creatueren	creatuur	n(plu)
wort	worden	v(fin,pres,aux_cop)
ghesucht	zuchten	v(participle,past)
en	en	Conj(coord)
zijn	zijn	Pron(poss)
benaut	benauwd	N(sing)
tot	tot	Adp()
deser	deze	pron(dem)
uren	uur	N(sing)
oock	ook	Adv(gener)
wy	wij	Pron(pers,1,plu)
die	die	Pron(rel)
hebben	hebben	V(fin,pres,aux_cop)
d	de	Art(def)
'	?	punc(quest)
eerste	eerst	num(rod)
vrucht	vrucht	n(sing)
sgheests	van+de+geest	Art(def)+N(sing)
met	met	adp()
wachten	wachten	N(plu)
tselfde	hetzelfde	Pron(indef)
besueren	bezuren	V(infin)
wy	wij	Pron(pers,1,plu)
wachten	wachten	V(infin)
d	de	Art(def)
'	?	punc(quest)
aenneminghder	aanneming	N(sing)
kinderen	kind	n(plu)
godes	god	N(sing)
bequaem	bekwaam	Adj()
verlossinghe	verlossing	n(sing)
van	van	Adp()
het	het	pron(pers,3,sing)
lichaem	lichaam	n(sing)
ende	en	conj(coord)
trijck	het+rijk	Ar(def)+N(sing)
twelck	hetwelk	Pron(rel)
eewich	eeuwig	Adj()
sal	zullen	V(fin,pres,aux_cop)
dueren	duren	v(infin)
