wie	wie	Pron(inter)
ghetelt	tellen	v(participle,past)
en	ne	adv(neg)
riepen	roepen	V(fin,past,lex)
tot	tot	adp()
die	de	art(def)
burgers	burger	N(plu)
verheven	verheffen	V(participle,past)
ghy	gij	Pron(pers,2,plu)
lutriaen	lutheraan	V(infin)
scheyt	scheiden	N(sing)
van	van	adp()
u	gij	Pron(pers,2,sing)
goet	goed	Adj()
en	en	Conj(coord)
ghelt	geld	N(sing)
wilt	willen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
behouden	behouden	V(infin)
dat	dat	conj(subord)
leven	leven	n(sing)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
al	al	Adv(gener)
ghegheven	geven	v(participle,past)
die	de	Art(def)
burghers	burger	n(plu)
hadden	hebben	v(fin,past,lex)
op	op	adp()
granvels	granvelle	adj()
broeder	broeder	n(sing)
toeverlaet	toeverlaat	v(fin,pres,lex)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
soude	zullen	v(fin,past,aux_cop)
weeren	zijn	V(infin)
der	de	art(def)
spaniaerts	spanjaard	n(prop)
quaet	kwaad	N(sing)
maer	maar	Conj(coord)
die	de	Art(def)
monick	monnik	N(sing)
liet	laten	V(fin,past,lex)
zijn	zijn	Pron(poss)
schelmerije	schemelijk	N(sing)
blijcken	blijken	V(infin)
hy	hij	Pron(pers,3,sing)
lietse	laten+zij	v(fin,past,aux_cop)+pron(pers,3,plu)
neffens	neffens	Adp()
tcasteel	het+kasteel	art(def)+n(sing)
in	in	Adp()
antwerpen	antwerpen	N(prop)
vermaert	vermaren	V(participle,past)
dat	dat	Conj(subord)
die	de	art(def)
burghers	burger	n(plu)
moesten	moeten	v(fin,past,aux_cop)
beswijcken	bezwijken	V(infin)
arm	arm	adj()
ende	en	conj(coord)
rijcken	rijk	n(plu)
seer	zeer	adv(gener)
haestich	haastelijk	Adv(gener)
liepen	lopen	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
als	als	Conj(comp)
turcken	trekken	V(infin)
snoot	snood	N(sing)
door	door	Adp()
die	de	Art(def)
stadt	stad	N(sing)
met	met	Adp()
schrickelicken	verschrikkelijk	Adj()
ghetiere	getier	N(sing)
groot	groot	Adj()
en	en	Conj(coord)
deden	doen	V(fin,past,lex)
de	de	Art(def)
burgers	burger	N(plu)
groot	groot	adj()
versmaden	versmaden	v(infin)
betaelt	betalen	V(participle,past)
betaelt	betalen	v(fin,pres,lex)
ons	wij	pron(pers,1,plu)
met	met	adp()
der	de	art(def)
spoet	spoed	n(sing)
of	of	conj(coord)
u	gij	Pron(pers,2,sing)
gheschiet	geschieden	V(participle,past)
gheen	geen	Pron(indef)
ghenade	genade	N(sing)
vroech	vroeg	Adv(gener)
noch	noch	Conj(coord)
spade	spade	Adv(gener)
die	de	art(def)
spangiaerts	spanjaard	N(plu)
waren	zijn	v(fin,past,aux_cop)
seer	zeer	Adv(gener)
verwoet	verwoed	adj()
om	om	Adp()
te	te	Adp()
berooven	beroven	v(infin)
der	de	art(def)
burgers	burger	n(plu)
goet	goed	adj()
de	de	Art(def)
schepen	schip	N(plu)
die	die	Pron(rel)
sy	zij	Pron(pers,3,plu)
geladen	laden	v(participle,past)
vonden	vinden	V(fin,past,lex)
moesten	moeten	v(fin,past,aux_cop)
weder	weer	adv(gener)
ontladen	ontladen	v(participle,past)
metter	de+met	art(def)+adp()
spoet	spoed	n(sing)
en	ne	Conj(coord)
drijven	drijven	V(infin)
daer	daar	Adv(dem)
flucks	vlug	N(sing)
van	van	Adp()
landen	land	n(plu)
of	of	conj(coord)
men	men	pron(indef)
woldse	willen+zij	v(fin,past,aux_cop)+pron(pers,3,plu)
verbranden	verbranden	v(infin)
des	de	art(def)
nachts	nacht	n(sing)
liepen	lopen	v(fin,past,lex)
die	de	art(def)
rabauwen	gibeon	n(plu)
stout	stout	adj()
met	met	Adp()
fackelen	fakkel	n(plu)
ende	en	conj(coord)
hamers	hamer	n(sing)
menichfout	menigvoud	adv(gener)
of	of	Conj(coord)
sy	zij	Pron(pers,3,plu)
al	al	Adv(gener)
deuren	door	V(infin)
wolden	willen	v(fin,past,aux_cop)
op	op	adp()
jaghen	jagen	v(infin)
also	alzo	adv(dem)
dat	dat	conj(subord)
die	de	art(def)
vroukens	vrouw	n(plu)
met	met	adp()
kinde	kind	n(sing)
benout	benauwd	v(participle,past)
zijn	zijn	pron(poss)
doot	dood	N(sing)
ghebleven	blijven	V(participle,past)
door	door	Adp()
vertsaghen	versagen	V(infin)
dat	dat	Conj(subord)
haer	haar	pron(poss)
mans	man	n(sing)
aensaghen	aanzien	n(plu)
die	de	pron(rel)
gouverneur	gouverneur	N(sing)
heeft	hebben	v(fin,pres,aux_cop)
een	een	art(indef)
eysch	eis	N(sing)
ghedaen	doen	v(participle,past)
vier	vuur	n(sing)
tonnen	tonen	N(plu)
gouts	goud	N(sing)
wild	willen	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
ontfaen	ontvangen	V(infin)
vander	van+de	Adp()+Art(def)
stadt	stad	n(sing)
van	van	Adp()
antwerpen	antwerpen	N(prop)
vercoren	verkiezen	V(participle,past)
so	zo	adv(resum)
wolde	willen	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
de	de	Art(def)
burgers	burger	N(plu)
van	van	adp()
stonden	stond	N(plu)
aen	aan	Adp()
ontslaen	ontslaan	V(infin)
meer	meer	num(indef)
wilde	willen	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
hebben	hebben	V(fin,pres,aux_cop)
van	van	Adp()
die	de	art(def)
contoren	contrei	n(plu)
of	of	conj(coord)
tbleve	het+leven	Art(def)+N(sing)
al	al	adv(gener)
verloren	verliezen	v(participle,past)
dus	dus	Adv(dem)
heeft	hebben	v(fin,pres,aux_cop)
die	de	art(def)
gouverneur	gouverneur	N(sing)
wilt	willen	v(fin,pres,aux_cop)
dit	dit	pron(dem)
verstaen	verstaan	V(infin)
thien	tien	Num(card)
tonnen	tonen	n(sing)
goudts	goud	N(sing)
uut	uit	Adp()
antwerpen	antwerpen	v(infin)
ontfaen	ontvangen	v(participle,past)
aldus	aldus	adv(dem)
can	kunnen	v(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
den	de	Art(def)
thienden	tiende	Num(ord)
penninck	penning	N(sing)
halen	halen	V(infin)
al	al	Adv(gener)
costet	kosten	V(fin,pres,lex)
golden	gouden	adj()
ende	en	conj(coord)
silveren	zilveren	adj()
schalen	schade	n(plu)
saen	zaan	adv(gener)
om	om	Adp()
zijn	zijn	pron(poss)
spaniaerts	spanjaard	n(prop)
ende	en	conj(coord)
walen	wel	adv(gener)
daer	daar	adv(dem)
mede	mede	adv(gener)
te	te	adp()
betalen	betalen	v(infin)
sijn	zijn	v(fin,pres,aux_cop)
dit	dit	pron(dem)
ghetrouwe	getrouw	N(sing)
soldaten	soldaat	N(plu)
coen	koen	Adj()
die	de	Pron(rel)
sconincks	de+koning	Art(def)+N(sing)
landen	land	n(plu)
souden	zullen	V(fin,past,aux_cop)
bystant	bijstand	N(sing)
doen	toen	V(infin)
monsuer	monster	N(sing)
havre	haar	n(sing)
met	met	Adp()
zijn	zijn	Pron(poss)
rabouwen	papouw	N(prop)
dry	drie	Num(card)
duysent	duizend	num(card)
gulden	gouden	adj()
gaven	gave	n(plu)
die	de	art(def)
dorpen	dorp	n(plu)
rantsoen	rantsoen	n(plu)
noch	noch	conj(coord)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
die	de	Art(def)
boeren	boer	N(plu)
ghetrouwe	getrouw	adj()
doorsteken	doorsteken	adj()
ende	en	conj(coord)
doorhouwen	door	v(infin)
die	de	art(def)
hoochgheboren	hooggeboren	Adj()
prins	prins	n(sing)
van	van	Adp()
orangien	oranje	N(prop)
bekant	bekend	Adj()
een	een	Art(indef)
vry	vrij	adj()
edel	edel	Adj()
heer	heer	N(sing)
uut	uit	Adp()
dat	dat	Art(def)
nederlant	nederland	N(prop)
daer	daar	Adv(dem)
na	na	Adp()
hoortmen	horen+men	V(fin,pres,lex)+Pron(indef)
thantwerpen	te+antwerpen	Adp()+N(prop)
verlanghen	verlangen	V(infin)
maer	maar	Conj(coord)
den	de	Art(def)
gouverneur	gouverneur	N(sing)
als	als	conj(comp)
een	een	art(indef)
tyrant	tyran	N(sing)
die	die	pron(rel)
doetse	doen+zij	v(fin,pres,lex)+pron(pers,3,sing)
deerlick	deerlijk	adv(gener)
vanghen	vangen	v(infin)
en	en	Conj(coord)
aen	aan	Adp()
een	een	Art(indef)
galghe	galg	N(sing)
hanghen	hangen	v(infin)
so	zo	adv(resum)
lang	lang	adj()
als	als	Conj(comp)
ghy	gij	Pron(pers,2,sing)
den	de	Art(def)
prins	prins	N(sing)
houdt	houden	V(fin,pres,lex)
uut	uit	Adp()
dat	het	art(def)
lant	land	n(sing)
can	kunnen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
u	gij	Pron(pers,2,sing)
schatten	schat	N(sing)
en	en	Conj(coord)
scheeren	scheren	V(infin)
aen	aan	Adp()
elcken	elk	Pron(indef)
cant	kant	N(sing)
den	de	Art(def)
thienden	tiende	Num(ord)
penninck	penning	N(sing)
met	met	Adp()
liste	list	N(sing)
crijghen	krijgen	n(plu)
ghelijck	gelijk	adv(gener)
duckdalbe	dukdalf	N(prop)
den	de	art(def)
ouden	oud	adj()
quant	want	n(sing)
sai	zaaien	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
dan	dan	Adv(dem)
oock	ook	Adv(gener)
gaen	gaan	V(infin)
bijghen	bij	V(infin)
al	al	Adv(gener)
stil	stil	adj()
swijghen	zwijgen	V(infin)
