looft	loven	V(imp)
soeckt	zoeken	V(fin,pres,lex)
nu	nu	Adv(dem)
aflaet	aflaat	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
spaens	spaan	Adv(gener)
gekroont	kronen	V(participle,past)
die	die	pron(rel)
noch	nog	adv(gener)
inde	en	conj(coord)
habana	laban	n(prop)
woont	wonen	N(sing)
wilt	willen	V(fin,pres,aux_cop)
u	gij	Pron(pers,2,sing)
by	bij	Adp()
tijds	tijd	N(sing)
verneeren	vermeren	v(infin)
wie	wie	Pron(inter)
komt	komen	v(fin,pres,lex)
te	te	Adp()
laet	laten	N(sing)
wort	worden	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
verschoont	verschonen	V(participle,past)
pater	pater	N(sing)
sal	zullen	v(fin,pres,aux_cop)
'	?	punc(quest)
t	het	Art(def)
absolveeren	absolveren	N(plu)
don	doen	V(infin)
fredrick	frederick	n(sing)
mocht	mogen	v(fin,past,aux_cop)
wenschen	wens	V(infin)
maer	maar	conj(coord)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
ghesont	gezond	Adj()
in	in	Adp()
spangien	spanje	v(infin)
waer	waar	V(fin,past,aux_cop)
met	met	Adp()
galioens	galjoen	N(plu)
en	en	Conj(coord)
galiassen	galicie	N(plu)
want	want	conj(coord)
onse	ons	pron(poss)
helden	held	n(sing)
allegaer	algader	Adv(gener)
ghestadich	gestadig	Adj()
daer	daar	Adv(dem)
op	op	Adp()
passen	pas	N(plu)
nu	nu	Adv(dem)
kruystmen	kruisigen+hij	V(fin,pres,lex)
daer	daar	Adv(dem)
de	de	art(def)
ruyme	ruimen	adj()
zee	zee	N(sing)
pater	pater	n(sing)
sal	zullen	v(fin,pres,aux_cop)
vinden	vinden	v(infin)
een	een	art(indef)
goe	goed	n(sing)
ree	ree	n(sing)
in	in	Adp()
farnambuco	karna's1in	N(prop)
stercke	sterk	Adj()
mijn	mijn	Pron(poss)
heer	heer	N(sing)
loncq	long	N(sing)
en	en	Conj(coord)
waerdenburgh	warderobe	N(plu)
mee	mee	num(indef)
die	de	art(def)
wercken	werk	n(plu)
'	?	punc(quest)
t	het	Art(def)
welvaers	welvaart	N(sing)
wercke	werk	N(sing)
dees	deze	Pron(dem)
victory	victorie	N(sing)
is	zijn	V(fin,pres,aux_cop)
meerder	meer	num(indef)
waert	zijn+het	N(sing)
als	als	conj(subord)
veele	veel	num(indef)
schatten	schat	N(sing)
op	op	adp()
der	de	Art(def)
aert	aard	N(sing)
elck	elk	Pron(indef)
een	een	Art(indef)
kan	kunnen	V(fin,pres,aux_cop)
'	?	punc(quest)
t	het	Art(def)
niet	niet	Adv(neg)
bedencken	bedenken	V(infin)
de	de	Art(def)
plunderingh	plunderen	n(plu)
gaet	gaan	v(fin,pres,lex)
zijnder	zijn	pron(poss)
vaert	varen	N(sing)
maer	maar	Conj(coord)
spangien	spanje	v(infin)
sal	zullen	V(fin,pres,aux_cop)
'	?	punc(quest)
t	het	Art(def)
meest	meest	Adv(gener)
krencken	krenken	V(infin)
soldaten	soldaat	N(plu)
houdet	houden	V(fin,pres,lex)
goede	goed	adj()
moet	moeten	v(fin,pres,aux_cop)
krijgsheldts	krijgsheld	adj()
te	te	adp()
paerde	paard	N(sing)
en	en	adv(neg)
te	te	Adp()
voet	voet	N(sing)
u	gij	Pron(poss)
veldtheer	hij+vellen	N(sing)
blijft	blijven	V(fin,pres,aux_cop)
ghetrouwe	getrouw	Adj()
vernieticht	vernieting	V(fin,pres,lex)
het	het	Pron(pers,3,sing)
maraens	moeras	n(prop)
ghebroet	broeden	V(participle,past)
tot	tot	Adp()
lof	lof	N(sing)
vant	van+het	Adp()+Art(def)
huys	huis	N(sing)
nassouwe	nassau	N(prop)
d	de	Art(def)
'	?	punc(quest)
hoogh	hoog	Adj()
mogende	mogend	Adj()
heeren	heer	N(sing)
staten	staat	N(plu)
wijs	wijs	Adj()
vive	vive	Misc()
orangie	oranje	N(prop)
seer	zeer	n(sing)
propijs	proper	N(sing)
barons	baroen	n(prop)
en	en	Conj(coord)
colonellen	keulen	V(infin)
leytse	laten+zij	N(sing)
o	o	Interj()
heer	heer	N(sing)
nae	na	Adp()
u	gij	Pron(poss)
advijs	arbeid	N(sing)
om	om	Adp()
'	?	punc(quest)
t	het	Art(def)
landt	land	N(sing)
in	in	Adp()
rust	rust	N(sing)
te	te	Adp()
stellen	stellen	V(infin)
geoctroyeerde	corrigeren	V(participle,past)
heeren	heer	N(sing)
vry	vrij	Adj()
der	de	Art(def)
west	west	N(sing)
indische	joods	adj()
compagny	compagnie	n(sing)
gheluck	geluk	N(sing)
komt	komen	V(fin,pres,lex)
u	gij	Pron(pers,2,sing)
toe	toe	Adp()
wenden	wenden	V(infin)
u	gij	Pron(poss)
helden	held	N(plu)
maeckt	maken	V(fin,pres,lex)
nu	nu	Adv(dem)
herten	hart	N(sing)
bly	blij	Adj()
secours	secours	N(sing)
wiltse	willen+zij	V(imp)+Pron(pers,3,plu)
haest	haast	Adv(gener)
senden	zenden	V(infin)
