wie	wie	Pron(inter)
brenghen	brengen	v(infin)
in	in	Adp()
de	de	Art(def)
last	last	n(sing)
al	al	Adv(gener)
binnen	binnen	adv(gener)
veerthien	veertien	V(infin)
daghen	dag	N(plu)
maeckten	maken	V(fin,past,lex)
wy	wij	Pron(pers,1,plu)
malcandren	elkaar	Pron(refl,1,plu)
wijs	wijze	Adj()
souden	zullen	v(fin,past,aux_cop)
wyse	wij+zij	Pron(pers,1,plu)+Pron(pers,3,plu)
sien	zien	v(infin)
verjaghen	verjagen	V(infin)
haer	haar	Pron(poss)
goet	goed	adj()
maecken	maken	V(infin)
tot	tot	Adp()
prijs	prijs	N(sing)
tscheep	te+scheep	Adp()+N(sing)
waeren	zijn	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
gheleghen	liggen	V(participle,past)
t	het	Art(def)
'	?	punc(quest)
enchuysen	enchuysen	N(plu)
voor	voor	Adp()
de	de	Art(def)
stadt	stad	N(sing)
hadden	hebben	V(fin,past,aux_cop)
wyse	wijs	Pron(pers,1,plu)+Pron(pers,3,plu)
doen	toen	v(infin)
ghecreghen	krijgen	V(participle,past)
wy	wij	Pron(pers,1,plu)
haddense	hebben+zij	V(fin,past,lex)+Pron(pers,3,plu)
al	al	Adv(gener)
ghehadt	hebben	V(participle,past)
wy	wij	Pron(pers,1,plu)
achtense	achten+zij	V(fin,past,lex)+Pron(pers,3,plu)
voor	voor	Adp()
ontbijten	ontbijten	V(infin)
noch	noch	Conj(coord)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gheen	geen	Pron(indef)
pijn	pijn	N(sing)
t	het	Art(def)
'	?	punc(quest)
mach	mogen	V(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
te	te	adp()
recht	recht	n(sing)
wel	wel	adv(gener)
spijten	spijten	v(infin)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
dus	dus	Adv(dem)
bedroghen	bedriegen	V(participle,past)
zijn	zijn	v(fin,pres,aux_cop)
don	doen	N(sing)
fredrick	frederick	adj()
was	zijn	v(fin,past,aux_cop)
ghecomen	komen	v(participle,past)
dry	drie	num(card)
weken	week	N(plu)
voor	voor	Adp()
kersmis	kerstmis	N(prop)
wy	wij	Pron(pers,1,plu)
ghinghen	gaan	V(fin,past,lex)
ons	wij	Pron(pers,1,plu)
beromen	beroemen	V(infin)
ons	wij	Pron(poss)
saeck	zaak	N(sing)
stondt	stond	N(sing)
heel	heel	Adv(gener)
int	in+het	Adp()+Art(def)
wis	wijs	N(sing)
ons	wij	pron(pers,1,plu)
vrienden	vriend	n(plu)
lieten	laten	V(fin,past,lex)
wy	wij	Pron(pers,1,plu)
weten	weten	v(infin)
die	de	Art(def)
sop	sop	n(sing)
moest	moeten	V(fin,past,aux_cop)
zijn	zijn	v(fin,pres,aux_cop)
ghereet	gereed	N(sing)
wy	wij	Pron(pers,1,plu)
woudense	willen+zij	V(fin,past,lex)+Pron(pers,3,plu)
met	met	Adp()
haer	haar	pron(poss)
eten	eten	n(sing)
twaer	het+waar	Art(def)+N(sing)
geus	geus	n(sing)
lieff	lief	N(sing)
ofte	of	Conj(coord)
leet	leed	N(sing)
zy	zij	Pron(pers,3,sing)
hielden	houden	V(fin,past,lex)
haer	haar	Pron(poss)
sop	sop	N(sing)
met	met	adp()
vreden	vrede	N(sing)
tot	tot	Adp()
nieuwe	nieuw	Adj()
jaer	jaar	N(sing)
henby	voorbij	Pron(pers,3,plu)
die	de	Pron(rel)
pankoecks	pannekoek	adj()
daghen	dag	n(plu)
voorleden	voorleden	V(participle,past)
die	de	Pron(rel)
paescheyers	paasei	N(plu)
gingen	gaan	v(fin,past,aux_cop)
voorby	voorbij	Adv(gener)
die	de	art(def)
slachtijdt	slachttijd	N(sing)
ginck	gaan	v(fin,past,lex)
ghenaecken	genaken	V(infin)
zy	zij	Pron(pers,3,sing)
saeten	zitten	V(infin)
noch	noch	Conj(coord)
gherust	gerust	adj()
doegingen	toen+gaan	Adv(gener)+V(fin,past,lex)
wy	wij	Pron(pers,1,plu)
schepen	schip	N(plu)
toe	toe	Adp()
maecken	maken	V(infin)
nae	na	adp()
beulingh	beuling	N(sing)
hadden	hebben	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
lust	lust	N(sing)
maer	maar	Conj(coord)
doen	doen	V(infin)
wy	wij	Pron(pers,1,plu)
derwaerts	derwaarts	Adv(gener)
quamen	komen	V(fin,past,lex)
die	de	Art(def)
geus	geus	n(sing)
quam	komen	V(fin,past,lex)
ons	wij	Pron(pers,1,plu)
te	te	adp()
moet	moeten	n(sing)
de	de	art(def)
beulinck	beulinck	N(prop)
die	die	Pron(rel)
wy	wij	Pron(pers,1,plu)
vernamen	vernemen	v(fin,past,lex)
en	en	Conj(coord)
smaeckte	smaken	V(fin,past,lex)
voor	voor	Adp()
ons	wij	Pron(pers,1,plu)
niet	niet	Adv(neg)
soet	zoet	adj()
te	te	Adp()
rugghe	rug	N(sing)
soo	zo	Adv(resum)
moesten	moeten	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
keeren	keren	V(infin)
dat	dat	Pron(dem)
dede	doen	v(fin,past,aux_cop)
cruyt	kruid	n(sing)
en	ne	art(indef)
loot	lood	N(sing)
bossu	bossu	N(prop)
werde	worden	V(fin,past,aux_cop)
met	met	Adp()
zijn	zijn	Pron(poss)
heeren	heer	N(sing)
op	op	Adp()
worst	worst	N(sing)
en	en	Conj(coord)
beulinck	beulinck	N(prop)
ghenoot	genoot	N(sing)
voor	voor	Adp()
alckmaer	alkmaar	adv(gener)
ende	en	conj(coord)
leyen	lezen	v(infin)
heeft	hebben	V(fin,pres,aux_cop)
godt	god	N(sing)
ons	wij	Pron(poss)
knechten	knecht	N(plu)
verjaecht	verjagen	V(fin,pres,lex)
hoe	hoe	Adv(inter)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
langher	lang	Adv(gener)
beyen	beiden	V(infin)
hoet	het+hoe	pron(pers,3,sing)+adv(inter)
qualijcker	wederkomen	adv(gener)
met	met	adp()
ons	wij	pron(pers,1,plu)
daecht	dagen	V(fin,pres,lex)
nu	nu	Adv(dem)
moeten	moeten	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
leeren	leren	V(infin)
spaeren	sparen	V(infin)
off	of	Conj(coord)
vaeren	varen	V(infin)
op	op	Adp()
vrybuyt	vergeven	N(sing)
dat	dat	Art(def)
rijcke	rijk	n(sing)
luyden	zuiden	N(plu)
waeren	zijn	V(fin,past,aux_cop)
die	die	Pron(rel)
comen	komen	V(fin,pres,lex)
tot	tot	adp()
sint	sint	adj()
reynuyt	ruim	n(prop)
oorloff	oorlof	n(sing)
die	die	pron(rel)
nu	nu	adv(dem)
noch	nog	adv(gener)
leven	leven	v(infin)
van	van	adp()
die	die	pron(rel)
daer	daar	Adv(dem)
zijn	zijn	v(fin,pres,aux_cop)
gheruymt	ruimen	V(participle,past)
hadt	hebben	V(fin,past,aux_cop)
ghy	gij	Pron(pers,2,sing)
by	bij	Adp()
huys	huis	N(sing)
ghebleven	blijven	V(participle,past)
ghy	gij	Pron(pers,2,plu)
en	ne	Adv(neg)
hadt	hebben	V(fin,past,aux_cop)
niet	niet	Adv(neg)
veel	veel	num(indef)
versuymt	verzuimen	V(participle,past)
hadt	hebben	V(fin,past,aux_cop)
ghy	gij	Pron(pers,2,plu)
met	met	Adp()
vrienden	vriend	N(plu)
en	en	Conj(coord)
bueren	blijven+erin	V(infin)
u	gij	Pron(poss)
lijff	lijf	N(sing)
end	en	Conj(coord)
leven	leven	N(sing)
ghewaecht	wagen	V(participle,past)
verwacht	verwachten	V(participle,past)
soet	zoet	Adj()
ende	en	conj(coord)
sueren	zweren	V(infin)
soo	zo	Adv(resum)
dat	dat	Conj(subord)
den	de	Art(def)
heer	heer	N(sing)
behaecht	behagen	V(participle,past)
