o	o	interj()
fel	fel	Adj()
dit	dit	Pron(dem)
zijn	zijn	V(fin,pres,aux_cop)
u	uw	pron(poss)
treken	treek	V(infin)
wel	wel	adv(gener)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
bijt	bijten	V(fin,pres,lex)
schaepkens	schaap	N(plu)
claerlick	klaarlijk	Adj()
en	en	Conj(coord)
vaecht	vangen	V(fin,pres,lex)
u	gij	Pron(poss)
muylen	muil	V(infin)
snel	snel	Adj()
recht	recht	n(sing)
of	of	Conj(coord)
ghy	gij	Pron(pers,2,sing)
in	in	Adp()
tghequel	het+geheel	Art(def)+N(sing)
hen	zij	pron(pers,3,plu)
niet	niet	Adv(neg)
ghebrocht	brengen	V(participle,past)
hadt	hebben	V(fin,past,aux_cop)
swaerlick	zwaarlijk	Adj()
smaendaechs	de+maandag	Adj()
teghen	tegen	adp()
den	de	Art(def)
nacht	nacht	N(sing)
wert	worden	V(fin,past,aux_cop)
hen	zij	Pron(pers,3,plu)
de	de	art(def)
weet	wet	N(sing)
onsacht	onzacht	adj()
ghedaen	doen	v(participle,past)
om	om	Adp()
sdaechs	zalig	Art(def)+N(sing)
te	te	adp()
sterven	sterven	v(infin)
doen	doen	v(infin)
spraken	spreken	V(infin)
sy	zij	Pron(pers,3,plu)
bedacht	bedenken	V(fin,pres,lex)
wy	wij	Pron(pers,1,plu)
hebben	hebben	V(fin,pres,aux_cop)
langh	lang	Adv(gener)
gewacht	wachten	v(participle,past)
om	om	Adp()
gods	god	N(sing)
rijck	rijk	N(sing)
te	te	Adp()
beerven	beërven	V(infin)
sy	zij	Pron(pers,3,plu)
waren	zijn	V(fin,past,aux_cop)
heel	heel	Adv(gener)
vervreucht	vervreugen	V(participle,past)
en	en	Conj(coord)
dat	dat	pron(rel)
in	in	adp()
rechter	recht	adj()
deucht	deugd	n(sing)
van	van	Adp()
blijschap	blijdschap	N(sing)
gants	gans	Adv(gener)
ontspronghen	ontspringen	v(participle,past)
hebben	hebben	v(fin,pres,aux_cop)
met	met	Adp()
groot	groot	adj()
geneucht	geneugte	N(sing)
in	in	Adp()
god	god	N(sing)
sijnde	zijn	V(participle,pres)
verheucht	verheugd	V(participle,past)
den	de	Art(def)
psalm	psalm	N(sing)
sestien	zestien	Num(card)
ghesonghen	zingen	V(participle,past)
ter	te+de	Adp()+Art(def)
doot	dood	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gebrocht	brengen	V(participle,past)
dwelckmen	de+welke	V(infin)
aenschouwen	aanschouwen	v(infin)
mocht	mogen	v(fin,past,aux_cop)
een	een	Art(indef)
yeghelic	iegelijk	adj()
bysonder	bijzonder	Adv(gener)
van	van	Adp()
dat	dat	Pron(dem)
babels	babylon	n(prop)
gedrocht	gedragen	v(participle,past)
dat	dat	Conj(subord)
den	de	Art(def)
paus	paus	n(sing)
is	zijn	V(fin,pres,aux_cop)
verknocht	verkopen	V(participle,past)
al	al	Adv(gener)
swijgende	zwijgen	v(participle,pres)
twas	het+zijn	Pron(pers,3,sing)+V(fin,past,aux_cop)
wonder	wonder	N(sing)
elck	elk	Pron(indef)
is	zijn	V(fin,pres,aux_cop)
al	al	Adv(gener)
met	met	Adp()
zijn	zijn	Pron(poss)
rot	rood	n(sing)
gecomen	komen	V(participle,past)
opt	op+het	art(def)+adp()
schavodt	schavot	N(sing)
ghebonden	binden	V(participle,past)
als	als	Conj(comp)
een	een	art(indef)
beeste	beest	n(sing)
een	een	art(indef)
yeder	ieder	n(sing)
badt	bidden	v(fin,past,lex)
dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)
slot	slot	n(sing)
in	in	adp()
uwen	uw	pron(poss)
handen	hand	N(plu)
godt	god	N(sing)
beveel	bevel	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
mijnen	mijn	Pron(poss)
gheeste	geest	N(sing)
daer	daar	Adv(dem)
na	na	adp()
met	met	Adp()
smerte	smart	N(sing)
groot	groot	Adj()
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
geworcht	werken	V(participle,past)
doot	dood	N(sing)
en	en	Conj(coord)
ghebrant	branden	N(sing)
aen	aan	Adp()
vier	vuur	Num(card)
staken	steken	N(plu)
o	o	interj()
jammerlicken	jammerlijk	adj()
noot	nood	N(sing)
want	want	Conj(coord)
om	om	Adp()
de	de	Art(def)
waerheyt	waarheid	N(sing)
bloot	bloot	Adj()
moesten	moeten	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
den	de	Art(def)
doot	dood	N(sing)
smaken	smaken	v(infin)
also	alzo	adv(dem)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gherust	gerust	V(participle,past)
na	na	Adp()
haers	haar	pron(poss)
herten	hart	N(sing)
lust	lust	v(fin,pres,lex)
in	in	Adp()
christo	christus	N(prop)
den	de	Art(def)
ghetrouwen	getrouw	N(sing)
van	van	adp()
hem	hij	Pron(pers,3,sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
ghecust	kussen	V(participle,past)
hen	zij	Pron(pers,3,plu)
vyer	vuur	N(sing)
is	zijn	V(fin,pres,aux_cop)
uutgeblust	uithouwen	N(prop)
tleven	het+leven	art(def)+n(sing)
dat	dat	pron(dem)
is	zijn	v(fin,pres,aux_cop)
behouwen	behouden	V(infin)
duysent	duizend	Num(card)
vijf	vijf	Num(card)
hondert	honderd	Num(card)
jent	in+het	N(sing)
en	en	Conj(coord)
tseventich	???	Art(def)+N(sing)
bekent	bekend	Adj()
is	zijn	v(fin,pres,aux_cop)
dit	dit	Pron(dem)
werck	werk	N(sing)
int	in+het	Adp()+Art(def)
ghereye	gerek	N(sing)
gebrocht	brengen	v(participle,past)
ende	en	conj(coord)
volent	yolanda	v(fin,pres,lex)
van	van	adp()
den	de	art(def)
raet	raad	n(sing)
gants	gans	Adv(gener)
verblent	verblinden	V(participle,past)
den	de	art(def)
dertichsten	dertienste	Num(card)
dach	dag	n(sing)
meye	mei	n(prop)
o	o	Interj()
heeren	heer	N(sing)
nu	nu	Adv(dem)
toch	toch	Adv(gener)
beeft	beven	V(fin,pres,lex)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
dus	dus	Adv(dem)
groulick	gruwelijk	Adv(gener)
leeft	leven	V(fin,pres,lex)
met	met	Adp()
gods	god	N(sing)
schaepkens	schaap	N(plu)
seer	zeer	Adv(gener)
goedich	goedig	Adj()
en	en	Conj(coord)
u	gij	Pron(poss)
hert	hart	N(sing)
toch	toch	Adv(gener)
begeeft	begeven	V(fin,pres,lex)
tot	tot	Adp()
godt	god	N(sing)
eer	eer	Conj(subord)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
sneeft	sneeuwwit	V(fin,pres,lex)
want	want	Conj(coord)
u	uw	Pron(poss)
handen	hand	N(plu)
zijn	zijn	Pron(poss)
bloedich	bloedig	Adj()
neemt	nemen	V(fin,pres,lex)
in	in	Adp()
danck	dank	N(sing)
dit	dit	Pron(dem)
gesangh	gezien	N(sing)
o	o	interj()
gods	god	N(sing)
ghemeynte	gemeente	N(sing)
bangh	bang	N(sing)
mijn	mijn	Pron(poss)
broeders	broeder	N(plu)
inden	in+de	Adp()+Art(def)
heere	heer	N(sing)
ick	ik	Pron(pers,1,sing)
hoep	hopen	V(fin,pres,lex)
godt	god	N(sing)
sal	zullen	V(fin,pres,aux_cop)
eerlangh	eerlang	Adv(gener)
helpen	helpen	V(infin)
vrij	vrij	adj()
uut	uit	Adp()
bedwang	bedwang	N(sing)
ons	wij	pron(pers,1,plu)
als	als	Conj(comp)
zijn	zijn	Pron(poss)
kindren	kind	n(plu)
teere	een+te	art(indef)+adp()
ghy	gij	Pron(pers,2,plu)
predicanten	predikant	N(plu)
net	net	N(sing)
swijcht	zwijgen	V(imp)
niet	niet	Adv(neg)
door	door	Adp()
gheen	geen	Pron(indef)
belet	beletten	N(sing)
bouwt	bouwen	N(sing)
op	op	Adp()
gods	god	N(sing)
kercke	kerk	N(sing)
schoone	schoon	Adj()
u	gij	Pron(poss)
mondt	mond	N(sing)
sy	zij	Pron(pers,3,plu)
een	een	Art(indef)
trompet	trompet	N(sing)
om	om	Adp()
te	te	Adp()
leeren	leren	v(infin)
gods	god	N(sing)
wet	wet	n(sing)
so	zo	adv(resum)
crijcht	krijgen	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
slevens	het+leven	Art(def)+N(sing)
croone	kroon	N(sing)
