wie	wie	Pron(inter)
verdroncken	verdrinken	V(participle,past)
en	en	Adv(neg)
is	zijn	v(fin,pres,aux_cop)
dat	dat	conj(subord)
niet	niet	adv(neg)
lijden	lijden	v(infin)
groot	groot	adj()
god	god	N(sing)
wil	willen	V(fin,pres,aux_cop)
haer	haar	pron(poss)
herte	hart	n(sing)
ontfoncken	ontvangen	v(fin,past,lex)
de	de	art(def)
schipper	schipper	n(sing)
heft	hebben	v(fin,pres,aux_cop)
hier	hier	adv(dem)
niet	niet	adv(neg)
op	op	Adp()
verdacht	verdagen	V(participle,past)
hy	hij	Pron(pers,3,sing)
heftse	hebben+zij	v(fin,pres,lex)+pron(pers,3,sing)
te	te	Adp()
harlingen	verlangen	V(infin)
int	het+in	art(def)+adp()
sant	zand	n(sing)
gebracht	brengen	v(participle,past)
daer	daar	adv(dem)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	pron(pers,3,plu)
lange	lang	adv(gener)
gelegen	liggen	v(participle,past)
mijn	mijn	pron(poss)
heer	heer	n(sing)
van	van	Adp()
arenborch	armboog	N(sing)
quam	komen	v(fin,past,lex)
met	met	adp()
grooter	groot	adj()
macht	macht	n(sing)
aldaer	aldaar	Adv(dem)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gecregen	krijgen	V(participle,past)
het	het	pron(pers,3,sing)
geschiede	geschieden	v(fin,past,lex)
op	op	adp()
een	een	art(indef)
maendach	maand	N(sing)
datmen	dat+men	conj(subord)+pron(indef)
arenborchs	armborst	n(prop)
vaendele	onedel	v(participle,pres)
vligen	vliegen	v(infin)
sach	zien	v(fin,past,lex)
te	te	adp()
harlingen	verlangen	v(infin)
op	op	adp()
den	de	art(def)
haven	have	n(sing)
al	al	adv(gener)
waren	zijn	v(fin,past,aux_cop)
de	de	art(def)
goesen	roos	n(plu)
noch	noch	conj(coord)
so	zo	adv(resum)
sterck	sterk	Adj()
wy	wij	Pron(pers,1,plu)
willense	willen+zij	V(participle,pres)
veriagen	verjagen	V(infin)
de	de	Art(def)
schipper	schipper	N(sing)
vant	van+het	Adp()+Art(def)
schip	schip	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
haer	haar	Pron(poss)
verraen	verraden	V(participle,past)
hondert	honderd	num(card)
en	en	Conj(coord)
vijf	vijf	Num(card)
zijn	zijn	V(fin,pres,aux_cop)
daer	daar	Adv(dem)
gevaen	gevangen	V(participle,past)
soo	zo	Adv(resum)
alst	als+het	Conj(subord)+Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
gebleeken	blijken	V(participle,past)
sy	zij	Pron(pers,3,plu)
worden	worden	V(fin,past,aux_cop)
te	te	Adp()
harlingen	verlangen	n(sing)
gebracht	brengen	V(participle,past)
de	de	art(def)
boyen	boven	n(plu)
mosten	moeten	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
slepen	slepen	v(infin)
doen	toen	V(infin)
sy	zij	Pron(pers,3,plu)
te	te	Adp()
harlingen	verlangen	V(infin)
binnen	binnen	adv(gener)
quam	komen	v(fin,past,lex)
daer	daar	adv(dem)
stont	staan	v(fin,past,lex)
so	zo	adv(resum)
menich	menig	num(indef)
wijf	wijf	n(sing)
ende	en	conj(coord)
man	men	n(sing)
sy	zij	pron(pers,3,plu)
beclagen	beklagen	V(infin)
haer	zij	Pron(poss)
allen	al	Num(indef)
soo	zo	Adv(resum)
seere	zeer	Adv(gener)
o	o	Interj()
rijck	rijk	N(sing)
god	god	N(sing)
hoe	hoe	Adv(inter)
wil	willen	V(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
dit	dit	pron(dem)
vergaen	vergaan	v(participle,past)
dat	dat	pron(dem)
weet	weten	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
godt	god	N(sing)
den	de	Art(def)
heere	heer	N(sing)
mijn	mijn	Pron(poss)
heer	heer	N(sing)
van	van	Adp()
arenborch	armboog	N(sing)
wel	wel	adv(gener)
genant	nennen	V(participle,past)
hy	hij	Pron(pers,3,sing)
was	zijn	V(fin,past,aux_cop)
stathouder	stadhouder	N(sing)
over	over	adp()
vrieslant	friesland	n(sing)
gesellen	gezel	n(plu)
wat	wat	pron(inter)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
misdaen	misdoen	V(participle,past)
ghy	gij	Pron(pers,2,plu)
hebt	hebben	V(fin,pres,aux_cop)
tegen	tegen	Adp()
coninges	koning	n(sing)
placaet	plakkaat	n(sing)
gedaent	doen	v(participle,past)
dat	dat	pron(dem)
sal	zullen	v(fin,pres,aux_cop)
costen	kosten	v(infin)
u	uw	pron(poss)
leven	leven	v(fin,pres,lex)
wi	wij	pron(pers,1,plu)
hebben	hebben	v(fin,pres,aux_cop)
tegen	tegen	adp()
conincx	koning	n(sing)
placaet	plakkaat	n(sing)
nie	nie	adv(indef)
gedaen	doen	v(participle,past)
maer	maar	conj(coord)
om	om	adp()
de	de	Art(def)
inquisitie	inquisitie	N(sing)
tegen	tegen	adp()
te	te	adp()
staen	staan	v(infin)
om	om	adp()
te	te	Adp()
beschermen	beschermen	v(infin)
de	de	Art(def)
onnoselen	onnozel	N(plu)
haer	haar	Pron(poss)
leven	leven	n(sing)
daer	daar	Adv(dem)
toe	toe	v(fin,past,lex)
hadden	hebben	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
ons	wij	Pron(pers,1,plu)
bereyt	bereiden	V(fin,pres,lex)
daer	daar	adv(dem)
toe	toe	v(fin,past,lex)
hadden	hebben	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
ons	wij	pron(pers,1,plu)
begeven	begeven	V(participle,past)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
na	na	Adp()
dat	dat	Pron(dem)
blochuys	blokhuis	n(sing)
gebracht	brengen	v(participle,past)
daer	daar	adv(dem)
toe	toe	v(fin,past,lex)
alle	al	num(indef)
so	zo	adv(resum)
seer	zeer	Adv(gener)
besocht	bezoeken	V(participle,past)
haer	haar	Pron(poss)
gelt	geld	n(sing)
ende	en	conj(coord)
geweer	geweren	adj()
benomen	benemen	v(participle,past)
sy	zij	pron(pers,3,plu)
spraken	spreken	V(fin,past,lex)
stathouder	stadhouder	N(sing)
weest	zijn	v(imp)
wel	wel	Adv(gener)
gemoet	gemoed	N(sing)
het	het	pron(pers,3,sing)
sal	zullen	v(fin,pres,aux_cop)
u	gij	pron(pers,2,sing)
niet	niet	adv(neg)
wel	wel	Adv(gener)
vromen	vroom	V(infin)
batenburchs	batenborch	adj()
sonen	zoon	n(plu)
worden	worden	v(fin,past,aux_cop)
wech	weg	n(sing)
gesandt	zenden	v(participle,past)
mit	met	adp()
twee	twee	num(card)
heerschopen	heerschap	n(plu)
al	al	Adv(gener)
wt	uit	Adp()
vrieslant	friesland	N(prop)
op	op	Adp()
dat	dat	art(def)
huis	huis	n(sing)
te	te	adp()
vilfoort	comfort	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gelegen	liggen	V(participle,past)
sy	zij	Pron(pers,3,plu)
sullen	zullen	v(fin,pres,aux_cop)
wel	wel	Adv(gener)
wederom	wederom	adv(gener)
comen	komen	v(infin)
mogen	mogen	V(fin,pres,aux_cop)
sy	zij	pron(pers,3,plu)
anders	anders	Adv(gener)
leven	leven	V(infin)
de	die	Art(def)
ons	wij	pron(pers,1,plu)
dit	dit	Pron(dem)
nieu	nieuw	Adj()
liet	laten	V(fin,past,lex)
eerst	eerst	Adv(gener)
sanck	zang	n(sing)
dat	dat	pron(dem)
was	zijn	v(fin,past,aux_cop)
een	een	art(indef)
lantsknecht	landsknecht	n(sing)
wt	uit	Adp()
brabant	brabant	N(prop)
hy	hij	Pron(pers,3,sing)
heft	hebben	v(fin,pres,aux_cop)
dat	dat	conj(subord)
so	zo	adv(gener)
wel	wel	adv(gener)
gesongen	zingen	V(participle,past)
hy	hij	pron(pers,3,sing)
heft	hebben	v(fin,pres,aux_cop)
te	te	adp()
harlingen	verlangen	n(sing)
gevangen	vangen	v(participle,past)
gewest	zijn	v(participle,past)
den	de	art(def)
dans	dans	n(sing)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
ontsprongen	ontspringen	V(infin)
loff	lof	N(sing)
prijsdense	hij+prijzen	n(sing)
god	god	n(sing)
in	in	Adp()
eewicheyt	eeuwigheid	N(sing)
wy	wij	Pron(pers,1,plu)
bidden	bidden	V(fin,pres,lex)
door	door	Adp()
u	gij	Pron(poss)
mayesteyt	majesteit	N(sing)
wilt	willen	V(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
genade	genade	n(sing)
geven	geven	v(infin)
op	op	adp()
datwy	dat	pron(dem)
moegen	mogen	v(fin,pres,aux_cop)
zijn	zijn	v(fin,pres,aux_cop)
bereyt	bereiden	v(participle,past)
na	na	Adp()
u	uw	Pron(poss)
woorden	woord	N(plu)
te	te	Adp()
leven	leven	V(infin)
