aenhoort	aanhoren	V(imp)
veel	veel	Num(indef)
ponten	punt	N(plu)
op	op	Adp()
wagens	wagen	N(plu)
stellen	stellen	V(infin)
daer	daar	Adv(dem)
hy	hij	Pron(pers,3,sing)
mede	mede	Adv(gener)
te	te	Adp()
velde	veld	n(sing)
quam	komen	v(fin,past,lex)
van	van	adp()
antwerpen	antwerpen	n(prop)
ongelogen	ongeluk	V(participle,past)
na	na	Adp()
steenbergen	steenbergen	n(sing)
getogen	togen	v(participle,past)
dat	dat	pron(dem)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
met	met	Adp()
alle	al	Num(indef)
man	man	n(sing)
gevallen	vallen	v(participle,past)
soo	zo	Adv(resum)
geweldich	geweldig	Adj()
an	aan	Adp()
want	want	conj(coord)
daer	daar	adv(dem)
lagen	liggen	V(fin,past,lex)
wilt	willen	V(fin,pres,aux_cop)
versinnen	verzinnen	V(infin)
maer	maar	Conj(coord)
twee	twee	num(card)
compagnyen	compagnie	N(plu)
binnen	binnen	adv(gener)
die	die	pron(rel)
en	ne	adv(neg)
konden	kunnen	v(fin,past,lex)
haer	zij	pron(pers,3,sing)
niet	niet	Adv(neg)
wederstaen	weerstaan	v(infin)
steenbergen	steenbergen	V(infin)
zy	zij	Pron(pers,3,plu)
verheerden	verharden	V(fin,past,lex)
van	van	Adp()
daer	daar	adv(dem)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
doen	doen	v(infin)
keerden	keren	V(fin,past,lex)
na	na	adp()
bergen	bergen	v(infin)
op	op	adp()
den	de	art(def)
zoom	boom	N(sing)
seer	zeer	Adv(gener)
rat	rad	N(sing)
sy	zij	Pron(pers,3,plu)
meenden	menen	V(fin,past,lex)
oock	ook	Adv(gener)
soo	zo	Adv(resum)
dese	deze	Pron(dem)
stadt	stad	N(sing)
met	met	Adp()
gewelt	geweld	N(sing)
te	te	Adp()
overvallen	overvallen	V(infin)
maer	maar	conj(coord)
haer	haar	Pron(poss)
muyren	muur	n(plu)
ende	en	conj(coord)
wallen	wallen	v(infin)
die	die	pron(rel)
waren	zijn	v(fin,past,aux_cop)
haer	zij	pron(pers,3,sing)
noch	nog	adv(gener)
veel	veel	num(indef)
te	te	adp()
glat	plat	N(sing)
als	als	conj(subord)
die	de	art(def)
tyding	tijd	n(sing)
was	zijn	v(fin,past,aux_cop)
gekomen	komen	v(participle,past)
in	in	adp()
zeelandt	zeeland	N(prop)
wert	waart	v(fin,pres,aux_cop)
vernomen	vernemen	v(participle,past)
dat	dat	conj(subord)
den	de	Art(def)
vyandt	vijand	N(sing)
sterck	sterk	Adj()
ghemant	gemond	V(participle,past)
gevallen	vallen	v(participle,past)
was	zijn	V(fin,past,aux_cop)
soo	zo	Adv(resum)
in	in	Adp()
ons	wij	Pron(poss)
landt	land	N(sing)
terstont	terstond	Adv(gener)
maeckten	maken	V(fin,past,lex)
haer	haar	Pron(poss)
reede	rede	N(sing)
de	de	Art(def)
burgers	burger	N(plu)
uyt	uit	Adp()
alle	al	Num(indef)
steden	stad	N(plu)
en	en	Conj(coord)
soldaten	soldaat	N(plu)
seer	zeer	Adv(gener)
abondant	avond	N(sing)
daer	daar	Adv(dem)
wert	worden	adv(gener)
ten	te+de	adp()+art(def)
selven	zelf	pron(dem)
stonden	stond	v(fin,past,lex)
veel	veel	num(indef)
volcks	volk	N(sing)
in	in	adp()
gesonden	gezond	v(participle,past)
uut	uit	adp()
ons	wij	pron(pers,1,plu)
leger	leggen	Adj()
even	even	adv(gener)
dra	daaraf	N(sing)
het	het	pron(pers,3,sing)
regiment	regiment	N(sing)
van	van	adp()
mons	mond	N(sing)
fama	faam	n(prop)
met	met	adp()
alle	al	Num(indef)
zijn	zijn	Pron(poss)
nieuwe	nieuw	Adj()
geusen	geus	N(plu)
die	de	Pron(rel)
kregen	krijgen	V(fin,past,lex)
haest	haast	Adv(gener)
de	de	Art(def)
leuse	leus	N(sing)
dat	dat	pron(dem)
was	zijn	v(fin,past,aux_cop)
tijt	tijd	n(sing)
te	te	adp()
beletten	beletten	v(infin)
scha	schade	n(sing)
den	de	Art(def)
vyandt	vijand	N(sing)
doort	door+het	Adp()+Art(def)
neerstigh	ernstig	Adj()
slaven	slaaf	V(infin)
doet	doen	v(fin,pres,lex)
hem	hij	pron(pers,3,sing)
wel	wel	Adv(gener)
sterck	sterk	Adj()
begraven	begraven	V(participle,past)
te	te	Adp()
burghvliet	burggraaf	N(sing)
en	en	adv(neg)
te	te	Adp()
noortgeest	noordweste	Adv(gener)
int	in+het	art(def)+adp()
berghschebos	berg	n(sing)
noch	noch	Conj(coord)
alder	al+de	Num(indef)+Art(def)
meest	meest	Adv(gener)
veel	veel	Num(indef)
stucken	stuk	N(plu)
gaet	gaan	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
stellen	stellen	V(infin)
al	al	Adv(gener)
om	om	Adp()
die	de	Art(def)
stadt	stad	n(sing)
te	te	Adp()
vellen	vellen	V(infin)
maer	maar	Conj(coord)
sy	zij	Pron(pers,3,plu)
en	en	Adv(neg)
zijn	zijn	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
eens	eens	Adv(gener)
bevreest	bevreesd	V(participle,past)
ons	wij	Pron(poss)
soldaten	soldaat	N(plu)
lustich	lustig	Adj()
vechten	vechten	V(infin)
teghen	tegen	Adp()
die	de	Pron(rel)
spaensche	spaans	Adj()
spechten	specht	N(plu)
sy	zij	Pron(pers,3,plu)
gheven	geven	V(infin)
dapper	dapper	Adj()
vier	vuur	N(sing)
daer	daar	Adv(dem)
uyt	uit	Adp()
sy	zij	Pron(pers,3,plu)
slaen	slaan	V(infin)
malkander	elkaar	N(prop)
op	op	Adp()
de	de	art(def)
huyt	huid	N(sing)
sy	zij	Pron(pers,3,plu)
vallen	vallen	V(infin)
uyt	uit	Adp()
by	bij	Adp()
vlaghe	vlaag	N(sing)
soo	zo	Adv(resum)
wel	wel	Adv(gener)
by	bij	Adp()
nacht	nacht	N(sing)
als	als	conj(comp)
daghe	dag	n(plu)
ende	en	conj(coord)
krijgen	krijgen	v(infin)
seer	zeer	adv(gener)
goede	goed	adj()
buyt	buit	n(sing)
men	men	pron(indef)
heeft	hebben	V(fin,pres,aux_cop)
nu	nu	adv(dem)
korts	kort	Adv(gener)
vernomen	vernemen	v(participle,past)
dat	dat	conj(subord)
den	de	Art(def)
vyandt	vijand	N(sing)
was	zijn	v(fin,past,aux_cop)
ghekomen	komen	V(participle,past)
die	de	pron(rel)
meenden	menen	v(fin,past,lex)
met	met	Adp()
gheweldigher	geweldig	Adj()
handt	hand	N(sing)
te	te	Adp()
vallen	vallen	V(infin)
in	in	adp()
ons	wij	pron(pers,1,plu)
bolwerck	volwerken	N(sing)
playsant	plakkaat	N(sing)
maer	maar	Conj(coord)
sy	zij	Pron(pers,3,plu)
lichten	lichten	V(infin)
soo	zo	Adv(resum)
haer	haar	Pron(poss)
hacken	hakken	N(plu)
dat	dat	Conj(subord)
veel	veel	Num(indef)
spaensche	spaans	Adj()
casacken	haspelen	V(infin)
daer	daar	Adv(dem)
bleven	blijven	V(fin,past,aux_cop)
voort	voort	Adv(gener)
ghelach	geliggen	N(sing)
te	te	Adp()
pant	pand	n(sing)
signoor	signor	n(sing)
als	als	conj(comp)
den	de	art(def)
verstoorden	verstoren	N(sing)
songh	zingen	N(sing)
soo	zo	Adv(resum)
misericoorde	misbruik	Adv(gener)
want	want	Conj(coord)
hy	hij	Pron(pers,3,sing)
was	zijn	V(fin,past,aux_cop)
in	in	Adp()
groote	groot	adj()
noot	nood	N(sing)
daer	daar	Adv(dem)
bleeffer	blijven+er	V(fin,past,lex)+Pron(pers,3,plu)
wel	wel	adv(gener)
thien	tien	Num(card)
hondert	honderd	num(card)
doot	dood	N(sing)
die	de	Pron(rel)
reste	rusten	n(sing)
met	met	adp()
oneeren	oneer	n(sing)
moeste	moeten	v(fin,past,aux_cop)
met	met	Adp()
schande	schande	N(sing)
keeren	keren	V(infin)
want	want	Conj(coord)
haer	haar	Pron(poss)
hooft	hoofd	n(sing)
was	zijn	V(fin,past,aux_cop)
haer	zij	pron(pers,3,sing)
te	te	adp()
groot	groot	adj()
vier	vuur	N(sing)
hondert	honderd	num(card)
ghequest	gekwetst	v(participle,past)
ghewonden	vinden	v(participle,past)
na	na	Adp()
antwerpen	antwerpen	N(prop)
ghesonden	zenden	V(participle,past)
die	die	Pron(rel)
op	op	Adp()
waghens	wagen	N(plu)
zijn	zijn	Pron(poss)
ghelacht	geliggen	N(sing)
en	en	Conj(coord)
so	zo	Adv(resum)
na	na	adp()
'	?	punc(quest)
t	het	Art(def)
hospitael	hospitaal	N(sing)
ghebracht	brengen	V(participle,past)
signoor	signor	N(sing)
die	die	Pron(rel)
mach	mogen	v(fin,pres,aux_cop)
wel	wel	adv(gener)
peysen	peizen	V(infin)
nae	na	Adp()
'	?	punc(quest)
t	het	Art(def)
vagevier	vagevuur	N(sing)
te	te	Adp()
reysen	reizen	v(infin)
want	want	Conj(coord)
sy	zij	Pron(pers,3,plu)
worden	worden	V(fin,past,aux_cop)
daer	daar	Adv(dem)
al	al	Adv(gener)
verwacht	verwachten	V(participle,past)
oft	of	Conj(coord)
zy	zij	Pron(pers,3,plu)
dit	dit	Pron(dem)
noch	nog	Conj(coord)
wel	wel	adv(gener)
weten	weten	v(infin)
'	?	punc(quest)
tmach	hamat	Pron(pers,3,sing)+V(fin,past,aux_cop)
haer	zij	pron(pers,3,sing)
al	al	Adv(gener)
zijn	zijn	Pron(poss)
vergeeten	vergeten	V(participle,past)
dat	dat	Conj(subord)
den	de	Art(def)
prins	prins	n(sing)
van	van	Adp()
parma	parma	N(sing)
vermelt	vermelden	V(participle,past)
voor	voor	Adp()
berghen	berg	N(plu)
lach	liggen	V(fin,past,lex)
met	met	adp()
groot	groot	adj()
ghewelt	geweld	N(sing)
na	na	Adp()
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
had	hebben	V(fin,past,aux_cop)
daer	daar	Adv(dem)
vooren	voren	Adv(gener)
thien	tien	Num(card)
duysent	duizend	Num(card)
man	man	n(sing)
verlooren	verliezen	V(infin)
most	moeten	v(fin,past,aux_cop)
met	met	Adp()
schande	schande	N(sing)
ruymen	ruimen	V(infin)
het	het	Art(def)
veldt	veld	N(sing)
soo	zo	Adv(resum)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
niet	niet	Adv(neg)
en	en	Adv(neg)
schromen	schromen	V(infin)
binnen	binnen	Adv(gener)
bergen	bergen	V(infin)
op	op	adp()
den	de	art(def)
zoome	zeestroom	n(sing)
want	want	Conj(coord)
zy	zij	Pron(pers,3,sing)
zijn	zijn	V(fin,pres,aux_cop)
ghenoech	genoeg	Adv(gener)
voorsien	voorzien	N(sing)
van	van	adp()
ruyters	ruiter	n(plu)
ende	en	conj(coord)
vrome	vroom	n(sing)
krijgslien	krijgsman	n(plu)
te	te	Adp()
strijden	strijden	v(infin)
met	met	Adp()
orangien	oranje	N(prop)
tegen	tegen	Adp()
'	?	punc(quest)
t	het	Art(def)
ghewelt	geweld	N(sing)
van	van	Adp()
spangien	spanje	N(prop)
en	en	Conj(coord)
den	de	Art(def)
vyandt	vijand	N(sing)
wel	wel	Adv(gener)
weere	weer	Adv(gener)
bien	bij	V(infin)
den	de	Art(def)
vyandt	vijand	N(sing)
met	met	Adp()
groote	groot	Adj()
hoopen	hoop	N(plu)
zietmen	zien+men	V(fin,pres,lex)+Pron(indef)
seer	zeer	Adv(gener)
veel	veel	Num(indef)
verloopen	verlopen	V(infin)
want	want	Conj(coord)
zy	zij	Pron(pers,3,plu)
lyden	lijden	N(plu)
groot	groot	Adj()
ghebreck	gebrek	N(sing)
broot	brood	N(sing)
en	en	Conj(coord)
kaes	kaas	N(sing)
boter	boter	n(sing)
en	en	Conj(coord)
speck	spek	N(sing)
is	zijn	V(fin,pres,aux_cop)
overvloedich	overvloedig	adj()
diere	dier	Adj()
acht	achten	v(fin,pres,lex)
stuyvers	zuiver	n(plu)
een	een	Art(indef)
kanne	kan	n(sing)
biere	bier	n(sing)
dat	dat	conj(subord)
breeckter	breken	V(fin,pres,lex)
soo	zo	Adv(resum)
veel	veel	Num(indef)
den	de	Art(def)
neck	nek	N(sing)
uut	uit	adp()
duytslandt	duitsland	N(sing)
sonder	zonder	Adp()
schromen	schromen	n(sing)
is	zijn	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
over	over	Adp()
ghekomen	komen	V(participle,past)
den	de	art(def)
edelen	edel	Adj()
graef	graaf	n(sing)
van	van	Adp()
mantsvelt	mansbloed	N(sing)
fris	fris	n(sing)
metten	de+met	art(def)+adp()
hertogh	hertog	n(sing)
van	van	adp()
bruynswijck	bruin	n(prop)
gewis	gewis	adj()
wel	wel	adv(gener)
met	met	adp()
sesthien	zestien	Num(card)
duysent	duizend	num(card)
manne	man	N(plu)
zy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
ghekomen	komen	V(participle,past)
anne	hanna	N(sing)
by	bij	Adp()
ons	wij	Pron(pers,1,plu)
leger	leggen	N(sing)
dat	dat	pron(dem)
is	zijn	V(fin,pres,aux_cop)
ghewis	gewis	Adv(gener)
als	als	Conj(comp)
zy	zij	Pron(pers,3,sing)
na	na	Adp()
brabant	brabant	N(prop)
quamen	komen	v(fin,past,lex)
tusschen	tussen	adp()
gembloers	gemul	N(sing)
en	en	Conj(coord)
namen	nemen	v(fin,past,lex)
meynde	menen	v(fin,past,lex)
cordua	hoerdom	n(prop)
met	met	Adp()
ghewelt	geweld	N(sing)
te	te	Adp()
wederstaen	weerstaan	v(infin)
den	de	Art(def)
graef	graaf	N(sing)
mantsvelt	mansbloed	N(sing)
maer	maar	Conj(coord)
hy	hij	Pron(pers,3,sing)
sloeger	slaan+zij	Adv(gener)
sonder	zonder	Adp()
treure	treur	n(sing)
met	met	adp()
den	de	art(def)
hertogh	hertog	N(sing)
lustich	lustig	Adj()
deure	door	Adp()
cordua	hoerdom	N(sing)
die	de	pron(rel)
most	most	N(sing)
ruymen	ruimen	V(infin)
het	het	Art(def)
veldt	veld	N(sing)
dus	dus	Adv(dem)
laet	laten	v(imp)
ons	wij	pron(pers,1,plu)
mans	man	N(sing)
en	een	Conj(coord)
vrouwen	vrouw	n(sing)
bidden	bidden	v(infin)
met	met	Adp()
vast	vast	Adj()
betrouwen	betrouwen	V(infin)
dat	dat	Conj(subord)
godt	god	N(sing)
ons	wij	Pron(poss)
prince	prins	N(sing)
kloeck	kloek	Adj()
vailjant	valiant	Adj()
wil	willen	v(fin,pres,aux_cop)
geven	geven	v(infin)
wijsheyt	wijsheid	n(sing)
en	en	adv(neg)
verstant	verstand	N(sing)
en	en	Conj(coord)
oock	ook	Adv(gener)
ons	ons	Pron(poss)
heeren	heer	N(sing)
staten	staat	N(plu)
alle	al	Num(indef)
ruyters	ruiter	N(plu)
en	en	Conj(coord)
soldaten	soldaat	N(plu)
die	die	Pron(rel)
vroom	vroom	Adj()
strijden	strijden	V(infin)
voort	voort	Adv(gener)
vaderlandt	vaderland	N(sing)
