verwonnen	verwinnen	v(participle,past)
ghemoed	gemoed	N(sing)
dat	dat	conj(subord)
vanden	van+de	art(def)+adp()
hemel	hemel	n(sing)
daalt	dalen	V(fin,pres,lex)
de	de	Art(def)
menschen	mens	n(plu)
al	al	Adv(gener)
zyn	zijn	Pron(poss)
uytverkoren	uitverkoren	V(participle,past)
en	en	Conj(coord)
van	van	Adp()
een	een	art(indef)
edel	edel	adj()
spruyt	spruit	N(sing)
gheboren	geboren	adj()
wat	wat	pron(inter)
roemdy	gij+roemen	V(fin,pres,lex)+Pron(pers,3,sing)
dan	dan	conj(comp)
met	met	adp()
groter	groot	adj()
pracht	pracht	n(sing)
van	van	adp()
u	gij	Pron(poss)
voorouders	voorouder	N(sing)
t	het	Art(def)
'	?	punc(quest)
eel	edel	N(sing)
gheslacht	geslacht	n(sing)
kondy	kunnen+gij	N(sing)
u	uw	Pron(poss)
eerste	eerst	Num(rod)
stam	stam	N(sing)
aanmercken	aanmerken	V(infin)
ghy	gij	Pron(pers,2,plu)
vindse	vinden+zij	v(fin,pres,lex)+pron(pers,3,plu)
god	god	N(sing)
heer	heer	N(sing)
van	van	Adp()
zyn	zijn	Pron(poss)
wercken	werk	N(plu)
zo	zo	Adv(resum)
is	zijn	V(fin,pres,aux_cop)
dan	dan	Adv(dem)
gheen	geen	pron(indef)
oneel	onedel	N(sing)
bastaard	bastaard	N(sing)
dan	dan	conj(comp)
die	de	art(def)
verlaat	verlaten	V(fin,pres,lex)
zyn	zijn	Pron(poss)
godlyck	goddelijk	Adj()
aard	aarde	N(sing)
de	de	Art(def)
duechde	deugd	N(sing)
vliet	vlieden	v(fin,pres,lex)
en	en	Conj(coord)
t	het	Art(def)
'	?	punc(quest)
allen	al	Num(indef)
stonden	stond	n(plu)
moedwilligh	moedwillig	Adj()
dient	dienen	v(fin,pres,lex)
de	de	Art(def)
snode	snood	adj()
zonden	zonde	N(plu)
die	de	Pron(rel)
wellust	wellust	N(sing)
snel	snel	adj()
doet	doen	V(fin,pres,lex)
van	van	adp()
naturen	natuur	n(sing)
met	met	adp()
lang	lang	adj()
verdriet	verdriet	N(sing)
haar	haar	Pron(poss)
vruechd	vreugde	N(sing)
bezuren	bezuren	V(infin)
recht	recht	n(sing)
als	als	conj(comp)
des	de	art(def)
bykens	bij	N(sing)
list	list	N(sing)
behende	behendig	Adv(gener)
waar	waar	Adv(dem)
die	die	Pron(rel)
haar	haar	Pron(poss)
zoete	zoet	Adj()
honigh	honing	N(sing)
stort	storten	N(sing)
vlied	vlieden	V(fin,past,lex)
zy	zij	Pron(pers,3,sing)
flux	flux	Adj()
wech	weg	N(sing)
haar	haar	Pron(poss)
lust	lust	N(sing)
is	zijn	V(fin,pres,aux_cop)
kort	kort	N(sing)
en	en	Conj(coord)
scheyd	scheiden	N(sing)
met	met	Adp()
smert	smart	N(sing)
druck	druk	N(sing)
is	zijn	V(fin,pres,aux_cop)
lusts	lust	N(sing)
ende	en	conj(coord)
d	de	n(sing)
'	?	num(card)
onweghen	onweg	V(infin)
zyn	zijn	Pron(poss)
helas	helaas	N(sing)
zeer	zeer	Adv(gener)
menighvuldigh	menigvuldig	Adj()
daar	daar	Adv(dem)
door	door	Adp()
d	de	Art(def)
'	?	punc(quest)
onkund	onkond	N(sing)
des	de	art(def)
volx	volk	n(sing)
om	om	adp()
traacheid	traagheid	N(sing)
schuldigh	schuldig	adj()
den	de	art(def)
dwazen	dwaas	N(plu)
hoop	hoop	N(sing)
verleydt	verleiden	V(fin,pres,lex)
als	als	Conj(comp)
in	in	adp()
een	een	art(indef)
droom	droom	N(sing)
niemand	niemand	Pron(indef)
zoeckt	zoeken	V(fin,pres,lex)
ghoud	goud	N(sing)
ghewassen	wassen	V(participle,past)
aan	aan	Adp()
een	een	Art(indef)
boom	boom	N(sing)
noch	noch	conj(coord)
paerlen	parel	N(plu)
reyn	rein	Adj()
aan	aan	Adp()
wynstock	wijnstok	N(sing)
blaeu	blauw	Adj()
van	van	adp()
druyven	druif	n(prop)
men	men	Pron(indef)
zal	zullen	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
in	in	Adp()
hoghe	hoog	adj()
bergen	bergen	n(plu)
schuyven	schuiven	n(plu)
die	de	art(def)
netten	net	N(plu)
valsch	vals	adj()
om	om	Adp()
vanghen	vangen	V(infin)
spoedelyck	spoedelijk	Adv(gener)
de	de	Art(def)
visschen	vis	n(plu)
vet	vet	Adj()
zeer	zeer	Adv(gener)
overvloedelyck	overvloedelijk	adv(gener)
men	men	pron(indef)
jaaght	jagen	V(fin,pres,lex)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
na	na	Adp()
snelle	snel	adj()
gheytkens	geit	n(plu)
vluchtigh	vluchtig	Adj()
int	in+het	Adp()+Art(def)
diep	diep	n(sing)
der	de	Art(def)
zee	zee	N(sing)
noch	noch	conj(coord)
opten	de+op	adp()+art(def)
gholven	golven	n(sing)
luchtigh	luchtig	adj()
men	men	Pron(indef)
ziet	zien	V(fin,pres,lex)
meest	meest	Adv(gener)
elck	elk	Pron(indef)
de	de	Art(def)
vloeden	vloed	N(plu)
kennen	kennen	v(fin,pres,lex)
al	al	Adv(gener)
wanneer	wanneer	Adv(inter)
oock	ook	Adv(gener)
d	de	Art(def)
'	?	punc(quest)
eb	hebben	N(sing)
'	?	punc(quest)
haar	haar	Pron(poss)
traghlyck	traaglijk	Adj()
wennen	wennen	V(infin)
zal	zullen	v(fin,pres,aux_cop)
men	men	Pron(indef)
weet	weten	V(fin,pres,lex)
wat	wat	pron(inter)
zee	zee	n(sing)
meest	meest	Adv(gener)
paerlen	parel	N(plu)
blanck	blank	Adj()
kan	kunnen	V(fin,pres,aux_cop)
baren	baren	V(infin)
en	en	Conj(coord)
waarmen	waar+men	Pron(inter)+Pron(indef)
meest	meest	Adv(gener)
het	het	Pron(pers,3,sing)
purper	purper	N(sing)
rood	rood	Adj()
magh	mogen	V(fin,pres,aux_cop)
gharen	vergaren	V(infin)
oock	ook	Adv(gener)
welcke	welk	Pron(rel)
strand	strand	N(sing)
de	de	art(def)
beste	best	Adj()
visschen	vis	n(plu)
gheeft	geven	v(fin,pres,lex)
die	die	Pron(rel)
t	het	Art(def)
'	?	punc(quest)
weeldigh	weeldig	Adj()
volck	volk	N(sing)
bemint	beminnen	V(fin,pres,lex)
en	en	Conj(coord)
liefste	lief	Adj()
heeft	hebben	V(fin,pres,aux_cop)
maar	maar	Conj(coord)
waar	waar	Pron(inter)
t	het	Art(def)
'	?	punc(quest)
ghoed	goed	N(sing)
schuylt	schuilen	V(fin,pres,lex)
daar	daar	Adv(dem)
elck	elk	Pron(indef)
na	na	Adp()
zoeckt	zoeken	V(fin,pres,lex)
begheerlyck	begeerlijk	Adj()
is	zijn	V(fin,pres,aux_cop)
onbekent	onbekend	Adj()
d	de	Art(def)
'	?	punc(quest)
onwyzen	onwijze	V(infin)
hoop	hoop	N(sing)
onleerlyck	onleerlijk	Adv(gener)
want	want	Conj(coord)
dat	dat	conj(subord)
om	om	Adp()
hoogh	hoog	Adj()
by	bij	Adp()
god	god	N(sing)
in	in	Adp()
d	de	Art(def)
'	?	punc(quest)
hemel	hemel	N(sing)
woont	wonen	N(sing)
zoeckt	zoeken	V(fin,pres,lex)
elck	elk	Pron(indef)
verkeerd	verkeerd	Adv(gener)
in	in	Adp()
d	de	Art(def)
'	?	punc(quest)
aarde	aarde	N(sing)
onbeloont	onbeloond	Adj()
wat	wat	Pron(inter)
zal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
nu	nu	Adv(dem)
dees	deze	Pron(dem)
dwaze	dwaas	Adj()
dieren	dier	N(plu)
wenschen	wens	n(sing)
ryckdom	rijkdom	N(sing)
en	en	Conj(coord)
eer	eer	Conj(subord)
t	het	Art(def)
'	?	punc(quest)
ghezoeck	gebrek	Adv(gener)
der	de	Art(def)
blinde	blinde	adj()
menschen	mens	n(plu)
te	te	Adp()
moghen	mogen	v(infin)
als	als	Conj(comp)
zy	zij	Pron(pers,3,plu)
mercken	merken	V(infin)
r	r	N(sing)
'	?	punc(quest)
valsche	vals	Adj()
ghoed	goed	N(sing)
het	het	Pron(pers,3,sing)
ware	zijn	V(fin,past,aux_cop)
zien	zien	v(infin)
en	ne	adv(neg)
zoecken	zoeken	V(infin)
metter	de+met	art(def)+adp()
spoed	spoed	n(sing)
o	o	interj()
schepper	schepper	N(sing)
ghoed	goed	N(sing)
van	van	Adp()
hemel	hemel	N(sing)
en	en	Conj(coord)
van	van	Adp()
aarde	aarde	N(sing)
diet	die+het	pron(rel)+pron(pers,3,sing)
al	al	adv(gener)
bestiert	besturen	V(fin,pres,lex)
zeer	zeer	Adv(gener)
wyslyck	wijselijk	Adv(gener)
elck	elk	Pron(indef)
na	na	Adp()
waarde	waarde	N(sing)
die	de	art(def)
eeuwigh	eeuwig	Adj()
zyt	zijn	v(fin,pres,aux_cop)
en	en	Conj(coord)
zendt	zenden	V(fin,pres,lex)
den	de	art(def)
tyd	tijd	N(sing)
op	op	Adp()
weghen	weg	N(plu)
zelf	zelf	N(sing)
onbeweeght	onbewogen	Adj()
doet	doen	V(fin,pres,aux_cop)
ghyt	gij+het	pron(pers,2,plu)+pron(pers,3,sing)
hier	hier	adv(dem)
al	al	Adv(gener)
beweghen	bewegen	V(infin)
gheen	geen	Pron(indef)
oorzaack	oorzaak	N(sing)
vreemd	vreemd	Adj()
en	en	Conj(coord)
deed	doen	V(fin,past,lex)
u	gij	Pron(poss)
krachtigh	krachtig	Adj()
scheppen	scheppen	V(infin)
dit	dit	pron(dem)
grote	groot	adj()
werck	werk	n(sing)
vant	vinden	Adp()+Art(def)
stof	stof	N(sing)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
doet	doen	V(fin,pres,lex)
reppen	reppen	V(infin)
maar	maar	Conj(coord)
liefde	liefde	N(sing)
ghoed	goed	N(sing)
u	uw	Pron(poss)
eyghen	eigen	Adj()
zelfs	zelf	n(sing)
nature	natuur	n(sing)
dient	dienen	v(fin,pres,lex)
weldoen	weldoen	V(infin)
lust	lust	N(sing)
ghy	gij	Pron(pers,2,plu)
nyd	nijden	Adj()
tot	tot	Adp()
gheender	geen	Num(indef)
ure	uur	N(sing)
ghy	gij	Pron(pers,2,plu)
alderschoonst	allerschoonst	N(plu)
hebt	hebben	V(fin,pres,aux_cop)
schoon	schoon	Adj()
en	en	Conj(coord)
wel	wel	Adv(gener)
gaan	gaan	V(infin)
maken	maken	v(infin)
de	de	art(def)
schone	schoon	adj()
werld	wereld	n(sing)
na	na	Adp()
t	het	Art(def)
'	?	punc(quest)
schoonst	schoon	N(sing)
van	van	adp()
alle	al	num(indef)
zaken	zaak	n(plu)
na	na	Adp()
t	het	Art(def)
'	?	punc(quest)
hoghe	hoog	Adj()
beeld	beeld	N(sing)
daar	daar	Adv(dem)
uyt	uit	Adp()
dit	dit	Pron(dem)
is	zijn	V(fin,pres,aux_cop)
ghenomen	nemen	v(participle,past)
in	in	Adp()
elcken	elk	Pron(indef)
deel	deel	N(sing)
volmaackt	volmaakt	Adj()
en	en	adv(neg)
ghants	gans	N(sing)
volkomen	volkomen	V(infin)
ghy	gij	Pron(pers,2,plu)
bindt	binden	V(fin,pres,lex)
met	met	Adp()
tal	dal+het	n(sing)
de	de	Art(def)
elementen	element	n(plu)
viere	vuur	N(sing)
zo	zo	adv(gener)
dat	dat	Conj(subord)
de	de	Art(def)
koud	koude	n(sing)
'	?	punc(quest)
met	met	Adp()
oock	ook	Adv(gener)
het	het	Pron(pers,3,sing)
hete	heet	V(fin,pres,lex)
viere	vuur	N(sing)
het	het	pron(pers,3,sing)
nat	nat	adj()
en	ne	adv(neg)
droogh	droog	v(fin,past,lex)
eendrachtelyck	eendrachtelijk	adv(gener)
verzamen	versamen	v(fin,past,lex)
op	op	adp()
dat	dat	Conj(subord)
het	het	pron(pers,3,sing)
vier	vuur	n(sing)
niet	niet	Adv(neg)
