wat	wat	pron(inter)
om	om	Adp()
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
recuseerden	wolfshart	V(infin)
te	te	Adp()
volghen	volgen	V(infin)
babels	babylon	N(prop)
raet	raad	N(sing)
ja	ja	Interj()
veel	veel	num(indef)
liever	lief	adj()
begeerden	begeren	n(sing)
van	van	adp()
hen	zij	pron(pers,3,plu)
te	te	adp()
worden	worden	v(infin)
ghehaet	gehaat	v(participle,past)
hierom	hierom	pronadv(dem)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
verbolghen	verbolgen	V(participle,past)
en	en	Conj(coord)
soecken	zoeken	v(fin,pres,lex)
met	met	Adp()
listen	list	N(plu)
fier	fier	Adj()
den	de	Art(def)
selvighen	heilige	n(plu)
te	te	adp()
vervolghen	vervolgen	v(infin)
ende	en	conj(coord)
bringhen	brengen	v(infin)
in	in	adp()
dangier	dangier	N(sing)
veel	veel	num(indef)
weduwen	weduwe	N(plu)
sy	zij	Pron(pers,3,plu)
maken	maken	V(infin)
met	met	Adp()
menighen	menig	num(indef)
weesken	wassen	n(plu)
saen	zaan	adv(gener)
sijn	zijn	v(fin,pres,aux_cop)
dit	dit	pron(dem)
oprechte	oprecht	adj()
saken	zaak	n(plu)
gheve	geven	v(fin,pres,lex)
ick	ik	pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
te	te	Adp()
verstaen	verstaan	v(infin)
een	een	art(indef)
vreemden	vreemd	adj()
portugyse	porticus	n(sing)
van	van	adp()
herten	hart	n(sing)
obstinaet	obstinaat	n(sing)
die	die	pron(rel)
weet	weten	v(fin,pres,lex)
de	de	art(def)
rechte	recht	n(sing)
wijse	wijze	n(sing)
te	te	adp()
volghen	volgen	V(infin)
babels	babylon	N(prop)
raet	raad	N(sing)
om	om	Adp()
desen	deze	pron(dem)
te	te	adp()
behaghen	behagen	v(infin)
poocht	pogen	V(fin,pres,lex)
elck	elk	Pron(indef)
hem	hij	Pron(pers,3,sing)
nacht	nacht	N(sing)
en	een	art(indef)
dach	dag	n(sing)
aensiende	aanzien	v(participle,pres)
vrient	vriend	n(sing)
noch	noch	conj(coord)
maghen	maag	n(plu)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
niet	niet	Adv(neg)
een	een	Art(indef)
groot	groot	adj()
gheclach	geklaag	N(sing)
hy	hij	Pron(pers,3,sing)
maect	maken	V(fin,pres,lex)
die	de	Art(def)
arme	arm	adj()
luyden	lieden	n(plu)
met	met	Adp()
schattinghen	schatting	N(sing)
seer	zeer	Adv(gener)
groot	groot	Adj()
tot	tot	Adp()
op	op	Adp()
haer	haar	Pron(poss)
naeckte	naken	adj()
huyden	hoeden	N(plu)
seer	zeer	n(sing)
arm	arm	Adj()
naeckt	naakt	adj()
ende	en	conj(coord)
bloot	bloot	Adj()
nu	nu	adv(dem)
dit	dit	Pron(dem)
nu	nu	adv(dem)
dat	dat	Conj(subord)
hy	hij	pron(pers,3,sing)
maket	maken	V(fin,pres,lex)
al	al	Adv(gener)
tot	tot	adp()
der	de	art(def)
armen	arm	Adj()
last	last	n(sing)
na	na	Adp()
ghelt	geld	N(sing)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
haket	haken	V(fin,pres,lex)
op	op	Adp()
de	de	Art(def)
ghemeynte	gemeente	N(sing)
weynich	weinig	Adj()
past	passen	N(sing)
voorts	voorts	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
tsijnder	te+zijn	Adp()+Art(def)
vromen	vroom	V(infin)
een	een	Art(indef)
swaer	zwaar	adj()
impost	jeugd	N(sing)
bedacht	bedenken	V(participle,past)
om	om	Adp()
welcker	welk	Pron(rel)
voor	voor	Adp()
te	te	Adp()
comen	komen	V(infin)
mennich	menig	num(indef)
heldt	held	N(sing)
heeft	hebben	v(fin,pres,aux_cop)
ghetracht	brengen	V(participle,past)
dan	dan	Adv(dem)
hoe	hoe	Adv(inter)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
haer	haar	Pron(poss)
verganghen	vergangen	N(sing)
na	na	adp()
der	de	Art(def)
tyrannen	tiran	N(plu)
aert	aard	N(sing)
den	de	Art(def)
eenen	een	Art(indef)
wordt	woord	N(sing)
ghevanghen	gevangen	N(sing)
ias	zijn	N(prop)
den	de	art(def)
anderen	ander	adj()
seer	zeer	adv(gener)
beswaert	bezwaren	v(participle,past)
wvk	wijken	N(sing)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
niet	niet	Adv(neg)
om	om	Adp()
te	te	adp()
beclaghen	beklagen	v(infin)
dat	dat	conj(subord)
menighen	menig	num(indef)
edelman	edelman	n(prop)
tot	tot	Adp()
des	de	Art(def)
tyrans	tiran	N(sing)
behaghen	behagen	v(infin)
tlandt	het+land	Art(def)+N(sing)
brenghen	brengen	V(infin)
inden	in+de	Adp()+Art(def)
pan	pan	N(sing)
hoewel	hoewel	N(sing)
sy	zij	Pron(pers,3,plu)
wel	wel	Adv(gener)
bet	bet	Adv(gener)
weten	weten	v(infin)
ghelijck	gelijk	adv(gener)
een	een	art(indef)
raedtsheer	raadsheer	N(sing)
fel	fel	adj()
juu	u	N(sing)
deeckema	edik	n(sing)
gheheeten	heten	V(participle,past)
hy	hij	Pron(pers,3,sing)
mach	mogen	v(fin,pres,aux_cop)
sich	zich	Pron(refl,3,sing)
schamen	schamen	v(infin)
wel	wel	adv(gener)
riuerdt	rijf	N(sing)
roorda	moorddadig	Adv(gener)
sonder	zonder	adp()
siele	ziel	n(sing)
is	zijn	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
een	een	Art(indef)
fijner	fijn	Adj()
quant	want	N(sing)
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
bracht	brengen	v(participle,past)
inne	in	pron(pers,1,sing)+adv(neg)
wijele	wichelen	n(sing)
die	de	art(def)
landen	land	n(plu)
van	van	Adp()
vrieslant	friesland	N(prop)
met	met	adp()
dijcken	dijk	n(plu)
tsijner	te+zijn	adp()+pron(poss)
baten	baat	n(sing)
noch	nog	adv(gener)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
niet	niet	Adv(neg)
versaet	verzaden	V(fin,pres,lex)
den	de	art(def)
impost	jeugd	N(sing)
wilt	willen	v(fin,pres,aux_cop)
dit	dit	Pron(dem)
vaten	vat	V(infin)
hem	hij	Pron(pers,3,sing)
oock	ook	Adv(gener)
seer	zeer	Adv(gener)
wel	wel	Adv(gener)
aenstaet	afstaan	V(fin,pres,lex)
noch	noch	Conj(coord)
isser	zijn+er	V(fin,pres,lex)+Adv(gener)
eenen	een	Art(indef)
heere	heer	n(sing)
ho	hoe	Adv(inter)
hy	hij	Pron(pers,3,sing)
mach	mogen	v(fin,pres,aux_cop)
sich	zich	Pron(refl,3,sing)
schamen	schamen	v(infin)
wel	wel	Adv(gener)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
weynich	weinig	Adj()
tsyner	te+zijn	adp()+pron(poss)
eeren	eer	N(sing)
hy	hij	Pron(pers,3,sing)
speelt	spelen	V(fin,pres,lex)
so	zo	Adv(resum)
menighen	menig	num(indef)
spel	spel	N(sing)
hy	hij	Pron(pers,3,sing)
can	kunnen	V(fin,pres,aux_cop)
sich	zich	Pron(refl,3,sing)
oock	ook	Adv(gener)
wel	wel	Adv(gener)
draghen	dragen	V(infin)
recht	recht	n(sing)
of	of	Conj(coord)
hy	hij	pron(pers,3,sing)
ware	zijn	V(fin,past,aux_cop)
vrom	vroom	Adj()
maer	maar	conj(coord)
sulcke	zulk	Pron(dem)
listighe	listig	Adj()
laghen	liggen	N(plu)
comen	komen	v(infin)
ten	te+de	art(def)+adp()
laetsten	laatst	n(sing)
om	om	adp()
noch	nog	adv(gener)
moet	moeten	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
vertellen	vertellen	V(infin)
hb	hij	Pron(pers,3,sing)
van	van	adp()
eenen	een	art(indef)
appeltoyt	appellatief	n(sing)
die	die	pron(rel)
gaet	gaan	v(fin,pres,lex)
die	de	art(def)
landen	land	N(plu)
quellen	kwellen	V(fin,pres,lex)
wel	wel	Adv(gener)
hoorde	horen	V(fin,past,lex)
sulckes	zulk	Pron(indef)
oyt	ooit	Adj()
hy	hij	Pron(pers,3,sing)
can	kunnen	V(fin,pres,aux_cop)
seer	zeer	Adv(gener)
haest	haast	Adv(gener)
verschieten	verscheiden	V(infin)
groote	groot	Adj()
sommen	som	n(sing)
ghereet	gereed	Adv(gener)
het	het	pron(pers,3,sing)
moet	moeten	V(fin,pres,aux_cop)
godt	god	N(sing)
eens	eens	Adv(gener)
verdrieten	verdrieten	V(infin)
hy	hij	Pron(pers,3,sing)
drinckt	drinken	V(fin,pres,lex)
der	de	Art(def)
armen	arm	adj()
sweet	zweet	n(sing)
den	de	art(def)
hypocrijtschen	hypocriet	n(prop)
beyma	bekomen	N(sing)
can	kunnen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
vergheten	vergeten	V(infin)
niet	niet	Adv(neg)
hy	hij	Pron(pers,3,sing)
volghet	volgen	V(fin,pres,lex)
oock	ook	Adv(gener)
den	de	art(def)
anderen	ander	Adj()
na	na	adp()
te	te	adp()
helpen	helpen	v(infin)
int	in+het	Adp()+Art(def)
verdriet	verdriet	N(sing)
den	de	art(def)
armen	arme	Adj()
ondersaten	onderzaat	v(infin)
sijns	zijn	pron(poss)
vaderslant	vaderland	n(sing)
plaisant	plakkaat	n(sing)
so	zo	Adv(resum)
hy	hij	Pron(pers,3,sing)
niet	niet	Adv(neg)
wil	willen	V(fin,pres,aux_cop)
af	af	pronadv(rel)
laten	laten	V(infin)
het	het	pron(pers,3,sing)
wert	worden	v(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
zijn	zijn	v(fin,pres,aux_cop)
een	een	Art(indef)
schant	schande	N(sing)
hier	hier	Adv(dem)
dient	dienen	V(fin,pres,lex)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
vergeten	vergeten	V(infin)
den	de	art(def)
edelen	edel	adj()
lauka	lauw	n(sing)
de	de	art(def)
boo	boaz	N(sing)
met	met	adp()
eenen	een	Art(indef)
quaet	kwaad	N(sing)
vermeten	vermeten	V(participle,past)
sijn	zijn	Pron(poss)
swagher	zwager	adj()
douwe	dauw	n(sing)
roo	rauw	Adj()
het	het	Pron(pers,3,sing)
zijn	zijn	V(fin,pres,aux_cop)
seer	zeer	Adv(gener)
fijne	fijn	Adj()
clercken	klerk	V(infin)
oock	ook	Adv(gener)
espelbach	aesculapius	N(prop)
verstatet	verstoten	V(fin,pres,lex)
wel	wel	adv(gener)
den	de	art(def)
impost	jeugd	N(sing)
thelpen	te	V(infin)
stercken	sterk	v(infin)
dunckt	dunken	V(fin,pres,lex)
haer	haar	Pron(poss)
een	een	art(indef)
goeden	goed	adj()
spel	spel	n(sing)
noch	noch	conj(coord)
isser	zijn+er	V(fin,pres,lex)+Adv(gener)
eenen	een	art(indef)
olden	oud	adj()
hette	hitte	n(sing)
al	al	Adv(gener)
inden	in+de	Adp()+Art(def)
prill	parel	n(sing)
so	zo	Adv(resum)
hy	hij	Pron(pers,3,sing)
recht	recht	Adv(gener)
sien	zien	v(infin)
solde	zullen	v(fin,past,aux_cop)
hem	hij	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
van	van	adp()
doen	toen	adv(dem)
een	een	art(indef)
brill	briel	N(sing)
hy	hij	Pron(pers,3,sing)
wil	willen	V(fin,pres,aux_cop)
so	zo	Adv(resum)
gheerne	geerne	v(infin)
volghen	volgen	v(infin)
als	als	conj(comp)
eenen	een	art(indef)
olden	oud	N(plu)
door	door	Adp()
den	de	Art(def)
coronel	koren	N(sing)
verbolghen	verbolgen	adj()
steit	staan	V(imp)
oock	ook	Adv(gener)
den	de	Art(def)
impost	jeugd	N(sing)
voor	voor	Adp()
noch	noch	Conj(coord)
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
eener	een	art(indef)
rijden	rijden	V(infin)
als	als	Conj(comp)
eenen	een	art(indef)
koe	koe	n(sing)
te	te	adp()
peert	paard	N(sing)
hy	hij	Pron(pers,3,sing)
moetter	gij+moeten	V(fin,pres,lex)
met	met	Adp()
om	om	Adp()
lijden	lijden	N(sing)
hy	hij	Pron(pers,3,sing)
brult	bruid	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
fantizeert	fantaseren	N(sing)
veel	veel	Num(indef)
quaets	kwaad	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
bedreven	bedrijven	V(infin)
in	in	Adp()
synen	zijn	pron(poss)
grietteny	griete	n(plu)
den	de	Art(def)
impost	jeugd	N(sing)
daer	daar	Adv(dem)
beneven	beneven	Adp()
staet	staan	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
seer	zeer	Adv(gener)
troulick	trouwelijk	Adv(gener)
by	bij	Adp()
hier	hier	Adv(dem)
dient	dienen	V(fin,pres,lex)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
vergheten	vergeten	V(infin)
een	een	Art(indef)
vanden	van+de	Adp()+Art(def)
hoopluy	hoop	N(sing)
coen	koen	n(sing)
een	een	Art(indef)
edelman	edelman	Adj()
gheheeten	heten	V(participle,past)
rievick	raden+ik	V(fin,past,lex)+pron(pers,1,sing)
een	een	art(indef)
mal	malen	n(sing)
caproen	kapoen	N(plu)
hy	hij	Pron(pers,3,sing)
dient	dienen	V(fin,pres,lex)
om	om	Adp()
eyghen	eigen	adj()
bate	baat	N(sing)
teghen	tegen	Adp()
zijn	zijn	Pron(poss)
vaderslant	vaderland	N(sing)
den	de	Art(def)
impost	jeugd	N(sing)
wilt	willen	v(fin,pres,aux_cop)
dit	dit	Pron(dem)
vaten	vat	V(infin)
doet	doen	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
oock	ook	Adv(gener)
onderstant	onderstant	V(fin,pres,lex)
men	men	Pron(indef)
moet	moeten	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
vergeten	vergeten	V(infin)
wc	ook	adv(gener)
twee	twee	num(card)
van	van	Adp()
het	het	Pron(pers,3,sing)
jonck	jong	N(sing)
ghespuys	gespuis	N(sing)
tc	te	Adp()
ghebroeders	gebroeder	N(sing)
hooch	hoog	Adj()
vermeten	vermeten	V(infin)
comende	komen	v(participle,pres)
vaeck	vaak	N(sing)
opt	op+het	adp()+art(def)
huys	huis	N(sing)
het	het	Pron(pers,3,sing)
is	zijn	v(fin,pres,aux_cop)
hen	zij	pron(pers,3,plu)
lief	lief	adj()
te	te	Adp()
hooren	horen	v(infin)
mes	mest	N(sing)
amys	amijs	N(sing)
nu	nu	adv(dem)
comet	komen	v(fin,pres,lex)
hier	hier	adv(dem)
by	bij	adp()
mynen	mijn	Pron(poss)
dochters	dochter	N(plu)
vercoren	verkiezen	V(participle,past)
daer	daar	Adv(dem)
maectmen	maken+men	v(fin,pres,lex)+pron(indef)
goeden	goed	adj()
chier	sier	n(sing)
moersmallert	voorsmaak	n(sing)
mochte	mogen	v(fin,past,aux_cop)
meenen	menen	v(infin)
rf	proeven	n(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
vergheten	vergeten	V(infin)
zy	zij	Pron(pers,3,sing)
met	met	Adp()
synen	zijn	Pron(poss)
langhe	lang	Adv(gener)
beenen	been	V(infin)
hy	hij	Pron(pers,3,sing)
moet	moeten	V(fin,pres,aux_cop)
hier	hier	Adv(dem)
mede	mede	Adv(gener)
by	bij	adp()
noch	nog	adv(gener)
een	een	Art(indef)
quaet	kwaad	n(sing)
van	van	adp()
manieren	manier	n(sing)
meynert	meier	v(fin,pres,lex)
liklis	aegidius	n(sing)
verstaet	verstaan	v(imp)
mijn	mijn	Pron(poss)
sangh	zang	n(sing)
ende	en	conj(coord)
jacob	jacob	n(prop)
cruydeniere	kruidenaar	n(sing)
i	een	art(indef)
v	gij	pron(pers,2,plu)
m	ik	pron(pers,1,sing)
die	die	pron(rel)
hevet	hebben	v(fin,pres,aux_cop)
den	de	art(def)
ontfangh	ontvangen	n(sing)
dit	dit	Pron(dem)
zijnse	zijn+zij	V(fin,pres,aux_cop)+Pron(pers,3,plu)
die	de	Pron(rel)
sick	zich	Pron(refl,3,sing)
romen	rome	v(fin,pres,lex)
die	de	Pron(rel)
notabelste	notabel	n(prop)
te	te	Adp()
zijn	zijn	V(infin)
oock	ook	Adv(gener)
die	de	Art(def)
treflickste	heerlijkheid	Adv(gener)
sonder	zonder	Adp()
schromen	schromen	n(sing)
van	van	adp()
alle	al	num(indef)
den	de	art(def)
adel	adel	n(sing)
fijn	fijn	adj()
in	in	adp()
die	de	art(def)
westvriestsche	oostvenster	N(sing)
landen	land	n(plu)
tsy	hetzij	Conj(coord)
u	gij	Pron(poss)
voorwaer	voorwaar	Adv(gener)
gheseyt	zeggen	V(participle,past)
het	het	Pron(pers,3,sing)
wert	worden	v(fin,pres,aux_cop)
hen	zij	pron(pers,3,plu)
zijn	zijn	v(fin,pres,aux_cop)
een	een	Art(indef)
schande	schande	N(sing)
al	al	adv(gener)
wast	zijn+het	V(fin,pres,lex)
haer	zij	pron(pers,3,sing)
noch	nog	adv(gener)
so	zo	adv(resum)
leyt	liggen	v(fin,pres,lex)
thof	het+hof	art(def)+n(sing)
dient	dienen	V(fin,pres,lex)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
vergheten	vergeten	V(infin)
tzijn	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
doch	doch	Adv(gener)
ja	ja	Interj()
broeders	broeder	N(plu)
al	al	Adv(gener)
den	de	Art(def)
coronel	koren	n(sing)
vermeten	vermeten	v(infin)
dwincktse	drinkst+du	v(fin,pres,lex)+pron(pers,3,sing)
in	in	Adp()
groot	groot	adj()
ghetal	getal	N(sing)
ouy	oui	Adv(gener)
monseur	monsieur	n(sing)
te	te	adp()
segghen	zeggen	v(infin)
sijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
seer	zeer	Adv(gener)
haest	haast	Adv(gener)
bereyt	bereiden	V(participle,past)
den	de	Art(def)
impost	jeugd	N(sing)
aen	aan	Adp()
te	te	Adp()
legghen	leggen	v(infin)
al	al	adv(gener)
waert	zijn+het	v(fin,past,aux_cop)
westvrieslant	oostvenster	N(prop)
leyt	liggen	v(fin,pres,lex)
de	de	Art(def)
bisschop	bisschop	n(sing)
metten	de+met	art(def)+adp()
synen	zijn	pron(poss)
behoorde	behoren	v(fin,past,lex)
hier	hier	Adv(dem)
oock	ook	Adv(gener)
wel	wel	Adv(gener)
by	bij	Adp()
hoewel	hoewel	N(sing)
sy	zij	Pron(pers,3,plu)
heylich	heilig	Adj()
schijnen	schijnen	V(infin)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
niet	niet	Adv(neg)
dan	dan	Conj(comp)
huychlery	huichelaar	adj()
die	de	art(def)
godes	god	N(sing)
woort	woord	N(sing)
beminnen	beminnen	V(infin)
worden	worden	V(fin,past,aux_cop)
van	van	adp()
hen	zij	pron(pers,3,plu)
vervolght	vervolgen	V(participle,past)
wat	wat	Pron(inter)
moghen	mogen	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
versinnen	verzinnen	V(infin)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
dus	dus	Adv(dem)
verbolght	verbelgen	v(participle,past)
solde	zullen	v(fin,past,aux_cop)
ick	ik	Pron(pers,1,sing)
hier	hier	Adv(dem)
vertellen	vertellen	V(infin)
gerrit	gerrit	Adv(gener)
wibens	wijf	N(sing)
en	en	Conj(coord)
syoert	scheuren	v(fin,pres,lex)
sepkijs	verkiezen	N(prop)
al	al	Adv(gener)
ick	ik	Pron(pers,1,sing)
waer	zijn	V(fin,past,aux_cop)
van	van	Adp()
doen	toen	Adv(dem)
ses	zes	num(card)
vellen	vellen	V(infin)
te	te	Adp()
bringhen	brengen	v(infin)
int	in+het	Adp()+Art(def)
ghetal	getal	N(sing)
die	die	pron(rel)
wel	wel	adv(gener)
quaet	kwaad	adj()
hebben	hebben	v(fin,pres,aux_cop)
ghesproken	spreken	v(participle,past)
al	al	adv(gener)
van	van	adp()
den	de	Art(def)
prins	prins	N(sing)
seer	zeer	Adv(gener)
excellent	excellent	N(sing)
het	het	pron(pers,3,sing)
wert	worden	v(fin,pres,aux_cop)
noch	nog	adv(gener)
eens	een	art(indef)
ghewroken	wreken	V(participle,past)
sy	zij	Pron(pers,3,plu)
sijn	zijn	V(fin,pres,aux_cop)
doch	doch	Adv(gener)
wel	wel	Adv(gener)
bekent	bekend	Adj()
o	o	Interj()
ghy	gij	Pron(pers,2,plu)
edele	edel	Adj()
staten	staat	N(plu)
des	de	Art(def)
landes	land	N(sing)
van	van	adp()
vrieslant	friesland	N(prop)
wilt	willen	V(fin,pres,aux_cop)
eens	eens	Adv(gener)
te	te	adp()
rechte	recht	n(sing)
vaten	vat	v(infin)
wel	wel	Adv(gener)
nu	nu	Adv(dem)
is	zijn	V(fin,pres,aux_cop)
u	gij	Pron(poss)
vyant	vijand	N(sing)
die	die	Pron(rel)
u	gij	Pron(pers,2,sing)
soeckt	zoeken	V(fin,pres,lex)
te	te	Adp()
beschermen	beschermen	V(infin)
van	van	Adp()
sulcken	zulk	Pron(dem)
slaverny	slavernij	N(sing)
ofte	of	Conj(coord)
die	die	pron(rel)
u	gij	Pron(pers,2,sing)
verderven	verderven	v(infin)
dat	dat	conj(subord)
bid	bidden	V(fin,pres,lex)
ick	ik	pron(pers,1,sing)
segghet	zeggen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
laet	laten	V(fin,pres,aux_cop)
doch	doch	Adv(gener)
die	de	Art(def)
stadt	stad	N(sing)
van	van	Adp()
neerden	paard	N(sing)
u	gij	Pron(pers,2,sing)
een	een	art(indef)
exempel	exempel	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
rotterdam	rotten	N(prop)
van	van	Adp()
weerden	waarde	n(plu)
met	met	adp()
die	de	Art(def)
stadt	stad	N(sing)
haerlem	haarlem	Adv(gener)
fijn	fijn	Adj()
antwerpen	antwerpen	N(prop)
vast	vast	Adv(gener)
van	van	Adp()
mueren	muur	N(sing)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
wel	wel	adv(gener)
gheworden	worden	V(participle,past)
waer	waar	v(fin,past,aux_cop)
en	ne	adv(neg)
zutphen	zutphen	V(fin,pres,lex)
u	gij	Pron(poss)
nabueren	nabuur	V(infin)
ghevoeltet	voelen	V(participle,past)
oock	ook	Adv(gener)
eenpaer	elwaar	Adv(gener)
doet	doen	V(fin,pres,aux_cop)
doch	doch	Adv(gener)
eens	eens	Adv(gener)
op	op	Adp()
u	uw	Pron(poss)
ooghen	oog	N(plu)
end	en	Conj(coord)
siet	zien	V(fin,pres,lex)
die	de	Art(def)
saecken	zaak	n(plu)
in	in	adp()
eer	eer	N(sing)
ghy	gij	Pron(pers,2,sing)
voorts	voorts	Adv(gener)
wort	worden	V(fin,pres,aux_cop)
bedrooghen	bedriegen	v(participle,past)
ende	en	conj(coord)
raeckt	raken	v(fin,pres,lex)
in	in	adp()
meerder	meer	Num(indef)
pijn	pijn	N(sing)
neemtse	nemen+zij	v(fin,pres,lex)+pron(pers,3,plu)
aen	aan	Adp()
die	die	Pron(rel)
u	gij	Pron(pers,2,sing)
beminnen	beminnen	V(infin)
slaet	slaan	V(fin,pres,lex)
af	af	pronadv(rel)
die	die	Pron(rel)
u	gij	pron(pers,2,sing)
benijdt	benijden	v(fin,pres,lex)
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,sing)
u	gij	Pron(poss)
recht	recht	N(sing)
besinnen	bezinnen	V(infin)
het	het	pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
meer	meer	num(indef)
dan	dan	conj(comp)
tijt	tijd	N(sing)
prince	prins	N(sing)
