ick	ik	Pron(pers,1,sing)
na	na	Adp()
sijn	zijn	Pron(poss)
gheboden	gebod	v(participle,past)
leven	leven	v(infin)
willen	willen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
houden	houden	V(infin)
sijn	zijn	Pron(poss)
ghebodt	gebod	N(sing)
hy	hij	Pron(pers,3,sing)
sal	zullen	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
helpen	helpen	v(infin)
dat	dat	pron(dem)
is	zijn	V(fin,pres,aux_cop)
t	het	Art(def)
'	?	punc(quest)
slot	slot	N(sing)
al	al	adv(gener)
in	in	adp()
dat	het	art(def)
vaghevyer	vagevuur	n(sing)
al	al	adv(gener)
in	in	adp()
dat	het	art(def)
vaghevyer	vagevuur	n(sing)
dat	dat	pron(dem)
is	zijn	v(fin,pres,aux_cop)
die	de	art(def)
paus	paus	N(sing)
nu	nu	Adv(dem)
sijn	zijn	Pron(poss)
tolhuys	tolhuis	N(sing)
dit	dit	Pron(dem)
gheeft	geven	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
om	om	Adp()
sijn	zijn	Pron(poss)
huer	uur	n(sing)
maer	maar	Conj(coord)
nu	nu	Adv(dem)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
ghestorven	sterven	V(participle,past)
die	de	Art(def)
heer	heer	n(sing)
van	van	adp()
deser	deze	Pron(dem)
eerden	aarde	n(sing)
sijn	zijn	Pron(poss)
rijck	rijk	N(sing)
dat	dat	Conj(subord)
moet	moeten	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
derven	derven	V(infin)
een	een	Art(indef)
ander	ander	adj()
weer	zijn	v(fin,past,aux_cop)
aenveerden	aanvaarden	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
en	ne	Adv(neg)
gaf	geven	V(fin,past,lex)
noyt	nooit	N(sing)
schat	schat	N(sing)
noch	noch	Conj(coord)
tribuyt	schatting	N(sing)
hy	hij	Pron(pers,3,sing)
draeyter	draaien	V(fin,pres,lex)
zijn	zijn	v(fin,pres,aux_cop)
selven	zelf	Pron(dem)
altoos	altoos	Adv(gener)
uyt	uit	adp()
den	de	Art(def)
paus	paus	N(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
den	de	Art(def)
paus	paus	n(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
men	men	pron(indef)
moest	moeten	v(fin,past,aux_cop)
hem	hij	Pron(pers,3,sing)
altijt	altijd	adv(gener)
ter	te+de	Adp()+Art(def)
kercken	kerk	n(sing)
draghen	dragen	v(infin)
was	zijn	v(fin,past,aux_cop)
hyder	hij+er	Pron(pers,3,sing)+Pron(indef)
niet	niet	adv(neg)
qualijck	kwalijk	adv(gener)
an	aan	adp()
hij	hij	pron(pers,3,sing)
quam	komen	v(fin,past,lex)
al	al	adv(gener)
voor	voor	Adp()
den	de	Art(def)
hemel	hemel	N(sing)
ghegaen	gaan	V(participle,past)
hy	hij	Pron(pers,3,sing)
clopte	kloppen	V(fin,pres,lex)
voor	voor	Adp()
de	de	Art(def)
deure	door	Adp()
s	sint	v(fin,pres,aux_cop)
pieter	petrus	n(prop)
die	de	art(def)
haddet	hebben	V(fin,past,aux_cop)
soo	zo	Adv(resum)
schier	schier	Adv(gener)
vernomen	vernemen	V(participle,past)
hy	hij	Pron(pers,3,sing)
quammer	er+komen	adv(gener)+v(fin,past,lex)
haestelick	haastelijk	Adv(gener)
veure	ver	Adp()
s	sint	Art(def)
pieter	petrus	n(prop)
die	die	Pron(rel)
sprack	spreken	v(fin,past,lex)
ghy	gij	Pron(pers,2,plu)
en	en	Adv(neg)
mochter	mogen	pronadv(pers)+pronadv(pers)+v(fin,past,aux_cop)
niet	niet	adv(neg)
in	in	Adp()
ghy	gij	Pron(pers,2,plu)
moeter	moeder	N(sing)
gaen	gaan	V(infin)
soecken	zoeken	V(infin)
een	een	Art(indef)
ander	ander	adj()
ghewin	gewin	n(sing)
den	de	Art(def)
paus	paus	N(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
den	de	Art(def)
paus	paus	n(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
mach	mogen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
inden	in+de	Adp()+Art(def)
hemel	hemel	N(sing)
niet	niet	Adv(neg)
waer	waar	V(fin,past,aux_cop)
duyvel	duivel	N(sing)
blijft	blijven	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
dan	dan	Adv(dem)
al	al	Adv(gener)
voor	voor	Adp()
de	de	Art(def)
helle	hel	N(sing)
quam	komen	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
ghegaen	gaan	V(participle,past)
en	en	Conj(coord)
clopte	kloppen	V(fin,pres,lex)
voor	voor	Adp()
de	de	Art(def)
deure	door	N(sing)
so	zo	Adv(resum)
schier	schier	adv(gener)
haddet	hebben	V(fin,past,aux_cop)
den	de	Art(def)
opperste	opperst	adj()
vernomen	vernemen	v(participle,past)
en	ne	Conj(coord)
quammer	er+komen	adv(gener)+v(fin,past,lex)
haestelijck	haastelijk	Adv(gener)
veure	ver	n(sing)
lucifer	lucifer	n(prop)
sprack	spreken	V(fin,past,lex)
ghy	gij	Pron(pers,2,plu)
en	en	Adv(neg)
moochter	mogen	N(sing)
niet	niet	adv(neg)
in	in	Adp()
ghy	gij	Pron(pers,2,plu)
moeter	moeder	N(sing)
gaen	gaan	V(infin)
soecken	zoeken	V(infin)
een	een	Art(indef)
ander	ander	adj()
ghewin	gewin	n(sing)
de	de	Art(def)
paus	paus	N(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
de	de	Art(def)
paus	paus	n(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
mach	mogen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
in	in	Adp()
hemel	hemel	N(sing)
noch	noch	conj(coord)
in	in	adp()
hel	hel	n(sing)
waer	waar	V(fin,past,aux_cop)
duyvel	duivel	N(sing)
blijft	blijven	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
dan	dan	Adv(dem)
hy	hij	Pron(pers,3,sing)
quam	komen	V(fin,past,lex)
al	al	Adv(gener)
voor	voor	Adp()
t	het	Art(def)
'	?	punc(quest)
vaghevyer	vagevuur	N(sing)
ghegaan	gaan	v(participle,past)
en	en	Conj(coord)
vandt	vinden	v(fin,past,lex)
dat	dat	pron(rel)
sonder	zonder	adp()
vraghen	vragen	v(infin)
dat	dat	conj(subord)
hyder	hij+er	Pron(pers,3,sing)+Pron(indef)
soo	zo	Adv(resum)
veel	veel	Num(indef)
bedroghen	bedriegen	V(participle,past)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
mach	mogen	V(fin,pres,aux_cop)
dat	dat	Conj(subord)
wel	wel	adv(gener)
beclaghen	beklagen	v(infin)
sijn	zijn	pron(poss)
ziele	ziel	n(sing)
lijdt	lijden	v(fin,pres,lex)
daerom	daarom	PronAdv(dem)
soo	zo	Adv(resum)
groote	groot	Adj()
pijn	pijn	N(sing)
om	om	Adp()
datter	dat+er	Conj(subord)+Pron(indef)
soo	zo	Adv(resum)
veel	veel	Num(indef)
bedroghen	bedriegen	V(participle,past)
zijn	zijn	V(fin,pres,aux_cop)
de	de	Art(def)
paus	paus	N(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	n(sing)
de	de	Art(def)
paus	paus	n(sing)
den	de	Art(def)
heylighen	heilig	adj()
man	man	N(sing)
hy	hij	Pron(pers,3,sing)
en	ne	Adv(neg)
mocht	mogen	V(fin,past,aux_cop)
in	in	adp()
hemel	hemel	n(sing)
noch	noch	conj(coord)
in	in	adp()
hel	hel	n(sing)
int	het+in	art(def)+adp()
vaghevyer	vagevuur	n(sing)
laten	laten	V(infin)
wy	wij	Pron(pers,1,plu)
hem	hij	Pron(pers,3,sing)
dan	dan	Conj(comp)
