och	och	Interj()
pas	pas	n(sing)
binnen	binnen	Adv(gener)
geertsberch	geeraertsbergen	Adj()
quam	komen	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
nijdigh	nijdig	Adj()
verbeten	verbijten	V(infin)
die	die	pron(rel)
van	van	adp()
hem	hij	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
om	om	Adp()
sulck	zulk	Pron(dem)
werck	werk	N(sing)
daer	daar	Adv(dem)
gesonden	zenden	v(participle,past)
beckerseel	backersele	N(sing)
ras	ras	n(sing)
volbracht	volbrengen	V(participle,past)
in	in	Adp()
korte	kort	adj()
stonden	stond	n(plu)
noch	nog	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
doen	doen	V(infin)
hangen	hangen	V(infin)
int	in+het	Adp()+Art(def)
openbaer	openbaar	Adv(gener)
den	de	Art(def)
predikant	predikant	N(sing)
uut	uit	adp()
vlaendren	vlaanderen	V(infin)
tot	tot	Adp()
aelst	aalst	N(sing)
binnen	binnen	Adv(gener)
die	die	pron(rel)
daer	daar	adv(dem)
gods	god	N(sing)
woort	woord	N(sing)
gepredict	prediken	V(participle,past)
had	hebben	V(fin,past,aux_cop)
voorwaer	voorwaar	Adv(gener)
daeraen	daaraan	PronAdv(dem)
machmen	men+mogen	pron(indef)+v(fin,pres,aux_cop)
een	een	art(indef)
recht	recht	N(sing)
christen	christus	N(prop)
bekinnen	bekennen	V(infin)
die	die	Pron(rel)
voor	voor	Adp()
christum	christus	N(prop)
zijn	zijn	Pron(poss)
leven	leven	N(sing)
hier	hier	Adv(dem)
verliest	verliezen	V(fin,pres,lex)
salt	zullen+het	V(fin,pres,aux_cop)
voorwaer	voorwaar	Adv(gener)
namaels	namaals	Adv(gener)
weder	weer	Adv(gener)
seker	zeker	adj()
winnen	winnen	v(infin)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
verkiest	verkiezen	V(fin,pres,lex)
sal	zullen	V(fin,pres,aux_cop)
niemant	niemand	pron(indef)
hem	hij	Pron(pers,3,sing)
ontrecken	onttrekken	v(infin)
hoe	hoe	Adv(inter)
seer	zeer	Adv(gener)
dat	dat	Conj(subord)
briest	briesen	n(sing)
een	een	Art(indef)
leeu	leeuw	n(sing)
in	in	adp()
alle	al	Num(indef)
vlecken	vlek	n(plu)
noch	nog	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
doen	doen	V(infin)
een	een	Art(indef)
nieu	nieuw	Adj()
verbont	verbond	N(sing)
gemaeckt	maken	V(participle,past)
met	met	Adp()
madamme	madam	N(sing)
die	de	Pron(rel)
regente	regent	n(sing)
verheven	verheffen	v(participle,past)
dat	dat	conj(subord)
te	te	adp()
willebroec	willebroek	n(sing)
den	de	Art(def)
prince	prins	n(sing)
wijs	wijs	Adj()
heeft	hebben	V(fin,pres,aux_cop)
versaect	verzaken	V(participle,past)
hy	hij	Pron(pers,3,sing)
en	ne	Adv(neg)
wilde	willen	V(fin,past,aux_cop)
daer	daar	adv(dem)
gheen	geen	pron(indef)
konsent	consent	n(sing)
in	in	Adp()
gheven	geven	v(infin)
den	de	Art(def)
prince	prins	N(sing)
wijs	wijs	Adj()
sprack	spreken	V(fin,past,lex)
egmont	egmont	N(prop)
wilt	willen	V(fin,pres,aux_cop)
verstaen	verstaan	V(infin)
van	van	Adp()
spaengien	spanje	N(prop)
af	af	PronAdv(rel)
maect	maken	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
tot	tot	Adp()
hier	hier	Adv(dem)
beneven	beneven	Adp()
een	een	Art(indef)
brugghe	brug	n(sing)
saen	zaan	adv(gener)
die	de	art(def)
ducdalf	dukdalf	n(sing)
hier	hier	adv(dem)
sal	zullen	v(fin,pres,aux_cop)
draghen	dragen	v(infin)
tot	tot	Adp()
u	gij	Pron(poss)
versmaen	versmaden	V(infin)
u	uw	Pron(poss)
gheslaght	geslacht	N(sing)
salt	zullen+het	V(fin,pres,aux_cop)
beklaghen	beklagen	v(infin)
doen	doen	v(infin)
ducdalf	dukdalf	N(prop)
was	zijn	v(fin,past,aux_cop)
int	het+in	art(def)+adp()
lant	land	n(sing)
gekomen	komen	v(participle,past)
fier	fier	Adj()
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
secreet	secreet	V(fin,pres,lex)
met	met	Adp()
zijnen	zijn	Pron(poss)
raet	raad	N(sing)
gesloten	sluiten	V(participle,past)
hoe	hoe	adv(inter)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
'	?	punc(quest)
t	het	Art(def)
nae	naar	Adp()
zijn	zijn	Pron(poss)
hant	hand	N(sing)
sou	zullen	V(fin,past,aux_cop)
stellen	stellen	V(infin)
hier	hier	Adv(dem)
om	om	Adp()
den	de	art(def)
edeldom	edeldom	N(sing)
vast	vast	adj()
te	te	Adp()
houden	houden	v(infin)
in	in	adp()
koten	kot	n(sing)
als	als	Conj(comp)
sommige	sommig	pron(indef)
edelen	edel	adj()
dat	dat	conj(subord)
hebben	hebben	v(fin,pres,aux_cop)
gehoort	horen	v(participle,past)
het	het	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
hun	zij	Pron(pers,3,plu)
waerlick	waarlijk	Adv(gener)
seer	zeer	Adv(gener)
verdroten	verdrieten	V(participle,past)
zy	zij	Pron(pers,3,plu)
hebben	hebben	V(fin,pres,aux_cop)
voort	voorts	Adv(gener)
egmont	egmont	N(prop)
dit	dit	Pron(dem)
aen	aan	Adp()
gaen	gaan	v(infin)
langhen	lang	V(infin)
hy	hij	Pron(pers,3,sing)
sprack	spreken	V(fin,past,lex)
ghestoort	storen	V(participle,past)
wie	wie	Pron(inter)
sou	zullen	V(fin,past,aux_cop)
my	ik	Pron(pers,1,sing)
derren	deren	V(infin)
vanghen	vangen	V(infin)
twas	het+zijn	Pron(pers,3,sing)+V(fin,past,aux_cop)
hem	hij	Pron(pers,3,sing)
te	te	Adp()
voor	voor	Adp()
noch	noch	Conj(coord)
eens	een	Adv(gener)
veradverteert	veradverteren	v(participle,past)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
sou	zullen	V(fin,past,aux_cop)
willen	willen	V(fin,pres,aux_cop)
houwen	houwen	V(infin)
uut	uit	Adp()
de	de	Art(def)
weghen	weg	N(plu)
hy	hij	Pron(pers,3,sing)
trock	trekken	V(fin,past,lex)
nae	na	Adp()
thof	het+hof	Adp()
soo	zo	Adv(resum)
hy	hij	Pron(pers,3,sing)
was	zijn	V(fin,past,aux_cop)
gheuseert	gewoon	V(participle,past)
en	en	art(indef)
vraegde	vragen	v(fin,past,lex)
ducdalven	dukdalf	N(prop)
met	met	adp()
soeter	zoet	adj()
zegen	zege	n(sing)
oft	of	Conj(coord)
hy	hij	Pron(pers,3,sing)
zijn	zijn	V(fin,pres,aux_cop)
ghevanghen	gevangen	N(sing)
sou	zullen	V(fin,past,aux_cop)
moeten	moeten	V(fin,pres,aux_cop)
zijn	zijn	Pron(poss)
gheveynst	geveinsd	N(sing)
sprack	spreken	V(fin,past,lex)
ducdalff	dukdalf	N(prop)
na	na	Adp()
zijn	zijn	pron(poss)
oude	oud	Adj()
plegen	plegen	V(infin)
een	een	Art(indef)
prins	prins	n(sing)
te	te	Adp()
zijn	zijn	V(infin)
sou	zullen	V(fin,past,aux_cop)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
gevangen	vangen	V(participle,past)
houwen	houwen	V(infin)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
veer	ver	N(sing)
van	van	Adp()
mijn	mijn	Pron(poss)
t	het	Art(def)
'	?	punc(quest)
mocht	mogen	V(fin,past,aux_cop)
my	ik	Pron(pers,1,sing)
namaels	namaals	Adv(gener)
berouwen	berouwen	V(infin)
egmont	egmont	N(prop)
die	die	Pron(rel)
trock	trekken	N(sing)
na	na	Adp()
huys	huis	N(sing)
seer	zeer	Adv(gener)
wel	wel	Adv(gener)
gemoet	gemoed	V(participle,past)
corts	kort	Adv(gener)
wert	worden	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
weder	weer	Adv(gener)
ten	te+de	Adp()+Art(def)
hove	hof	n(sing)
ontboden	ontbieden	V(participle,past)
daer	daar	Adv(dem)
wert	worden	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
ghevanghen	gevangen	V(participle,past)
met	met	Adp()
hoorne	hoorn	N(sing)
goet	goed	Adj()
zy	zij	Pron(pers,3,sing)
haddent	hebben+het	V(fin,past,lex)+Pron(pers,3,sing)
beyde	beide	Num(indef)
tsamen	tezamen	Adv()
wel	wel	Adv(gener)
ontvloden	ontvlieden	V(infin)
zy	zij	Pron(pers,3,sing)
zijn	zijn	V(fin,pres,aux_cop)
te	te	Adp()
ghent	gene	pron(dem)
ghevoert	voeren	v(participle,past)
al	al	adv(gener)
opt	op+het	Adp()+Art(def)
casteel	kasteel	n(sing)
en	en	Conj(coord)
daer	daar	Adv(dem)
bewaert	bewaren	V(fin,pres,lex)
al	al	Adv(gener)
van	van	Adp()
de	de	Art(def)
spaensche	spaans	Adj()
joden	jood	N(plu)
dit	dit	Pron(dem)
creech	krijgen	v(fin,past,lex)
te	te	adp()
deel	deel	N(sing)
egmont	egmont	N(prop)
door	door	Adp()
zijn	zijn	Pron(poss)
afvallen	afvallen	V(infin)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
tmorceel	het+morseel	Art(def)+N(sing)
smaeckt	smaken	V(fin,pres,lex)
bitterder	bitterder	N(sing)
als	als	Conj(comp)
gallen	gal	v(infin)
neghen	negeen	pron(indef)
maenden	maand	n(plu)
weynich	weinig	Adj()
min	min	adv(gener)
ofte	of	conj(coord)
meer	meer	num(indef)
den	de	art(def)
vijfden	vijf	num(ord)
junij	juni	N(prop)
t	het	Art(def)
'	?	punc(quest)
brussel	brussel	N(sing)
inde	en	conj(coord)
stede	stad	N(sing)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
schreyen	schreien	V(infin)
menich	menig	Num(indef)
huysghesin	huisgezin	N(sing)
teer	teer	Adv(gener)
over	over	adp()
die	de	Art(def)
doot	dood	n(sing)
van	van	Adp()
egmont	egmont	N(prop)
hoorne	hoorn	N(sing)
mede	mede	Adv(gener)
zy	zij	Pron(pers,3,plu)
storven	sterven	V(fin,past,lex)
beyde	beide	Num(indef)
dien	die	pron(dem)
dach	dag	N(sing)
voor	voor	adp()
den	de	Art(def)
noen	noen	N(sing)
egmont	egmont	N(prop)
ghebruycte	gebruiken	V(participle,past)
d	de	Art(def)
'	?	punc(quest)
afgodische	afgodsbeeld	n(plu)
zede	zede	n(sing)
daer	daar	adv(dem)
lach	liggen	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
doen	doen	v(infin)
die	de	Art(def)
twist	twist	N(sing)
hier	hier	Adv(dem)
had	hebben	V(fin,past,aux_cop)
bedreven	bedrijven	V(participle,past)
maer	maar	Conj(coord)
hoorne	hoorn	N(sing)
koen	koen	N(sing)
onschuldich	onschuldig	Adj()
liet	laten	V(fin,past,lex)
zijn	zijn	Pron(poss)
leven	leven	N(sing)
neemt	nemen	V(fin,pres,lex)
hier	hier	Adv(dem)
exempel	exempel	N(sing)
out	oud	Adj()
jonck	jong	adj()
cleyn	klein	Adj()
en	en	Conj(coord)
groot	groot	Adj()
hoe	hoe	Adv(inter)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
ghebrocht	brengen	V(participle,past)
heeft	hebben	v(fin,pres,aux_cop)
int	in+het	Adp()+Art(def)
verseeren	verseren	V(infin,subs)
hy	hij	Pron(pers,3,sing)
die	die	Pron(rel)
door	door	Adp()
giericheyt	gierigheid	N(sing)
verkoos	verkiezen	V(fin,past,lex)
de	de	Art(def)
doot	dood	n(sing)
ende	en	conj(coord)
verliet	verlaten	v(fin,pres,lex)
onachtsaem	onachtzaam	Adj()
d	de	Art(def)
'	?	punc(quest)
wech	weg	N(sing)
des	de	Art(def)
heeren	heer	n(sing)
aenvaerde	aanvaarden	V(fin,past,lex)
den	de	Art(def)
antechrist	antichrist	N(sing)
seer	zeer	Adv(gener)
snoot	snood	Adj()
dus	dus	Adv(dem)
wie	wie	Pron(inter)
ghy	gij	Pron(pers,2,sing)
zijt	zijn	V(fin,pres,aux_cop)
wijckt	wijken	V(fin,pres,lex)
niet	niet	Adv(neg)
van	van	adp()
godes	god	n(sing)
leeren	leren	N(plu)
zijt	zijn	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
ghesint	zenden	V(participle,past)
als	als	Conj(comp)
egmont	egmont	N(prop)
onghestadich	ongestadig	Adj()
die	die	Pron(rel)
soo	zo	Adv(gener)
verblint	verblinden	v(participle,past)
was	zijn	V(fin,past,aux_cop)
heer	heer	N(sing)
zijt	zijn	V(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
ghenadich	genadig	Adj()
