alsmen	als+men	conj(comp)+pron(indef)
zijn	zijn	Pron(poss)
offerhande	offerande	N(sing)
die	de	Pron(rel)
edel	edel	adj()
grave	graf	adj()
goet	goed	adj()
als	als	Conj(comp)
zijn	zijn	Pron(poss)
knien	knie	n(plu)
waren	zijn	V(fin,past,aux_cop)
gheboghen	buigen	V(participle,past)
en	en	Conj(coord)
zijn	zijn	Pron(poss)
handen	hand	N(plu)
waren	zijn	V(fin,past,aux_cop)
ghevoecht	gevoegte	V(participle,past)
een	een	num(card)
heeft	hebben	v(fin,pres,aux_cop)
dat	dat	Conj(subord)
sweert	zwaard	n(sing)
uutghetoghen	uitgaan	V(participle,past)
daermen	daar+men	PronAdv(rel)+Pron(indef)
hem	hij	Pron(pers,3,sing)
zijn	zijn	Pron(poss)
hooft	hoofd	N(sing)
af	af	pronadv(rel)
sloech	slaan	v(fin,past,lex)
sijn	zijn	pron(poss)
bloet	bloed	n(sing)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
daer	daar	Adv(dem)
stralen	straal	N(plu)
edel	edel	adj()
van	van	adp()
ordens	orde	N(sing)
verbont	verbond	N(sing)
godt	god	N(sing)
sal	zullen	V(fin,pres,aux_cop)
die	de	Art(def)
wrake	wraak	n(sing)
verhalen	verhalen	v(participle,past)
van	van	adp()
die	de	art(def)
grave	graf	n(sing)
van	van	adp()
egmondt	egmont	N(prop)
terstont	terstond	adv(gener)
daer	daar	Adv(dem)
na	na	Adp()
quam	komen	V(fin,past,lex)
vooren	voren	Adv(gener)
edel	edel	Adj()
van	van	Adp()
stam	stam	N(sing)
en	en	Conj(coord)
bloet	bloed	N(sing)
die	de	art(def)
edele	edel	Adj()
graef	graaf	n(sing)
van	van	adp()
horen	haar	N(plu)
liefhebbende	liefhebben	adj()
gods	god	N(sing)
woort	woord	N(sing)
soet	zoet	Adj()
lieflijck	lieflijk	Adv(gener)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
hem	hij	Pron(pers,3,sing)
daer	daar	Adv(dem)
treden	treden	v(infin)
als	als	Conj(comp)
een	een	Art(indef)
slachtschaep	slachtschaap	n(sing)
in	in	Adp()
noot	nood	N(sing)
comende	komen	v(participle,pres)
ter	te+de	Adp()+Art(def)
selver	zelfde	pron(dem)
steden	stad	n(sing)
daer	daar	Adv(dem)
hy	hij	pron(pers,3,sing)
moste	moeten	v(fin,past,aux_cop)
sterven	sterven	v(infin)
den	de	art(def)
doot	dood	n(sing)
als	als	Conj(comp)
hy	hij	Pron(pers,3,sing)
daer	daar	Adv(dem)
was	zijn	V(fin,past,aux_cop)
gcomen	gloeiend	adj()
die	die	Pron(rel)
graef	graaf	N(sing)
edel	edel	Adj()
ghenaemt	genaamd	V(participle,past)
hy	hij	pron(pers,3,sing)
sprac	spreken	V(fin,past,lex)
vry	vrij	adj()
sonder	zonder	adp()
schromen	schromen	V(infin)
isser	zijn+er	V(fin,pres,aux_cop)+Pron(pers,3,sing)
nu	nu	Adv(dem)
gheen	geen	Pron(indef)
ghenaed	genade	N(sing)
niemant	niemand	Pron(indef)
hem	hij	Pron(pers,3,sing)
antwoord	antwoorden	v(fin,past,lex)
gave	gave	v(fin,past,lex)
de	de	art(def)
edel	edel	Adj()
graef	graaf	N(sing)
goetront	toornen	N(sing)
na	na	Adp()
egmont	egmont	N(prop)
was	zijn	V(fin,past,aux_cop)
zijn	zijn	pron(poss)
vragen	vragen	N(plu)
baals	bahaal	n(prop)
priester	priester	n(sing)
by	bij	adp()
hem	hij	pron(pers,3,sing)
stont	staan	V(fin,past,lex)
egmont	egmont	N(prop)
die	die	Pron(rel)
daer	daar	adv(dem)
lach	liggen	v(fin,past,lex)
eenpare	eenpaar	n(sing)
ghedeckt	gedenken	v(participle,past)
met	met	adp()
een	een	art(indef)
cleet	kleed	N(sing)
dicht	dicht	n(sing)
wert	worden	v(fin,pres,aux_cop)
hijt	het+hij	pron(pers,3,sing)+pron(pers,3,sing)
aen	aan	Adp()
zijn	zijn	pron(poss)
voeten	voet	N(plu)
geware	gewaar	adj()
dies	dat	Pron(dem)
hy	hij	Pron(pers,3,sing)
tcleet	tellen	Art(def)+N(sing)
heeft	hebben	V(fin,pres,aux_cop)
opgelicht	oplichten	v(participle,past)
en	en	Conj(coord)
sprack	spreken	v(fin,past,lex)
met	met	Adp()
cloecke	kloek	Adj()
reden	rede	N(sing)
sijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
daer	daar	Adv(dem)
egmont	egmont	N(prop)
sijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
voor	voor	Adp()
ghetreden	treden	V(participle,past)
so	zo	Adv(resum)
wil	willen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
volghen	volgen	V(infin)
terstont	terstond	Adv(gener)
baals	bahaal	n(prop)
priester	priester	n(sing)
met	met	Adp()
zijne	zijn	pron(poss)
cluchten	klucht	N(plu)
tradt	het+rad	N(sing)
tot	tot	adp()
den	de	art(def)
grave	graf	N(sing)
groot	groot	adj()
gaet	gaan	N(sing)
van	van	Adp()
my	ik	Pron(pers,1,sing)
sprack	spreken	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
met	met	Adp()
suchten	zuchten	N(plu)
want	want	Conj(coord)
ghy	gij	Pron(pers,2,sing)
doet	doen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
nu	nu	Adv(dem)
aen	aan	Adp()
den	de	Art(def)
doot	dood	N(sing)
hy	hij	Pron(pers,3,sing)
wist	weten	V(fin,past,lex)
wiese	wassen	Adj()
waren	zijn	v(fin,past,aux_cop)
al	al	adv(gener)
voren	voren	adv(gener)
des	de	art(def)
duyvels	duivel	N(sing)
en	en	adv(neg)
spaus	de+paus	Art(def)+N(sing)
ghebroet	broeden	V(participle,past)
van	van	adp()
antechristus	antichrist	n(prop)
gheboren	geboren	adj()
die	die	pron(rel)
daer	daar	adv(dem)
dorsten	dorsten	v(fin,past,lex)
na	na	adp()
donnoosel	de+onnozel	Art(def)+Adj()
bloet	bloed	n(sing)
een	een	art(indef)
cussen	kussen	n(sing)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
ghevonden	vinden	V(participle,past)
daer	daar	Adv(dem)
hy	hij	Pron(pers,3,sing)
op	op	Adp()
booch	buigen	N(sing)
zijn	zijn	Pron(poss)
knien	knie	N(plu)
al	al	Adv(gener)
om	om	Adp()
te	te	Adp()
zijn	zijn	V(infin)
verslonden	verslinden	V(infin)
een	een	Art(indef)
kussen	kussen	N(sing)
hy	hij	Pron(pers,3,sing)
voor	voor	Adp()
hem	hij	Pron(pers,3,sing)
vande	van+de	Adp()+Art(def)
hy	hij	Pron(pers,3,sing)
boog	buigen	V(fin,past,lex)
daer	daar	Adv(dem)
op	op	Adp()
zijn	zijn	Pron(poss)
knien	knie	n(plu)
tesamen	tezamen	adv(gener)
leyd	leiden	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
zijn	zijn	Pron(poss)
handen	hand	N(plu)
ten	te+de	Adp()+Art(def)
hemel	hemel	N(sing)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
hem	hij	Pron(pers,3,sing)
sien	zien	V(infin)
tot	tot	adp()
den	de	Art(def)
hemel	hemel	N(sing)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
hem	hij	Pron(pers,3,sing)
sien	zien	V(infin)
hy	hij	Pron(pers,3,sing)
voer	voor	Adp()
uut	uit	adp()
dese	deze	pron(dem)
warande	warande	n(sing)
sprekende	spreken	v(participle,pres)
seer	zeer	n(sing)
onbevreest	onbevreesd	adj()
o	o	Interj()
heer	heer	N(sing)
in	in	Adp()
dees	deze	Pron(dem)
offrande	offerande	n(sing)
beveel	bevelen	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
mijnen	mijn	Pron(poss)
gheest	geest	N(sing)
als	als	Conj(subord)
hy	hij	Pron(pers,3,sing)
zijn	zijn	Pron(poss)
knien	knie	N(plu)
had	hebben	V(fin,past,aux_cop)
gheboghen	buigen	V(participle,past)
als	als	Conj(comp)
zijn	zijn	Pron(poss)
knien	knie	n(plu)
waren	zijn	V(fin,past,aux_cop)
gebogen	buigen	v(participle,past)
en	en	Conj(coord)
zijn	zijn	Pron(poss)
handen	hand	N(plu)
tsaem	tezamen	Adv()
gevoegt	gevoegen	V(participle,past)
een	een	Art(indef)
heeft	hebben	v(fin,pres,aux_cop)
dat	dat	art(def)
zweert	zwaard	N(sing)
uutgetoghen	uitgaan	v(participle,past)
die	die	pron(rel)
de	de	art(def)
grave	graf	adj()
thooft	het+hoofd	art(def)+n(sing)
afsloeg	afslaan	V(fin,pres,lex)
zijn	zijn	Pron(poss)
bloedt	bloed	N(sing)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
daer	daar	Adv(dem)
blincken	blinken	V(infin)
edel	edel	Adj()
van	van	Adp()
stamme	stam	n(sing)
root	rood	adj()
dus	dus	adv(dem)
sachmen	zien+men	pron(indef)+v(fin,past,lex)
de	de	Art(def)
grave	graf	N(sing)
krincken	krenken	n(plu)
van	van	adp()
hoorn	hoorn	N(sing)
seer	zeer	Adv(gener)
minjoot	monjou	N(sing)
en	en	Conj(coord)
zijn	zijn	Pron(poss)
handen	hand	N(plu)
had	hebben	V(fin,past,aux_cop)
ghevoecht	voegen	V(participle,past)
een	een	Art(indef)
heeft	hebben	v(fin,pres,aux_cop)
dat	dat	Conj(subord)
sweert	zwaard	n(sing)
uutghetoghen	uitgaan	v(participle,past)
die	die	Pron(rel)
den	de	art(def)
grave	graf	N(sing)
zijn	zijn	Pron(poss)
hooft	hoofd	N(sing)
af	af	pronadv(rel)
sloech	slaan	v(fin,past,lex)
aldus	aldus	adv(dem)
sachmen	zien+men	pron(indef)+v(fin,past,lex)
crincken	krenken	v(infin)
den	de	Art(def)
edelen	edel	adj()
grave	graf	n(sing)
minioot	monjou	n(sing)
o	o	Interj()
godt	god	N(sing)
wilt	willen	V(fin,pres,aux_cop)
toch	toch	Adv(gener)
ghedincken	gedenken	V(infin)
den	de	Art(def)
tyran	tiran	N(sing)
die	die	Pron(rel)
hem	hij	pron(pers,3,sing)
bracht	brengen	v(fin,past,lex)
in	in	Adp()
noot	nood	N(sing)
twee	twee	Num(card)
broeders	broeder	N(plu)
in	in	Adp()
goede	goed	Adj()
zeden	zede	n(plu)
van	van	adp()
batenburch	batenborch	N(prop)
twee	twee	num(card)
heeren	heer	N(plu)
groot	groot	Adj()
bervoets	beroven	N(sing)
sachmense	men+zien+zij	pron(indef)+v(fin,past,lex)+pron(pers,3,plu)
treden	treden	V(infin)
en	en	Conj(coord)
bloots	bloot	N(sing)
hoofts	hoofd	N(sing)
al	al	adv(gener)
na	na	adp()
den	de	art(def)
doot	dood	n(sing)
singhende	zingen	v(participle,pres)
uut	uit	Adp()
helder	helder	N(sing)
kelen	keel	n(sing)
uut	uit	Adp()
david	david	N(prop)
den	de	Art(def)
sesten	zesde	num(ord)
psalm	psalm	N(sing)
straft	straffen	V(imp)
my	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
heer	heer	N(sing)
in	in	Adp()
velen	veel	Num(indef)
tot	tot	Adp()
godt	god	N(sing)
quam	komen	V(fin,past,lex)
haerlieder	haarlieden	N(sing)
galm	gal	N(sing)
vry	vrij	Adj()
moedich	moedig	Adj()
int	in+het	Adp()+Art(def)
openbare	openbaar	Adj()
aenriepen	aanroepen	V(infin)
sy	zij	pron(pers,3,plu)
haren	haar	Pron(poss)
schepper	schepper	N(sing)
groot	groot	Adj()
de	de	Art(def)
trommelen	trommel	N(plu)
ginghen	gaan	v(fin,past,lex)
allegare	algader	num(indef)
en	ne	adv(neg)
sloeghen	slaan	v(fin,past,lex)
daer	daar	adv(dem)
al	al	adv(gener)
accoort	akkoord	N(sing)
de	de	Art(def)
jongste	jong	Adj()
begost	beginnen	v(fin,pres,lex)
te	te	adp()
treuren	treuren	V(infin)
hy	hij	Pron(pers,3,sing)
liet	laten	V(fin,past,lex)
soo	zo	Adv(resum)
menighen	menig	Num(indef)
traen	traan	V(infin)
om	om	adp()
dat	dat	conj(subord)
het	het	pron(pers,3,sing)
niet	niet	adv(neg)
mochte	mogen	v(fin,past,aux_cop)
ghebeuren	gebeuren	v(infin)
dat	dat	conj(subord)
die	de	art(def)
lieden	lieden	n(plu)
hem	hij	pron(pers,3,sing)
conden	kunnen	v(fin,past,aux_cop)
verstaen	verstaan	v(infin)
op	op	adp()
den	de	art(def)
savel	sabel	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
ghecomen	komen	V(participle,past)
al	al	Adv(gener)
comende	komen	v(participle,pres)
op	op	adp()
de	de	art(def)
stede	stad	n(sing)
dese	deze	pron(dem)
heeren	heer	n(plu)
jonc	jong	n(plu)
van	van	adp()
jaer	jaar	N(sing)
zy	zij	Pron(pers,3,sing)
waren	zijn	V(fin,past,aux_cop)
in	in	Adp()
god	god	n(sing)
te	te	adp()
vreden	vrede	n(sing)
totten	tot+de	adp()+art(def)
doot	dood	n(sing)
begaven	begaven	V(infin)
sy	zij	Pron(pers,3,plu)
haer	haar	Pron(pers,3,sing)
haer	haar	Pron(poss)
knien	knie	N(plu)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
daer	daar	Adv(dem)
boogen	buigen	V(infin)
men	men	pron(indef)
sloegse	slaan+zij	v(fin,past,lex)+pron(pers,3,plu)
daer	daar	pronadv(rel)
af	af	pronadv(rel)
het	het	Art(def)
hooft	hoofd	N(sing)
o	o	Interj()
god	god	N(sing)
hoe	hoe	adv(inter)
meugdyt	gij+mogen	v(fin,pres,lex)
gedogen	gedogen	v(infin)
dat	dat	conj(subord)
u	uw	Pron(poss)
woort	woord	N(sing)
dus	dus	Adv(dem)
wort	worden	V(fin,pres,aux_cop)
berooft	beroven	V(participle,past)
dees	deze	Pron(dem)
twee	twee	Num(card)
jonghe	jong	Adj()
heeren	heer	N(plu)
soet	zoet	Adj()
al	al	Adv(gener)
waer	waar	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
met	met	Adp()
onvervromen	onverborgen	Adj()
moesten	moeten	v(fin,past,aux_cop)
storten	storten	v(fin,past,lex)
haer	haar	Pron(poss)
edel	edel	adj()
bloet	bloed	n(sing)
want	want	conj(coord)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
haer	zij	pron(pers,3,sing)
thooft	het+hoofd	art(def)+n(sing)
af	af	pronadv(rel)
smijten	spijten	v(infin)
met	met	adp()
noch	noch	Conj(coord)
thien	tien	Num(card)
edel	edel	adj()
mannen	man	N(plu)
schoon	schoon	Adj()
o	o	Interj()
godt	god	N(sing)
mijn	mijn	Pron(poss)
hert	hart	N(sing)
wilt	willen	V(fin,pres,aux_cop)
splijten	splijten	V(infin)
als	als	Conj(subord)
ick	ik	Pron(pers,1,sing)
daer	daar	Adv(dem)
op	op	Adp()
denk	de	art(def)
ydoon	idoon	N(prop)
groot	groot	Adj()
suchten	zuchten	n(sing)
ende	en	Conj(coord)
claghen	klagen	v(infin)
en	ne	adv(neg)
weenen	wenen	V(infin)
ghebrack	gebreken	v(fin,past,lex)
daer	daar	adv(dem)
niet	niet	adv(neg)
men	men	pron(indef)
hoorde	horen	v(fin,past,lex)
mans	man	N(sing)
en	en	Conj(coord)
vrouwen	vrouw	n(sing)
gewaghen	gewagen	v(participle,past)
o	o	Interj()
godt	god	N(sing)
wat	wat	Pron(inter)
grooter	groot	Adj()
verdriet	verdriet	n(sing)
van	van	Adp()
dees	deze	Pron(dem)
nederlantsche	nederlands	N(prop)
heeren	heer	N(sing)
vande	van+de	Adp()+Art(def)
heeren	heer	N(sing)
der	de	Art(def)
nederlanden	nederlanden	N(prop)
diemen	die+men	pron(rel)+pron(indef)
daer	daar	Adv(dem)
doot	dood	N(sing)
en	en	Conj(coord)
brant	brand	N(sing)
zoo	zo	Adv(resum)
menich	menig	Num(indef)
man	man	N(sing)
comt	komen	v(fin,pres,lex)
ter	de+te	art(def)+adp()
schanden	schande	N(sing)
door	door	Adp()
ducdalf	dukdalf	N(prop)
de	de	Art(def)
wreeden	wreed	adj()
tyrant	tyran	N(sing)
diemen	die+men	pron(rel)+pron(indef)
daer	daar	Adv(dem)
doot	dood	N(sing)
en	en	Conj(coord)
brant	brand	N(sing)
met	met	Adp()
so	zo	Adv(dem)
menich	menig	num(indef)
man	man	N(sing)
dwelck	de+welke	Art(def)+Pron(rel)
tsijnen	te+zijn	adp()+pron(poss)
vermeeren	vermeren	V(infin)
doet	doen	n(sing)
duckdalve	dukdalf	N(prop)
den	de	art(def)
wreeden	wreed	adj()
tyrant	tyran	N(sing)
o	o	interj()
duckdalf	dukdalf	N(sing)
met	met	Adp()
u	gij	Pron(poss)
ghenooten	genoot	v(participle,past)
sijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
niet	niet	Adv(neg)
sadt	zitten	V(fin,past,lex)
van	van	adp()
tbloet	bloed+het	n(sing)+art(def)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
in	in	Adp()
napels	nagel	N(sing)
hebt	hebben	v(fin,pres,aux_cop)
vergoten	vergieten	V(participle,past)
en	en	Conj(coord)
voor	voor	Adp()
mets	meest	Adp()
soo	zo	Adv(resum)
menich	menig	Num(indef)
man	man	N(sing)
goet	goed	adj()
waren	zijn	v(fin,past,aux_cop)
dat	dat	conj(subord)
niet	niet	adv(neg)
schelmsche	schemelijk	n(sing)
wracken	wraak	V(infin)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
den	de	Art(def)
onghelesten	ongeleerd	N(plu)
kalck	knielen	N(sing)
int	in+het	Adp()+Art(def)
broot	brood	N(sing)
hebt	hebben	V(fin,pres,aux_cop)
doen	toen	V(infin)
backen	bakken	V(infin)
o	o	interj()
nero	nero	n(prop)
verrader	verrader	N(sing)
end	en	Conj(coord)
schalck	schalk	Adj()
al	al	Adv(gener)
met	met	Adp()
u	gij	Pron(poss)
bloedighe	bloedig	Adj()
tanden	tand	N(plu)
als	als	conj(subord)
pharao	farao	n(prop)
en	ne	adv(neg)
jesabel	izebel	n(prop)
coemt	komen	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
in	in	Adp()
dees	deze	Pron(dem)
nederlanden	nederlanden	N(prop)
als	als	conj(subord)
herodes	herodes	n(prop)
quaet	kwaad	adj()
en	een	art(indef)
fel	fel	Adj()
hanghen	hangen	V(infin)
moorden	moorden	N(plu)
en	en	Conj(coord)
branden	branden	N(plu)
ontlijven	ontlijven	V(infin)
al	al	adv(gener)
metter	de+met	art(def)+adp()
spoet	spoed	n(sing)
dus	dus	Adv(dem)
coemt	komen	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
met	met	Adp()
babel	babel	N(prop)
ter	te+de	Adp()+Art(def)
schanden	schande	N(sing)
al	al	Adv(gener)
om	om	Adp()
tonschuldighe	de+onschamelheid	N(sing)
bloet	bloed	N(sing)
