o	o	Interj()
hieten	heten	v(fin,past,aux_cop)
barlemont	parlement	n(prop)
mit	met	adp()
zijn	zijn	pron(poss)
ruyters	ruiter	n(plu)
ende	en	conj(coord)
knechten	knecht	n(plu)
wel	wel	adv(gener)
gecomen	komen	v(participle,past)
als	als	conj(subord)
de	de	art(def)
guesen	goed	n(plu)
dit	dit	pron(dem)
vernamen	vernemen	v(fin,past,lex)
datse	dat+zij	conj(subord)+pron(pers,3,plu)
waren	zijn	v(fin,past,aux_cop)
al	al	adv(gener)
inden	in+de	Adp()+Art(def)
strijdt	strijd	N(sing)
en	en	Conj(coord)
dat	dat	Pron(rel)
mijn	mijn	pron(poss)
van	van	adp()
barlemont	parlement	n(sing)
an	aan	adp()
gereden	rijden	v(participle,past)
quamen	komen	v(fin,past,lex)
en	ne	adv(neg)
brachten	brengen	v(fin,past,lex)
ruyter	ruiter	n(sing)
en	ne	adv(neg)
voetknechten	voetganger	V(fin,pres,lex)
mijt	mijden	V(fin,pres,lex)
sy	zij	Pron(pers,3,plu)
hebben	hebben	V(fin,pres,aux_cop)
haest	haast	Adv(gener)
haer	haar	Pron(poss)
geschut	geschut	N(sing)
nadergestelt	vaderlijkheid	V(participle,past)
en	en	Conj(coord)
sy	zij	Pron(pers,3,plu)
schoeten	schieten	V(infin)
cloeck	kloek	Adj()
al	al	Adv(gener)
in	in	Adp()
dat	het	art(def)
velt	veld	n(sing)
de	de	art(def)
ruyters	ruiter	N(plu)
begonde	beginnen	v(fin,past,lex)
te	te	adp()
duchten	duchten	v(infin)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
de	de	art(def)
stucken	stuk	n(plu)
vliegen	vliegen	v(fin,pres,lex)
in	in	Adp()
de	de	art(def)
luchen	leugen	n(plu)
de	de	Art(def)
trompetten	trompet	N(plu)
sloegen	slaan	v(fin,past,lex)
alarme	hagar	n(prop)
de	de	Art(def)
trommel	trommel	N(sing)
maeckte	maken	v(fin,past,lex)
daer	daar	Adv(dem)
geclanck	geklank	N(sing)
twelck	hetwelk	Pron(rel)
duyrde	duren	V(fin,past,lex)
voor	voor	Adp()
menich	menig	Num(indef)
iandarme	januari	N(sing)
meer	meer	Num(indef)
als	als	conj(comp)
vier	vuur	n(sing)
uren	uur	n(plu)
lanck	lang	adj()
de	de	Art(def)
guezen	goed	adj()
weecken	week	n(plu)
te	te	adp()
rugghe	rug	n(sing)
claer	klaar	Adj()
tot	tot	Adp()
datse	dat+zij	conj(subord)+pron(pers,3,plu)
quamen	komen	v(fin,past,lex)
inde	en	conj(coord)
bosschage	bos	n(sing)
een	een	art(indef)
paer	paar	n(sing)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
de	de	art(def)
vendels	voormaals	n(sing)
daer	daar	adv(dem)
vliegen	vliegen	v(fin,pres,lex)
al	al	Adv(gener)
voren	voren	adv(gener)
men	men	pron(indef)
rieper	roepen	N(sing)
slaet	slaan	v(fin,pres,lex)
doot	dood	N(sing)
twas	het+zijn	Pron(pers,3,sing)+V(fin,past,aux_cop)
quaet	kwaad	N(sing)
om	om	Adp()
horen	horen	v(infin)
wel	wel	adv(gener)
huysent	huis	num(card)
van	van	adp()
beyde	beide	num(indef)
syden	zijde	N(plu)
zijn	zijn	v(fin,pres,aux_cop)
daer	daar	Adv(dem)
verslaghen	verslaan	V(participle,past)
doot	dood	N(sing)
mijn	mijn	Pron(poss)
van	van	Adp()
barlemont	parlement	n(prop)
lieter	er+laten	v(fin,past,aux_cop)+pron(pers,3,plu)
oock	ook	Adv(gener)
zijn	zijn	Pron(poss)
leven	leven	N(sing)
mit	met	adp()
hondert	honderd	num(card)
paerde	paard	n(plu)
ruyters	ruiter	n(plu)
ic	ik	pron(pers,1,sing)
segt	zeggen	v(fin,pres,lex)
u	gij	pron(pers,2,sing)
bloot	bloot	adj()
dit	dit	pron(dem)
is	zijn	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
den	de	Art(def)
loon	loon	N(sing)
de	de	Art(def)
heeft	hebben	V(fin,pres,aux_cop)
ontfaen	ontvangen	v(participle,past)
ende	en	conj(coord)
sy	zij	pron(pers,3,plu)
wilden	willen	v(fin,past,aux_cop)
niet	niet	Adv(neg)
de	de	art(def)
offerhande	offerande	N(sing)
voorstaen	vorespaan	V(infin)
god	god	N(sing)
wil	willen	v(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
de	de	art(def)
sonden	zonde	n(plu)
vergeven	vergeven	v(participle,past)
dat	dat	conj(subord)
wy	wij	pron(pers,1,plu)
altsamen	al+tezamen	Adv()+Adv()
eendrachtich	eendrachtig	adj()
moegen	mogen	v(fin,pres,aux_cop)
leven	leven	v(infin)
alsomen	als+men	conj(comp)+pron(indef)
sach	zien	v(fin,past,lex)
sonder	zonder	adp()
sneeven	sneven	n(sing)
binnen	binnen	adv(gener)
doornick	toornig	N(sing)
voorwaer	voorwaar	Adv(gener)
hoe	hoe	Adv(inter)
sy	zij	Pron(pers,3,plu)
de	de	Art(def)
borgers	burger	N(plu)
benomen	benemen	v(participle,past)
tleeven	het+leven	num(card)
om	om	adp()
datse	dat+zij	conj(subord)+pron(pers,3,plu)
gods	god	N(sing)
woort	woord	N(sing)
belijden	belijden	V(infin)
een	een	Art(indef)
paer	paar	N(sing)
en	en	adv(neg)
wilt	willen	V(fin,pres,aux_cop)
ooc	ook	Adv(gener)
vromelick	vromelijk	Adv(gener)
blijven	blijven	V(infin)
staen	staan	v(infin)
dat	dat	Conj(subord)
harnas	harnas	n(sing)
gods	god	N(sing)
wilt	willen	V(fin,pres,aux_cop)
trecken	trekken	V(infin)
aen	aan	Adp()
op	op	Adp()
u	uw	Pron(poss)
hooft	hoofd	N(sing)
set	zetten	V(fin,pres,lex)
sonder	zonder	Adp()
myden	mijden	n(plu)
den	de	art(def)
helm	helm	n(sing)
der	de	art(def)
salicheyt	zaligheid	n(sing)
met	met	Adp()
david	david	N(prop)
en	en	Conj(coord)
wilt	willen	V(fin,pres,aux_cop)
niet	niet	adv(neg)
vresen	vrees	V(infin)
voor	voor	adp()
hondert	honderd	Num(card)
duysent	duizend	Num(card)
man	man	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
god	god	n(sing)
u	gij	Pron(poss)
wtgelesen	overlezen	V(participle,past)
niemant	niemand	Pron(indef)
u	uw	Pron(poss)
letten	letten	N(plu)
en	en	adv(neg)
can	kunnen	v(fin,pres,aux_cop)
dit	dit	pron(dem)
coemt	komen	V(fin,pres,lex)
nu	nu	Adv(dem)
om	om	Adp()
onse	ons	pron(poss)
sonden	zonde	N(plu)
voorwaer	voorwaar	Adv(gener)
die	die	Pron(rel)
wy	wij	Pron(pers,1,plu)
noch	nog	Adv(gener)
dagelicx	dagelijks	adv(gener)
doen	doen	V(infin)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
claer	klaar	Adj()
met	met	Adp()
dobbelen	dubbel	n(plu)
tuysschen	tussen	n(sing)
ende	en	conj(coord)
dootslagen	doodslag	n(plu)
daerom	daarom	pronadv(dem)
coemt	komen	v(fin,pres,lex)
ons	wij	Pron(pers,1,plu)
nu	nu	Adv(dem)
de	de	art(def)
here	heer	n(sing)
plaghen	plegen	v(fin,past,lex)
tgemeen	het+gemeen	n(plu)
welvaert	welvaart	N(sing)
is	zijn	v(fin,pres,aux_cop)
wech	weg	n(sing)
geweecken	gewekken	v(infin)
de	de	art(def)
coopmenschap	koopmanschap	n(sing)
ende	en	conj(coord)
neringe	nering	n(sing)
zijn	zijn	v(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
al	al	Adv(gener)
quijt	kwijt	Adj()
elck	elk	Pron(indef)
winsche	wens	N(sing)
is	zijn	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
vol	vol	Adj()
boossheyt	boosheid	N(sing)
gesteken	gestoken	V(participle,past)
daer	daar	adv(dem)
toe	toe	v(fin,past,lex)
vol	vol	Adj()
haet	haat	n(sing)
ende	en	conj(coord)
nijt	nijd	n(sing)
alsomen	als+men	adv(gener)
noch	noch	conj(coord)
dagelicx	dagelijks	adv(gener)
wel	wel	Adv(gener)
hoort	horen	V(fin,pres,lex)
den	de	Art(def)
eenen	een	Art(indef)
broeder	broeder	n(sing)
slaet	slaan	v(fin,pres,lex)
den	de	art(def)
ander	ander	adj()
doot	dood	n(sing)
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,plu)
nu	nu	Adv(dem)
siet	zien	V(fin,pres,lex)
aen	aan	Adp()
alle	al	Num(indef)
zijden	zijde	N(plu)
meer	meer	num(indef)
als	als	conj(comp)
hondert	honderd	num(card)
gelooven	geloven	Adj()
op	op	adp()
dese	deze	pron(dem)
tijden	tijd	n(plu)
den	de	Art(def)
prince	prins	N(sing)
god	god	N(sing)
onsen	ons	Pron(poss)
vadere	vader	n(sing)
die	die	Pron(rel)
altijt	altijd	Adv(gener)
zijn	zijn	Pron(poss)
volck	volk	N(sing)
bewaert	bewaren	V(fin,pres,lex)
ons	wij	Pron(poss)
troost	troost	N(sing)
en	en	Conj(coord)
druck	druk	N(sing)
ontladere	ontlater	N(sing)
so	zo	Adv(resum)
ons	wij	pron(pers,1,plu)
de	de	art(def)
schriftuyre	schriftuur	N(sing)
verclaert	verklaren	V(fin,pres,lex)
en	en	Conj(coord)
laet	laten	V(imp)
ons	wij	pron(pers,1,plu)
aenroepen	aanroepen	V(infin)
den	de	art(def)
here	heer	n(sing)
altijt	altijd	adv(gener)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
wil	willen	V(fin,pres,aux_cop)
vrede	vrede	N(sing)
senden	zenden	V(infin)
int	in+het	Adp()+Art(def)
rijck	rijk	N(sing)
en	en	Conj(coord)
laet	laten	V(imp)
ons	wij	Pron(pers,1,plu)
voor	voor	Adp()
den	de	Art(def)
coninck	koning	N(sing)
leden	lijden	N(plu)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
zijn	zijn	Pron(poss)
landen	land	N(plu)
wil	willen	V(fin,pres,aux_cop)
stellen	stellen	V(infin)
in	in	Adp()
vreden	vrede	N(sing)
