alsmen	als+men	conj(comp)+pron(indef)
en	ne	Conj(coord)
creghen	krijgen	v(fin,pres,lex)
die	de	pron(rel)
molens	molen	n(sing)
in	in	adp()
brande	brand	N(sing)
maer	maar	conj(coord)
een	een	art(indef)
huyse	huis	n(sing)
bleef	blijven	v(fin,past,aux_cop)
noch	nog	adv(gener)
staen	staan	v(infin)
die	de	Art(def)
spaengiaerts	spanjaard	N(prop)
maecten	maken	V(fin,past,lex)
een	een	Art(indef)
walle	wal	n(sing)
om	om	adp()
thuys	het+huis	n(prop)
met	met	Adp()
aller	al	Num(indef)
macht	macht	N(sing)
die	de	Pron(rel)
burghers	burger	N(plu)
en	en	Conj(coord)
soldaten	soldaat	N(plu)
alle	al	Num(indef)
arbeyden	arbeiden	N(plu)
oock	ook	Adv(gener)
dach	dag	N(sing)
ende	en	Conj(coord)
nacht	nacht	N(sing)
sy	zij	Pron(pers,3,plu)
maeckten	maken	V(fin,past,lex)
de	de	Art(def)
stad	stad	n(sing)
vaste	vast	adv(gener)
daert	daar+het	adv(rel)+pron(pers,3,sing)
noch	nog	conj(coord)
seer	zeer	adv(gener)
was	zijn	v(fin,past,aux_cop)
van	van	adp()
noodt	nood	n(sing)
opten	op+de	Adp()+Art(def)
tyran	tiran	N(sing)
sy	zij	Pron(pers,3,plu)
niet	niet	Adv(neg)
en	en	Adv(neg)
paste	passen	n(sing)
als	als	Conj(subord)
hy	hij	Pron(pers,3,sing)
de	de	Art(def)
stadt	stad	N(sing)
op	op	Adp()
eyschten	eisen	N(plu)
bloot	bloot	Adj()
het	het	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
den	de	art(def)
spangiaerts	spanjaard	N(prop)
groote	groot	Adj()
spijte	spijt	N(sing)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
creghen	krijgen	V(fin,past,lex)
gheen	geen	Pron(indef)
ghehoor	goor	N(sing)
sy	zij	Pron(pers,3,plu)
achten	achten	V(fin,pres,lex)
de	de	Art(def)
stadt	stad	N(sing)
niet	niet	Adv(neg)
een	een	Art(indef)
mijte	met+de	n(sing)
eer	eer	Conj(subord)
sy	zij	Pron(pers,3,plu)
daer	daar	Adv(dem)
quamen	komen	V(fin,past,lex)
voor	voor	Adp()
daer	daar	Adv(dem)
zijn	zijn	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
in	in	Adp()
dan	dan	adv(dem)
boeren	boer	n(plu)
maecten	maken	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
malcander	elkaar	pron(refl,1,plu)
wijs	wijs	Adj()
voorloopers	voorhof	N(sing)
en	ne	adv(neg)
meer	meer	Num(indef)
sulcke	zulk	Pron(dem)
loeren	loeren	V(infin)
sy	zij	Pron(pers,3,plu)
souden	zullen	V(fin,past,aux_cop)
wel	wel	Adv(gener)
behalen	behagen	V(infin)
prijs	prijs	n(sing)
tgrof	graf+het	N(sing)
gheschut	geschut	N(sing)
ghinghen	gaan	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
stellen	stellen	V(fin,pres,lex)
voor	voor	Adp()
den	de	Art(def)
rooden	rood	Adj()
tooren	toorn	V(infin)
en	en	Conj(coord)
vriesche	briesen	adj()
poort	poort	N(sing)
sy	zij	Pron(pers,3,plu)
meendent	menen	V(fin,past,lex)
al	al	Adv(gener)
mede	mede	adv(gener)
te	te	adp()
vellen	vellen	v(infin)
en	en	adv(neg)
dan	dan	conj(comp)
te	te	adp()
bedrijven	bedrijven	V(infin)
haer	haar	Pron(poss)
moort	moord	N(sing)
maer	maar	Conj(coord)
die	de	Art(def)
heere	heer	n(sing)
der	de	art(def)
heyrscharen	heerschaar	N(plu)
wiens	wiens	Pron(inter)
macht	macht	N(sing)
haer	zij	Pron(pers,3,sing)
te	te	Adp()
boven	boven	Adp()
gaet	gaan	v(fin,pres,lex)
conde	kunnen	v(fin,past,aux_cop)
den	de	art(def)
stadt	stad	n(sing)
wel	wel	Adv(gener)
bewaren	bewaren	V(infin)
en	en	Conj(coord)
beschermen	beschermen	V(infin)
van	van	Adp()
sulcker	zulke	Pron(dem)
quaet	kwaad	adj()
daechs	dag	N(sing)
naer	naar	adv(gener)
sinte	sint	adj()
lambert	lambert	n(prop)
seer	zeer	adv(gener)
vroeghen	vroeg	V(fin,past,lex)
begosten	bekosten	V(participle,past)
die	de	pron(rel)
spangiaerts	spanjaard	N(plu)
seer	zeer	Adv(gener)
voorwaer	voorwaar	Adv(gener)
te	te	Adp()
schieten	schieten	V(infin)
naer	naar	adp()
al	al	Adv(gener)
haer	haar	Pron(poss)
vermoghen	vermogen	N(sing)
met	met	Adp()
twintich	twintig	num(card)
grof	grof	Adj()
stucken	stuk	N(plu)
swaer	zwaar	Adj()
ontrent	omtrent	Adp()
twee	twee	Num(card)
duysent	duizend	Num(card)
schoten	schieten	N(plu)
seer	zeer	Adv(gener)
veerdich	veertig	Adj()
met	met	Adp()
groot	groot	adj()
gheschal	schallen	N(sing)
sy	zij	Pron(pers,3,plu)
spaerden	sparen	V(fin,past,lex)
cruyt	kruid	N(sing)
noch	noch	conj(coord)
cloten	vloten	v(infin)
om	om	adp()
te	te	adp()
breken	breken	V(infin)
muer	muur	n(sing)
en	ne	adv(neg)
wal	wel	adv(gener)
tgheviel	gebieden+het	n(sing)+art(def)
anders	anders	adv(gener)
dan	dan	Conj(comp)
sy	zij	pron(pers,3,plu)
waenden	wanen	V(fin,past,lex)
al	al	adv(gener)
viel	vallen	v(fin,past,lex)
den	de	Art(def)
muer	muur	n(sing)
daer	daar	Adv(dem)
neer	neer	Adv(gener)
die	die	pron(rel)
wal	wel	adv(gener)
die	die	pron(rel)
bleef	blijven	v(fin,past,aux_cop)
noch	nog	adv(gener)
staende	staan	v(participle,pres)
met	met	adp()
alle	al	num(indef)
den	de	art(def)
borst	borst	n(sing)
gheweer	geweer	adj()
die	de	art(def)
burghers	burger	n(plu)
ghinghent	gaan+het	v(participle,past)
maken	maken	v(infin)
metten	de+met	art(def)+adp()
knechten	knecht	n(plu)
en	en	adv(neg)
menich	menig	Num(indef)
vrou	vrouw	N(sing)
veel	veel	Num(indef)
eerder	aarde	N(sing)
dan	dan	Conj(comp)
zijt	zijn	v(fin,pres,aux_cop)
braken	breken	V(fin,past,lex)
de	de	Art(def)
spangiaerts	spanjaard	N(plu)
creghen	krijgen	v(infin)
een	een	Art(indef)
groote	groot	adj()
jou	job	N(sing)
naer	naar	Adp()
middach	middag	N(sing)
ten	te+de	Adp()+Art(def)
drye	drie	num(card)
uren	uur	n(sing)
in	in	adp()
haer	haar	pron(poss)
oorden	oord	n(plu)
stonden	stond	N(plu)
sy	zij	Pron(pers,3,plu)
radt	rad	N(sing)
en	en	Conj(coord)
quamen	komen	v(fin,past,lex)
al	al	adv(gener)
totten	tot+de	adp()+art(def)
mueren	muur	n(sing)
om	om	adp()
te	te	adp()
bestormen	beërven	v(infin)
den	de	Art(def)
stadt	stad	N(sing)
het	het	Pron(pers,3,sing)
ghinck	gaan	V(fin,past,lex)
doen	doen	V(infin)
op	op	Adp()
een	een	art(indef)
vechten	vechten	N(sing)
aen	aan	Adp()
twee	twee	Num(card)
plaets	plaats	N(sing)
'	?	punc(quest)
tseffens	suffen	Art(def)+N(sing)
ghelijck	gelijk	Adv(gener)
mannen	man	N(plu)
vrouwen	vrouw	N(plu)
en	en	Conj(coord)
landtsknechten	landsknecht	N(sing)
sy	zij	Pron(pers,3,plu)
weerden	worden	V(fin,past,lex)
haer	haar	Pron(poss)
vroom	vroom	Adj()
arm	arm	Adj()
ende	en	Conj(coord)
rijck	rijk	adj()
by	bij	adp()
de	de	Art(def)
vriessche	vriendschap	Adj()
poort	poort	N(sing)
en	en	Conj(coord)
roo	rauw	Adj()
tooren	toorn	v(infin)
wast	wassen	pron(pers,3,sing)+v(fin,past,aux_cop)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
stormden	stormen	V(fin,past,lex)
dus	dus	Adv(dem)
strang	strang	N(sing)
en	en	Conj(coord)
gheduerde	geduren	v(fin,past,lex)
wel	wel	Adv(gener)
wilt	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
stijf	stijf	N(sing)
vierdalf	vierdedeel	N(sing)
uren	uur	n(sing)
lang	lang	Adv(gener)
tot	tot	Adp()
dryemael	driemaal	Num(card)
toe	toe	Adp()
sy	zij	Pron(pers,3,plu)
leyden	leiden	V(fin,past,lex)
versch	vers	Adj()
volck	volk	N(sing)
aen	aan	Adp()
en	ne	Conj(coord)
af	af	PronAdv(rel)
en	ne	adv(neg)
schoten	schieten	v(fin,past,lex)
noch	noch	conj(coord)
sonder	zonder	adp()
verbeyden	verbeiden	v(infin)
met	met	adp()
haer	haar	Pron(poss)
grof	grof	adj()
gheschut	geschut	N(sing)
even	even	adv(gener)
straf	straf	N(sing)
dit	dit	Pron(dem)
mocht	mogen	v(fin,past,aux_cop)
haer	zij	pron(pers,3,sing)
noch	nog	adv(gener)
al	al	adv(gener)
niet	niet	adv(neg)
baten	baten	V(infin)
sy	zij	Pron(pers,3,plu)
moesten	moeten	V(fin,past,aux_cop)
afwijcken	afwijken	V(infin)
met	met	Adp()
schandt	schande	N(sing)
veel	veel	num(indef)
volcks	volk	N(sing)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
ghelaten	laten	V(participle,past)
capiteyns	kapitein	N(sing)
vaendraghers	vaandrager	n(sing)
menigerhandt	menigerhande	adj()
die	die	pron(rel)
daer	daar	adv(dem)
sochten	zoeken	v(fin,past,lex)
den	de	art(def)
voorboyten	voorkomen	adj()
creghen	krijgen	v(infin)
betaling	betaling	n(sing)
onghespaert	ongebaard	adj()
don	doen	v(infin)
frederick	frederik	adj()
sachse	zien+zij	V(fin,past,lex)+Pron(pers,3,sing)
wel	wel	adv(gener)
stoyten	stoten	v(infin)
vanden	van+de	art(def)+adp()
wal	wel	adv(gener)
af	af	pronadv(rel)
nederwaert	nederwaarts	adv(gener)
noch	noch	conj(coord)
quamen	komen	v(fin,past,lex)
die	de	Art(def)
spaengiaerts	spanjaard	N(prop)
vermeten	vermeten	V(participle,past)
doen	doen	V(infin)
den	de	art(def)
storm	storm	N(sing)
opt	op+het	art(def)+adp()
stercste	sterk	adj()
was	zijn	v(fin,past,aux_cop)
met	met	adp()
schuyten	schuit	N(plu)
naer	naar	adp()
den	de	Art(def)
zoutketen	koudheid	N(plu)
om	om	adp()
die	die	Pron(rel)
t	het	Art(def)
'	?	punc(quest)
overvallen	overvallen	V(participle,past)
ras	ras	Adv()
maer	maar	Conj(coord)
sy	zij	Pron(pers,3,plu)
creghen	krijgen	V(fin,past,lex)
sulcke	zulk	Pron(dem)
pruymen	pruim	V(infin)
men	men	pron(indef)
schotender	schieten	adj()
inne	in	pronadv(rel)
terstondt	terstond	art(def)+n(sing)+adp()
haer	haar	pron(poss)
schuyten	schuit	N(plu)
moesten	moeten	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
ruymen	ruimen	V(infin)
twee	twee	Num(card)
raeckten	raken	N(plu)
daer	daar	Adv(dem)
inden	in+de	Adp()+Art(def)
grondt	grond	N(sing)
opten	op+de	Adp()+Art(def)
gheest	geest	N(sing)
sy	zij	Pron(pers,3,plu)
mede	mede	Adv(gener)
stonden	staan	V(fin,past,lex)
ten	de+te	art(def)+adp()
storme	storm	n(sing)
wel	wel	adv(gener)
toegherust	doorbrengen	v(fin,pres,lex)
aende	aan+de	Adp()+Art(def)
brug	brug	N(sing)
hoort	horen	V(imp)
mijn	mijn	Pron(poss)
vermonden	vermonden	N(sing)
is	zijn	V(fin,pres,aux_cop)
al	al	Adv(gener)
haer	haar	pron(poss)
moet	moed	v(fin,pres,aux_cop)
gheblust	blussen	V(participle,past)
wie	wie	pron(inter)
daer	daar	Adv(dem)
by	bij	Adp()
quam	komen	V(fin,past,lex)
moest	moeten	V(fin,past,aux_cop)
blijven	blijven	V(infin)
soo	zo	Adv(resum)
wel	wel	Adv(gener)
waren	zijn	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
onthaelt	onthouden	V(fin,pres,lex)
sy	zij	Pron(pers,3,plu)
en	ne	Adv(neg)
conden	kunnen	V(fin,past,aux_cop)
niet	niet	adv(neg)
bedrijven	bedrijven	v(infin)
al	al	Adv(gener)
haeren	haar	Pron(poss)
aenslach	aanslag	N(sing)
is	zijn	V(fin,pres,aux_cop)
ghefaelt	falen	V(participle,past)
daer	daar	Adv(dem)
na	na	Adp()
twas	het+zijn	Pron(pers,3,sing)+V(fin,past,aux_cop)
saterdaghe	zaterdag	N(sing)
doen	toen	V(infin)
hielden	houden	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
haer	haar	Pron(pers,3,sing)
soo	zo	Adv(resum)
stil	stil	Adj()
sy	zij	Pron(pers,3,plu)
deden	doen	V(fin,past,lex)
tocht	togen	Adv(gener)
noch	noch	conj(coord)
aenslaghe	aanslag	N(sing)
sy	zij	pron(pers,3,plu)
maecten	maken	V(fin,past,lex)
oock	ook	Adv(gener)
gheen	geen	Pron(indef)
gheschil	geschil	N(sing)
men	men	pron(indef)
condt	kond	v(fin,past,aux_cop)
anders	anders	adv(gener)
niet	niet	adv(neg)
gissen	pissen	V(infin)
oft	of	Conj(coord)
sy	zij	Pron(pers,3,plu)
lasen	lezen	V(infin)
al	al	Adv(gener)
den	de	art(def)
dach	dag	n(sing)
vigilien	vigilie	v(infin)
oft	of	Conj(coord)
sielmissen	ziekman	N(prop)
voor	voor	Adp()
den	de	Art(def)
gheblevenen	blijven	V(participle,past)
inden	in+de	Adp()+Art(def)
slach	slag	n(sing)
die	de	pron(rel)
spangiaerts	spanjaard	N(plu)
over	over	adp()
traden	treden	n(plu)
den	de	art(def)
sondach	zondag	n(sing)
met	met	Adp()
boos	boos	Adj()
bestier	bestuur	N(sing)
om	om	Adp()
te	te	adp()
verhalen	verhalen	v(infin)
haer	haar	pron(poss)
schaden	schade	N(sing)
acht	achten	V(fin,pres,lex)
hondert	honderd	num(card)
mael	maal	N(sing)
sy	zij	Pron(pers,3,plu)
gaven	gave	V(fin,past,lex)
vier	vier	Num(card)
en	ne	adv(neg)
quamen	komen	v(fin,past,lex)
ook	ook	Adv(gener)
ten	de+te	art(def)+adp()
percke	perk	n(sing)
om	om	adp()
weder	weder	adv(gener)
te	te	adp()
stormen	stormen	v(infin)
fel	fel	adj()
den	de	Art(def)
brug	brug	n(sing)
quam	komen	v(fin,past,lex)
niet	niet	adv(neg)
te	te	adp()
wercke	werk	N(sing)
sy	zij	Pron(pers,3,plu)
werden	worden	V(fin,past,aux_cop)
gheschoten	scheppen	V(participle,past)
heel	heel	Adv(gener)
rebel	rebel	N(sing)
een	een	Art(indef)
capiteyn	kapitein	n(sing)
quam	komen	V(fin,past,lex)
aen	aan	Adp()
vlieden	vlieden	V(infin)
om	om	Adp()
den	de	art(def)
brug	brug	n(sing)
te	te	Adp()
dwinghen	dwingen	V(infin)
voort	voorts	Adv(gener)
hy	hij	Pron(pers,3,sing)
smeet	smijten	V(fin,pres,lex)
de	de	Art(def)
arme	arm	adj()
lieden	lieden	n(plu)
en	ne	adv(neg)
doorstackse	doorsteken	Adj()
heel	heel	Adv(gener)
verstoort	verstoren	V(participle,past)
het	het	Art(def)
duerde	duren	V(fin,past,lex)
niet	niet	Adv(neg)
seer	zeer	Adv(gener)
langhe	lang	Adv(gener)
sijn	zijn	pron(poss)
leven	leven	n(sing)
nam	nemen	V(fin,past,lex)
oock	ook	Adv(gener)
een	een	Art(indef)
endt	en	Conj(coord)
sy	zij	Pron(pers,3,plu)
mochten	mogen	V(fin,past,aux_cop)
al	al	Adv(gener)
wel	wel	adv(gener)
zijn	zijn	Pron(poss)
banghe	bang	N(sing)
die	die	Pron(rel)
den	de	art(def)
brugghe	brug	n(sing)
quamen	komen	v(fin,past,lex)
ontrent	omtrent	v(participle,past)
die	de	art(def)
burghers	burger	N(plu)
toonden	tonen	v(fin,past,lex)
couragie	corragieus	n(sing)
die	die	pron(rel)
knechten	knecht	n(plu)
waren	zijn	v(fin,past,aux_cop)
wel	wel	Adv(gener)
ghemoet	gemoed	adj()
die	de	Art(def)
vrouwen	vrouw	N(plu)
met	met	adp()
haer	haar	Pron(poss)
coockeragie	uitverkorene	N(sing)
verwachten	verwachten	V(infin)
haer	haar	Pron(poss)
aencoemste	aankomst	N(sing)
met	met	Adp()
spoet	spoed	n(sing)
die	de	Pron(rel)
meyskens	meisje	n(plu)
ende	en	conj(coord)
knapen	knaap	n(plu)
het	het	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
al	al	Adv(gener)
aende	aan+de	Adp()+Art(def)
vest	vesten	N(sing)
wel	wel	Adv(gener)
voorsien	voorzien	Adv(gener)
met	met	Adp()
s	sint	Art(def)
stevens	stefanus	N(plu)
wapen	wapen	V(infin)
elck	elk	Pron(indef)
wilde	willen	V(fin,past,aux_cop)
doen	doen	V(infin)
zijn	zijn	v(fin,pres,aux_cop)
best	best	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
en	ne	adv(neg)
dorsten	dorren	V(infin)
niet	niet	adv(neg)
aencomen	aannemen	v(infin)
theeft	het+heeft	Pron(dem)+V(fin,pres,aux_cop)
haer	zij	Pron(pers,3,plu)
niet	niet	Adv(neg)
wel	wel	adv(gener)
behaecht	behagen	V(participle,past)
sy	zij	Pron(pers,3,plu)
saghen	zien	V(fin,past,lex)
den	de	Art(def)
burghers	burger	N(plu)
vromen	vroom	N(plu)
sy	zij	Pron(pers,3,plu)
creghen	krijgen	V(fin,past,lex)
herten	hart	N(sing)
versaecht	versagen	v(fin,pres,lex)
die	die	Pron(rel)
windt	wind	v(fin,pres,lex)
die	die	Pron(rel)
haer	zij	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
mede	mede	adv(gener)
die	die	pron(rel)
heeft	hebben	v(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
omghedrayt	ombrengen	V(participle,past)
gods	god	N(sing)
handt	hand	N(sing)
was	zijn	v(fin,past,aux_cop)
metten	met+de	art(def)+adp()
stede	stad	n(sing)
sijn	zijn	pron(poss)
lof	lof	n(sing)
moet	moeten	V(fin,pres,aux_cop)
zijn	zijn	Pron(poss)
verbreydt	hij+vergaderen	V(participle,past)
hoe	hoe	Adv(inter)
souden	zullen	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
u	gij	Pron(pers,2,sing)
niet	niet	Adv(neg)
loven	loven	V(infin)
o	o	Interj()
alder	al+de	Num(indef)+Art(def)
heeren	heer	N(sing)
heer	heer	N(sing)
aen	aan	Adp()
ons	wij	Pron(pers,1,plu)
die	die	pron(rel)
waren	zijn	v(fin,past,aux_cop)
verschoven	verschonen	v(participle,past)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
verbreydt	verbreiden	V(participle,past)
u	gij	Pron(pers,2,sing)
eer	eer	Conj(subord)
ghy	gij	Pron(pers,2,sing)
hebt	hebben	V(fin,pres,aux_cop)
willen	willen	V(fin,pres,aux_cop)
behouden	behouden	v(infin)
die	de	art(def)
crachtloos	krachteloos	n(sing)
waren	zijn	v(fin,past,aux_cop)
gheacht	achten	v(participle,past)
en	en	Conj(coord)
die	die	Pron(rel)
op	op	Adp()
haer	haar	pron(pers,3,sing)
selfs	zelf	Pron(dem)
bouwen	bouwen	V(infin)
sijn	zijn	V(fin,pres,aux_cop)
ghevallen	vallen	V(participle,past)
met	met	Adp()
al	al	Num(indef)
haer	haar	Pron(poss)
pracht	pracht	N(sing)
lof	lof	N(sing)
princelijcke	prinselijk	Adj()
vader	vader	n(sing)
lof	lof	N(sing)
heere	heer	N(sing)
ghebenedijt	gebenedijd	Adj()
wy	wij	Pron(pers,1,plu)
dancken	danken	V(fin,pres,lex)
u	gij	Pron(pers,2,sing)
allegader	algader	Num(indef)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
ons	wij	Pron(pers,1,plu)
hebt	hebben	V(fin,pres,aux_cop)
bevrijt	bevrijden	v(participle,past)
als	als	Conj(subord)
wy	wij	Pron(pers,1,plu)
waren	zijn	V(fin,past,aux_cop)
seven	zeven	num(card)
weken	week	n(plu)
omringt	omringen	V(fin,pres,lex)
met	met	Adp()
groot	groot	Adj()
ghewelt	geweld	N(sing)
ghy	gij	Pron(pers,2,plu)
hebt	hebben	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
niet	niet	adv(neg)
besweecken	bezwijken	v(infin)
die	de	Art(def)
vyandt	vijand	N(sing)
moest	moeten	V(fin,past,aux_cop)
ruymen	ruimen	V(infin)
tveldt	het+veld	Art(def)+N(sing)
