o	o	interj()
blijven	blijven	V(infin)
fy	fij	Adj()
grobbendonck	brittanni's1e+groot	Adj()
dat	dat	conj(subord)
men	men	pron(indef)
u	gij	pron(pers,2,sing)
daet	daad	N(sing)
moet	moeten	V(fin,pres,aux_cop)
schrijven	schrijven	V(infin)
die	die	Pron(rel)
ghy	gij	Pron(pers,2,sing)
onlanghs	onlangs	Adv(gener)
bedreven	bedrijven	V(infin)
hebt	hebben	V(fin,pres,aux_cop)
seer	zeer	Adv(gener)
quaet	kwaad	adj()
eerloos	eerloos	N(sing)
meyneedich	meinen	Adj()
ontrou	ontrouw	N(sing)
is	zijn	V(fin,pres,aux_cop)
u	uw	Pron(poss)
werck	werk	N(sing)
vol	vol	Adj()
tyranny	tirannie	N(sing)
twelck	hetwelk	Pron(rel)
is	zijn	V(fin,pres,aux_cop)
een	een	art(indef)
quade	kwaad	adj()
beeste	beest	n(sing)
want	want	conj(coord)
de	de	art(def)
boosheyt	boosheid	N(sing)
regeert	regeren	V(fin,pres,lex)
u	uw	Pron(poss)
herte	hart	N(sing)
sterck	sterk	Adj()
doch	doch	adv(gener)
in	in	Adp()
het	het	Art(def)
bos	boos	Adj()
schuylen	schuilen	V(infin)
de	de	Art(def)
moorders	moordenaar	n(plu)
meeste	meest	num(indef)
dit	dit	pron(dem)
is	zijn	V(fin,pres,aux_cop)
gheschiet	geschieden	V(participle,past)
sprockel	sprokkel	N(sing)
den	de	Art(def)
vijfden	vijf	num(ord)
dagh	dag	n(sing)
int	het+in	art(def)+adp()
gulde	goud	adj()
jaer	jaar	n(plu)
alsmen	als+men	conj(comp)+pron(indef)
schreef	schrijven	N(sing)
sestienhondert	zestienhonderd	Num(card)
in	in	adp()
wellick	ik+willen	adv(gener)
feyt	feit	n(sing)
menigh	menig	Num(indef)
mensch	mens	n(sing)
was	zijn	V(fin,past,aux_cop)
verwondert	verwonderen	V(participle,past)
vande	van+de	Adp()+Art(def)
kloeckheyt	kloek	N(sing)
diemen	die+men	Pron(rel)+Pron(indef)
aen	aan	Adp()
dit	dit	Pron(dem)
volck	volk	N(sing)
sach	zien	V(fin,past,lex)
geroepen	roepen	V(participle,past)
zijnde	zijn	V(participle,pres)
twintich	twintig	Num(card)
elck	elk	Pron(indef)
parthy	partij	N(sing)
ons	ons	Pron(poss)
volck	volk	N(sing)
uyt	uit	Adp()
den	de	Art(def)
bergh	berg	N(sing)
reden	rede	n(sing)
sonder	zonder	adp()
flouwen	flauw	n(sing)
maer	maar	conj(coord)
reden	rede	N(sing)
de	de	Art(def)
stadt	stad	N(sing)
vanden	van+de	Adp()+Art(def)
bos	boos	N(sing)
te	te	Adp()
by	bij	Adp()
komende	komen	v(participle,pres)
door	door	Adp()
bedrogh	bedrog	N(sing)
in	in	Adp()
groot	groot	Adj()
benouwen	benauwen	V(infin)
den	de	Art(def)
oorsprongh	oorsprong	N(sing)
waer	waar	V(fin,past,aux_cop)
door	door	Adp()
dat	dat	Conj(subord)
dit	dit	pron(dem)
is	zijn	v(fin,pres,aux_cop)
geschiet	geschieden	v(participle,past)
is	zijn	v(fin,pres,aux_cop)
gheweest	zijn	V(participle,past)
den	de	art(def)
hooghmoet	hoogmoed	N(sing)
aen	aan	Adp()
beyde	beide	Num(indef)
syden	zijde	N(plu)
dat	dat	conj(subord)
twintich	twintig	num(card)
teghen	tegen	adp()
twintich	twintig	num(card)
souden	zullen	V(fin,past,aux_cop)
strijden	strijden	v(infin)
daer	daar	Adv(dem)
van	van	Adp()
wort	woord	n(plu)
een	een	art(indef)
contract	contract	n(sing)
beschreven	beschrijven	v(participle,past)
siet	zien	V(imp)
hoe	hoe	adv(inter)
dat	dat	conj(subord)
daer	daar	adv(dem)
alle	al	num(indef)
dinghen	ding	n(plu)
soude	zullen	v(fin,past,aux_cop)
toegaen	togen	v(infin)
doch	doch	adv(gener)
breaulte	bezalven+zij	V(fin,pres,lex)
heeft	hebben	V(fin,pres,aux_cop)
meer	meer	num(indef)
als	als	Conj(comp)
woort	woord	N(sing)
gehouwe	houwen	Adj()
waer	waar	V(fin,past,aux_cop)
door	door	Adp()
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
int	in+het	Adp()+Art(def)
eynde	eind	N(sing)
is	zijn	v(fin,pres,aux_cop)
verraen	verraden	v(participle,past)
datse	dat+zij	conj(subord)+pron(pers,3,plu)
schelmen	schillen	v(infin)
en	en	adv(neg)
moorders	moordenaar	N(plu)
te	te	Adp()
veel	veel	num(indef)
betrouwe	betrouwen	N(sing)
onder	onder	Adp()
grobbendoncks	brittanni's1e+groot	Adj()
volck	volk	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
geweest	zijn	V(participle,past)
achthien	achttien	v(infin)
berch	berg	n(sing)
verkoopers	verkoper	n(sing)
of	of	conj(coord)
lant	land	n(sing)
verraders	verrader	n(sing)
som	som	pron(indef)
gebannen	bannen	v(participle,past)
gegeesselt	geselen	v(participle,past)
als	als	Conj(comp)
boos	boos	Adj()
daders	doen+zij	N(plu)
binnen	binnen	Adv(gener)
dordrecht	dordrecht	V(fin,pres,lex)
kleyn	klein	adj()
harmen	harmens	N(plu)
onghevreest	ongehoorzaam	Adj()
sulcx	zulk	pron(dem)
is	zijn	V(fin,pres,aux_cop)
daert	daar+het	adv(rel)+pron(pers,3,sing)
wilt	willen	v(fin,pres,aux_cop)
dat	dat	conj(subord)
inden	in+de	adp()+art(def)
bos	boos	n(sing)
rigneert	regneren	n(sing)
schelmen	schelen	v(infin)
dieven	dief	N(plu)
en	en	Conj(coord)
eer	eer	N(sing)
vergeeten	vergeten	v(infin)
boeven	boef	V(infin)
den	de	art(def)
borgher	burger	N(sing)
vroom	vroom	Adj()
wort	worden	V(fin,pres,aux_cop)
hier	hier	Adv(dem)
niet	niet	Adv(neg)
getoetseert	turberen	v(participle,past)
dan	dan	Conj(comp)
d	de	Art(def)
'	?	punc(quest)
overloopers	overlopen	N(sing)
moorders	moordenaar	N(plu)
vol	vol	adj()
bedroeven	bedroeven	V(infin)
het	het	Pron(pers,3,sing)
overhooft	overvloed	N(sing)
hier	hier	Adv(dem)
van	van	Adp()
is	zijn	v(fin,pres,aux_cop)
grobbendonck	brittanni's1e+groot	n(prop)
die	die	Pron(rel)
oock	ook	Adv(gener)
het	het	Art(def)
bloet	bloed	N(sing)
dronck	drinken	N(sing)
van	van	Adp()
dees	deze	Pron(dem)
vrome	vroom	N(sing)
helden	held	N(plu)
jan	johannes	N(prop)
van	van	Adp()
mille	mild	n(sing)
u	gij	Pron(poss)
daet	daad	N(sing)
moetmen	men+moeten	pron(indef)+v(fin,pres,aux_cop)
vermelden	vermelden	v(infin)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
vermoorde	vermoorden	N(sing)
d	de	Art(def)
'	?	punc(quest)
edel	edel	Adj()
heere	heer	N(sing)
jonck	jong	Adj()
mons	mond	N(sing)
breaute	berouwen	V(fin,pres,lex)
een	een	art(indef)
krijghsman	krijgsman	N(sing)
tot	tot	adp()
den	de	art(def)
endt	eind	Conj(coord)
grobbendonck	brittanni's1e+groot	Adj()
most	moeten	N(sing)
maer	maar	conj(coord)
dorste	dorren	N(sing)
self	zelf	pron(dem)
niet	niet	adv(neg)
kome	komen	V(fin,pres,lex)
waer	waar	V(fin,past,aux_cop)
door	door	Adp()
zijn	zijn	Pron(poss)
boosheyt	boosheid	N(sing)
sal	zullen	V(fin,pres,aux_cop)
blijven	blijven	V(infin)
bekent	bekend	Adj()
zijn	zijn	Pron(poss)
ontrouheyt	ontrouw	N(sing)
dee	die	V(fin,past,lex)
hem	hij	Pron(pers,3,sing)
voor	voor	Adp()
de	de	Art(def)
doot	dood	N(sing)
schrome	schromen	N(sing)
hy	hij	Pron(pers,3,sing)
sont	zon	V(fin,past,lex)
ons	ons	Pron(poss)
volck	volk	N(sing)
uyt	uit	Adp()
de	de	Art(def)
bosch	bos	N(sing)
kaes	kaas	N(sing)
en	en	Conj(coord)
broot	brood	N(sing)
segghende	zeggen	V(participle,pres)
dat	dat	Conj(subord)
zy	zij	Pron(pers,3,sing)
een	een	Art(indef)
hart	hard	N(sing)
soude	zullen	v(fin,past,aux_cop)
maken	maken	v(infin)
coragie	klergie	n(sing)
en	en	adv(neg)
moet	moeten	v(fin,pres,aux_cop)
eer	eer	Conj(subord)
heur	zij	Pron(poss)
de	de	Art(def)
stadt	stad	N(sing)
sou	zullen	V(fin,past,aux_cop)
naken	naken	V(infin)
met	met	adp()
den	de	art(def)
trompetter	trompet	N(sing)
hy	hij	Pron(pers,3,sing)
hun	zij	Pron(pers,3,plu)
sulcks	zulk	Pron(indef)
ontboot	ontbieden	N(sing)
mons	mond	N(sing)
breaulte	bezalven+zij	V(fin,pres,lex)
sulck	zulk	Pron(dem)
spotten	spotten	N(plu)
wel	wel	adv(gener)
verstont	verstaan	v(fin,past,lex)
dat	dat	conj(subord)
kasen	kaas	N(plu)
broot	brood	N(sing)
oft	of	Conj(coord)
wijn	wijn	N(sing)
hy	hij	Pron(pers,3,sing)
niet	niet	Adv(neg)
begeerde	begeren	V(fin,past,lex)
maer	maar	conj(coord)
nam	nemen	v(fin,past,lex)
dit	dit	pron(dem)
leckebeetjen	lekvat	n(sing)
inden	in+de	art(def)+adp()
mont	mond	N(sing)
zijn	zijn	pron(poss)
wapenen	wapen	N(plu)
dit	dit	Pron(dem)
alderbest	allerbest	adv(gener)
verteerden	verteren	v(fin,past,lex)
na	na	adp()
dat	dat	Conj(subord)
mijn	mijn	Pron(poss)
'	?	punc(quest)
s	de	Art(def)
heeren	heer	N(sing)
paert	paard	N(sing)
geschoten	schieten	v(participle,past)
was	zijn	v(fin,past,aux_cop)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
flucx	vlug	Adv(gener)
weer	zijn	Adv(gener)
op	op	Adp()
een	een	art(indef)
ander	ander	adj()
gheschreden	schrijven	v(participle,past)
en	en	adv(neg)
heeft	hebben	v(fin,pres,aux_cop)
so	zo	adv(resum)
noch	nog	adv(gener)
een	een	art(indef)
weynich	weinig	adj()
tijts	tijd	n(sing)
ghestreden	strijden	V(participle,past)
maar	maar	Conj(coord)
'	?	punc(quest)
t	het	Art(def)
tweede	tweede	Num(card)
paert	paard	N(sing)
word	worden	v(fin,past,aux_cop)
'	?	punc(quest)
oock	ook	Adv(gener)
gheschoten	geschut	V(participle,past)
ras	ras	Adv()
op	op	Adp()
'	?	punc(quest)
t	het	art(def)
derde	derde	num(rod)
paert	paard	N(sing)
hy	hij	Pron(pers,3,sing)
niet	niet	Adv(neg)
komen	komen	V(infin)
en	en	Conj(coord)
kost	kost	N(sing)
maer	maar	Conj(coord)
heeft	hebben	V(fin,pres,aux_cop)
te	te	Adp()
voet	voet	n(sing)
wonder	wonder	n(sing)
kloecheyt	kloek	n(sing)
doen	doen	v(infin)
blijcken	blijken	V(infin)
al	al	adv(gener)
had	hebben	V(fin,past,aux_cop)
zijn	zijn	Pron(poss)
volck	volk	N(sing)
het	het	Pron(pers,3,sing)
afwijcken	afwijken	V(infin)
begost	belust	v(fin,pres,lex)
so	zo	adv(resum)
sach	zien	v(fin,past,lex)
men	men	pron(indef)
den	de	art(def)
moet	moed	n(sing)
in	in	adp()
hem	hij	pron(pers,3,sing)
niet	niet	adv(neg)
beswijcken	bezwijken	V(infin)
maer	maar	Conj(coord)
siet	zien	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
street	strijden	V(fin,pres,lex)
als	als	Conj(comp)
een	een	art(indef)
romeyn	romein	n(prop)
toe	toe	pronadv(prep)
staet	staan	v(fin,pres,lex)
met	met	adp()
den	de	Art(def)
zijnen	zijn	Pron(poss)
wonder	wonder	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
daer	daar	adv(dem)
ghebleecken	blijken	V(participle,past)
want	want	Conj(coord)
hy	hij	Pron(pers,3,sing)
noch	noch	Adv(gener)
mans	man	N(sing)
en	ne	adv(neg)
paerden	paard	N(plu)
heeft	hebben	V(fin,pres,aux_cop)
door	door	Adp()
steecken	steken	V(infin)
en	en	Conj(coord)
zijn	zijn	Pron(poss)
cosijn	komijn	n(sing)
was	zijn	V(fin,past,aux_cop)
oock	ook	Adv(gener)
een	een	Art(indef)
trou	trouw	N(sing)
soldaet	soldaat	N(sing)
noch	noch	Conj(coord)
meer	meer	num(indef)
met	met	adp()
hem	hij	pron(pers,3,sing)
streden	strijden	v(fin,past,lex)
als	als	conj(subord)
helden	held	adj()
koen	koe	N(sing)
hadden	hebben	V(fin,past,aux_cop)
al	al	num(indef)
de	de	art(def)
francoysen	fransoos	N(plu)
trou	trouw	N(sing)
ghebleven	blijven	V(participle,past)
zy	zij	Pron(pers,3,sing)
souden	zullen	V(fin,past,aux_cop)
daer	daar	Adv(dem)
bedreven	bedrijven	v(participle,past)
hebben	hebben	v(fin,pres,aux_cop)
doen	doen	v(infin)
dat	dat	conj(subord)
in	in	adp()
kronijcken	kroniek	adj()
waerdich	waardig	adj()
waer	waar	adj()
beschreven	beschrijven	V(infin)
neemt	nemen	v(fin,pres,lex)
een	een	Art(indef)
voorbeelt	voorstellen	N(sing)
aan	aan	Adp()
de	de	Art(def)
orangie	oranje	N(prop)
bloem	bloem	n(sing)
die	die	pron(rel)
inden	in+de	art(def)+adp()
thuyn	te+huis	n(sing)
bloeyt	bloeien	n(sing)
lieffelijck	lieflijk	Adv(gener)
ghepresen	prijzen	V(participle,past)
den	de	Art(def)
thuyn	te+huis	N(sing)
is	zijn	V(fin,pres,aux_cop)
soet	zoet	pron(pers,3,sing)+pron(pers,3,sing)
int	in+het	Adp()+Art(def)
bos	boos	N(sing)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
wreet	wreed	Adj()
om	om	adp()
wesen	wezen	v(infin)
onsen	ons	pron(poss)
thuyn	te+huis	n(sing)
wachter	wachter	N(sing)
ick	ik	Pron(pers,1,sing)
nassouwe	nassau	N(prop)
noem	noemen	N(sing)
want	want	Conj(coord)
hy	hij	Pron(pers,3,sing)
houdt	houden	V(fin,pres,lex)
woort	woord	N(sing)
in	in	Adp()
al	al	Num(indef)
'	?	punc(quest)
t	het	Art(def)
geen	geen	Pron(indef)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
doet	doen	V(fin,pres,lex)
oock	ook	Adv(gener)
inden	in+de	Adp()+Art(def)
krijgh	katijf	N(sing)
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
hem	hij	Pron(pers,3,sing)
niet	niet	Adv(neg)
verbloden	verbloden	v(infin)
een	een	Art(indef)
vyant	vijand	N(sing)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
van	van	Adp()
die	de	Art(def)
storten	storten	n(plu)
bloet	bloed	n(sing)
niet	niet	Adv(neg)
hy	hij	Pron(pers,3,sing)
als	als	Conj(subord)
zy	zij	Pron(pers,3,sing)
sal	zullen	V(fin,pres,aux_cop)
yemant	iemand	Pron(indef)
t	het	Art(def)
'	?	punc(quest)
onrecht	onrecht	N(sing)
dooden	dode	v(infin)
