alsmen	als+men	conj(comp)+pron(indef)
veel	veel	Num(indef)
steden	stad	N(plu)
quijt	kwijt	Adj()
den	de	Art(def)
prince	prins	N(sing)
eel	edel	N(sing)
werde	worden	V(fin,past,aux_cop)
gheheel	geheel	adj()
julij	juli	N(prop)
tot	tot	Adp()
delff	delft	N(sing)
door	door	Adp()
een	een	Art(indef)
schoot	schoot	N(sing)
ghedoot	doden	V(participle,past)
van	van	Adp()
een	een	art(indef)
godloos	goddeloos	adj()
verrader	verrader	N(sing)
boos	boos	Adj()
twelck	hetwelk	Pron(rel)
menich	menig	Num(indef)
mensch	mens	N(sing)
verdroot	verdrieten	V(participle,past)
